taxon,evc.class.code
Helictochloa gervaisii subsp. arundana,LYG
Helictochloa gervaisii subsp. gervaisii,LYG
Helictochloa hackelii,LYG+ROS
Helictochloa hookeri subsp. schelliana,FES
Helictochloa levis,IND
Helictochloa lusitanica,IND
Helictochloa marginata subsp. albinervis,SAC+ULI
Helictochloa marginata subsp. marginata,ULI
Helictochloa murcica,LYG
Helictochloa praeusta subsp. praeusta,FES
Helictochloa praeusta subsp. pseudoviolacea,SES
Helictochloa pratensis subsp. gonzaloi,FES
Helictochloa pratensis subsp. hirtifolia,FES
Helictochloa pratensis subsp. iberica,FES
Helictochloa pratensis subsp. pratensis,FES
Helictochloa pratensis subsp. requienii,FES
Helictochloa versicolor subsp. praetutiana,FES+SES
Helictochloa versicolor subsp. versicolor,TRI
Helictotrichon cantabricum,ONO
Helictotrichon convolutum,QUI
Helictotrichon decorum,SES
Helictotrichon desertorum subsp. basalticum,FES
Helictotrichon desertorum subsp. desertorum,FES
Helictotrichon filifolium subsp. arundanum,LYG
Helictotrichon filifolium subsp. cazorlense,LYG
Helictotrichon filifolium subsp. filifolium,LYG
Helictotrichon parlatorei,SES
Helictotrichon petzense,SES
Helictotrichon sarracenorum,LYG
Helictotrichon sedenense subsp. gervaisii,ONO
Helictotrichon sedenense subsp. sedenense,ONO+SES
Helictotrichon sempervirens,ONO+SES
Helictotrichon setaceum,ONO
Heliosperma alpestre,ASP+SED+THL
Heliosperma intonsum,ASP
Heliosperma macranthum,ASP
Heliosperma oliverae,ASP
Heliosperma pusillum subsp. chromodontum,ASP
Heliosperma pusillum subsp. pudibundum,MON
Heliosperma pusillum subsp. pusillum,ASP+MON+THL
Heliosperma quadridentatum,ASP
Heliosperma retzdorffianum,ASP
Heliosperma tommasinii,ASP
Heliosperma veselskyi,ASP
Heliotropium curassavicum,DIG
Heliotropium dolosum,DIG
Heliotropium europaeum,DIG
Heliotropium hirsutissimum,DIG
Heliotropium messerschmidioides,OLE
Heliotropium suaveolens,DIG
Heliotropium supinum,ISO
Helleborus bocconei subsp. bocconei,PUB
Helleborus cyclophyllus,FAG
Helleborus dumetorum subsp. atrorubens,FAG
Helleborus foetidus,FAG+PUB
Helleborus lividus,QUI
Helleborus multifidus subsp. istriacus,PUB
Helleborus multifidus subsp. laxus,PUB
Helleborus niger subsp. macranthus,PUB
Helleborus niger subsp. niger,PUB
Helleborus odorus,PUB
Helleborus purpurascens,FAG
Helleborus viridis subsp. occidentalis,FAG+MUL
Helleborus viridis subsp. viridis,FAG
Hellenocarum multiflorum,ASP
Helminthotheca comosa subsp. lusitanica,GER
Helminthotheca echoides,ART
Helosciadium crassipes,ISO
Helosciadium inundatum,LIT
Helosciadium nodiflorum,PHR
Helosciadium repens,PHR
Hemerocallis lilioasphodelus,FAG
Hennediella heimii,SAG
Hepatica nobilis,FAG
Hepatica transsilvanica,FAG
Heptaptera triquetra,PUB
Heracleum asperum,MUL+VIR
Heracleum austriacum subsp. austriacum,SES
Heracleum austriacum subsp. siifolium,SES
Heracleum carpaticum,MUL
Heracleum ligusticifolium,DRY
Heracleum mantegazzianum,EPI
Heracleum pubescens,PUB
Heracleum pumilum,THL
Heracleum sphondylium subsp. alpinum,MUL
Heracleum sphondylium subsp. elegans,MUL
Heracleum sphondylium subsp. orsinii,THL
Heracleum sphondylium subsp. pyrenaicum,MUL+THL
Heracleum sphondylium subsp. sibiricum,MOL+MUL
Heracleum sphondylium subsp. sphondylium,EPI+MOL+POP
Heracleum sphondylium subsp. ternatum,MUL
Heracleum sphondylium subsp. transsilvanicum,MUL
Heracleum stevenii,DRY
Herminium monorchis,MOL+SCH
Herniaria algarvica,TUB
Herniaria alpina,THL
Herniaria baetica,PHA
Herniaria boissieri,IND
Herniaria canariensis,PEG
Herniaria ciliolata subsp. ciliolata,AMM
Herniaria ciliolata subsp. robusta,AMM
Herniaria cinerea,POL+TUB
Herniaria degenii,DAP
Herniaria fontanesii subsp. almeriana,ROS
Herniaria fontanesii subsp. empedocleana,PEG
Herniaria fontanesii subsp. fontanesii,PEG
Herniaria fruticosa,ROS
Herniaria glabra subsp. glabra,BUL+COR+POL
Herniaria glabra subsp. nebrodensis,BUL+RUM
Herniaria hirsuta,SED
Herniaria incana,FES
Herniaria latifolia,IND+THL
Herniaria litardierei,PIL
Herniaria lusitanica subsp. berlengiana,THL
Herniaria lusitanica subsp. lusitanica,CHE
Herniaria maritima,COR
Herniaria nigrimontium,THL
Herniaria olympica,DAP
Herniaria parnassica subsp. cretica,DAP
Herniaria parnassica subsp. parnassica,ANA
Herniaria polygama,COR
Herniaria regnieri,THL
Herniaria scabrida subsp. guadarramica,IND
Herniaria scabrida subsp. scabrida,COR
Hesperis dinarica,MUL
Hesperis inodora,EPI
Hesperis laciniata,ASP
Hesperis matronalis subsp. candida,FAG
Hesperis matronalis subsp. matronalis,FAG
Hesperis steveniana,PUB
Hesperis sylvestris,GER
Hesperis tristis,FES
Heteranthera limosa,PHR
Heteranthera reniformis,ORY+PHR
Heteranthera rotundifolia,PHR
Heterogemma laxa,OXY
Heteropogon contortus,FES+LYG
Hibiscus trionum,DIG
Hieracium alpinum,LOI+TRI
Hieracium amplexicaule,ASP
Hieracium aragonense,ASP
Hieracium bifidum,SES
Hieracium bourgaei subsp. baeticum,ASP
Hieracium bracteolatum,PUB
Hieracium bupleuroides,ASP
Hieracium caesium,SES
Hieracium candidum,ASP
Hieracium carpetanum,ASP
Hieracium cerinthoides,ONO
Hieracium cordatum,ASP
Hieracium cordifolium,ASP
Hieracium elisaeanum,ASP
Hieracium eriopogon,ASP
Hieracium glaucinum,FAG+QUE
Hieracium glaucocerinthe,ASP
Hieracium glaucum,THL
Hieracium humile,ASP
Hieracium hypochoeroides subsp. supramontanum,ASP
Hieracium juranum,MUL
Hieracium lachenalii,GER+QUE
Hieracium laevigatum,FAG+GER+QUE
Hieracium laniferum,ASP
Hieracium lawsonii,ASP
Hieracium leiopogon subsp. iolai,ASP
Hieracium longifolium,SES
Hieracium loscosianum,ASP
Hieracium maculatum,GER+QUE
Hieracium mattiroloanum subsp. martellianum,ASP
Hieracium mixtiforme,ASP
Hieracium mixtum,ASP
Hieracium montenegrinum,ASP
Hieracium murorum,FAG
Hieracium phlomoides subsp. bowlesianum,ASP
Hieracium pictum subsp. irginianum,ASP
Hieracium piliferum subsp. glanduliferum,TRI
Hieracium piliferum subsp. piliferum,TRI
Hieracium piliferum subsp. subnivale,TRI
Hieracium pilosum,SES
Hieracium porrifolium,THL
Hieracium portanum,ASP
Hieracium prenanthoides subsp. hypoglaucum,MUL
Hieracium prenanthoides subsp. prenanthoides,MUL
Hieracium racemosum subsp. crinitum,RUM
Hieracium racemosum subsp. racemosum,GER+PUB
Hieracium sabaudum,FAG+GER+QUE
Hieracium schmidtii subsp. brunelliforme,ASP
Hieracium schmidtii subsp. graniticum,ASP
Hieracium schmidtii subsp. schmidtii,ASP
Hieracium sparsum,LOI
Hieracium symphytifolium,ASP
Hieracium tenuiflorum,GER
Hieracium texedense,ASP
Hieracium tomentosum,ASP
Hieracium transylvanicum,FAG+PIC
Hieracium umbellatum,BRA+QUE
Hieracium villosum,ASP+SES
Hieracium virosum,FES
Hierochloe alpina,LOI
Hierochloe australis,FAG+PUB
Hierochloe hirta subsp. arctica,MOL
Hierochloe odorata,FES
Hierochloe repens,FES
Himantoglossum adriaticum,FES+GER
Himantoglossum caprinum,PUB
Himantoglossum comperianum,PUB
Himantoglossum hircinum,FES+GER
Himantoglossum metlesicsianum,CAN
Himantoglossum robertianum,FES+QUI
Hippocrepis balearica,ASP
Hippocrepis biflora,TRA
Hippocrepis bourgaei,ROS
Hippocrepis carpetana,IND
Hippocrepis castroviejoi,ROS
Hippocrepis ciliata,TRA
Hippocrepis commutata,ROS
Hippocrepis comosa,FES
Hippocrepis emerus subsp. emeroides,PUB
Hippocrepis emerus subsp. emerus,PUB
Hippocrepis eriocarpa,ROS
Hippocrepis fruticescens,ROS
Hippocrepis glauca,ROS
Hippocrepis grosii,ASP
Hippocrepis multisiliquosa,TUB
Hippocrepis nevadensis,ROS
Hippocrepis rupestris,ROS
Hippocrepis salzmannii,TUB
Hippocrepis scabra,ROS
Hippocrepis scorpioides,ROS
Hippocrepis squamata,ROS
Hippocrepis valentina,ASP
Hippophae rhamnoides subsp. carpatica,THL
Hippophae rhamnoides subsp. fluviatilis,PUR
Hippophae rhamnoides subsp. rhamnoides,ARE
Hippuris vulgaris,PHR
Hirtellina fruticosa,ASP
Hispidella hispanica,TUB
Hladnikia pastinacifolia,ASP
Hohenackeria polyodon,PEG
Holcus annuus subsp. annuus,SAC
Holcus annuus subsp. duriensis,TUB
Holcus caespitosus,THL
Holcus gayanus,TUB
Holcus grandiflorus,PUR
Holcus lanatus,ALN+MOL
Holcus mollis subsp. mollis,GER+LON+QUE
Holcus mollis subsp. reuteri,PHR
Holcus notarisii,GER
Holcus rigidus,TOL
Holosteum umbellatum subsp. glutinosum,SED
Holosteum umbellatum subsp. hirsutum,ONO
Holosteum umbellatum subsp. umbellatum,ONO+SED
Homalia lusitanica,ADI
Homalothecium lutescens,FES
Homalothecium sericeum,ASP
Homogyne alpina,FAG+PIC
Homogyne discolor,SES
Homogyne sylvestris,FAG+MUG+PIC
Honckenya peploides,AMM+CAK
Hordelymus europaeus,FAG
Hordeum bulbosum,MOL
Hordeum geniculatum,FEP+SAG
Hordeum jubatum,CHE
Hordeum marinum,SAG
Hordeum murinum subsp. glaucum,CHE
Hordeum murinum subsp. leporinum,CHE
Hordeum murinum subsp. murinum,SIS
Hordeum secalinum,MOL
Hormathophylla baetica,ASP
Hormathophylla cadevalliana,ASP
Hormathophylla lapeyrousiana,THL
Hormathophylla ligustica,ASP
Hormathophylla longicaulis,ROS
Hormathophylla purpurea,IND
Hormathophylla pyrenaica,ASP+THL
Hormathophylla reverchonii,ASP+THL
Hormathophylla saxigena,FES
Hormathophylla spinosa,THL
Horminum pyrenaicum,SES
Hormuzakia aggregata,TUB
Hornungia alpina subsp. alpina,THL
Hornungia alpina subsp. auerswaldii,ASP+THL
Hornungia alpina subsp. austroalpina,THL
Hornungia alpina subsp. brevicaulis,THL
Hornungia pauciflora,SAG
Hornungia petraea,SED+TRA
Hornungia procumbens,SAG
Hornungia revelierei subsp. revelierei,CRI
Hornungia revelierei subsp. sommieri,CRI
Hottonia palustris,POT
Hugueninia tanacetifolia subsp. suffruticosa,MUL
Hugueninia tanacetifolia subsp. tanacetifolia,MUL
Humulus japonicus,EPI
Humulus lupulus,EPI+POP+ROB
Huperzia dentata,LAU
Huperzia selago subsp. arctica,LOI+OXY
Huperzia selago subsp. selago,MUG+PIC
Huperzia suberecta,ULI
Hyacinthella dalmatica,FES
Hyacinthella leucophaea,FES
Hyacinthella pallasiana,FES
Hyacinthoides hispanica,QUI
Hyacinthoides italica,PUB
Hyacinthoides mauritanica subsp. vincentina,ROS
Hyacinthoides non-scripta,FAG
Hyalopoa pontica,HER+LAM
Hydrilla verticillata,POT
Hydrocharis morsus-ranae,LEM
Hydrocotyle ranunculoides,POT
Hydrocotyle vulgaris,ALN+SCH
Hygroamblystegium humile,ALN
Hygroamblystegium tenax,PUR
Hygrohypnum luridum,MON
Hygrohypnum smithii,MON
Hylocomium splendens,PIC+POD
Hylotelephium telephium subsp. fabaria,ASP
Hylotelephium telephium subsp. telephium,MOL+THL
Hymenoloma crispulum,ASP
Hymenophyllum maderense,POD
Hymenophyllum tunbrigense,POD
Hymenophyllum wilsonii,POD
Hymenostylium recurvirostrum,ADI
Hyoscyamus albus,SIS
Hyoscyamus aureus,CYM
Hyoscyamus niger,ART
Hyoseris frutescens,ASP
Hyoseris lucida,CRI
Hyoseris radiata,CYM+LYG+TUB
Hyoseris scabra,TRA
Hyoseris taurina,ASP
Hyparrhenia hirta,LYG
Hyparrhenia sinaica,LYG
Hypecoum imberbe,CHE
Hypecoum littorale,TRA
Hypecoum pendulum,CHE
Hypecoum procumbens,CHE
Hypericum aciferum,ASP
Hypericum aegypticum subsp. aegypticum,CRI
Hypericum aegypticum subsp. webbii,ASP
Hypericum amblycalyx,ASP
Hypericum amplexicaule,ASP
Hypericum androsaemum,FAG+POP+QUE
Hypericum annulatum,ASP
Hypericum australe,LAV
Hypericum balearicum,ROS
Hypericum barbatum,FES+GER
Hypericum canariense var. canariense,OLE
Hypericum canariense var. floribundum,OLE
Hypericum caprifolium,MOL
Hypericum coadunatum,ADI
Hypericum confertum subsp. stenobotrys,CYP
Hypericum coris,ASP
Hypericum dubium,MOL
Hypericum elegans,FES
Hypericum elodes,LIT
Hypericum empetrifolium,QUI+ROS
Hypericum ericoides,ROS
Hypericum foliosum,AZO+LAU
Hypericum glandulosum,LAU+OLE
Hypericum grandifolium,LAU
Hypericum hircinum subsp. cambessedesii,MOL
Hypericum hircinum subsp. majus,POP
Hypericum hircinum subsp. metroi,ADI
Hypericum hirsutum,EPI
Hypericum humifusum,ISO
Hypericum hyssopifolium,GER+PUB
Hypericum jovis,ASP
Hypericum kelleri,DAP
Hypericum linarifolium,SED
Hypericum linarioides,SES
Hypericum maculatum subsp. maculatum,MUL+NAR
Hypericum majus,CYM
Hypericum montanum,GER+PUB
Hypericum mutilum,ISO
Hypericum nummularium,ADI
Hypericum olympicum,LAV
Hypericum perfoliatum,FES
Hypericum perforatum subsp. latifolium,MOL
Hypericum perforatum subsp. perforatum,GER
Hypericum perforatum subsp. veronense,FES+PUB
Hypericum pubescens,MOL
Hypericum pulchrum,GER+QUE
Hypericum reflexum,AEO
Hypericum richeri subsp. burseri,PIC
Hypericum richeri subsp. grisebachii,MUL
Hypericum richeri subsp. richeri,MUG+MUL+SES
Hypericum rochelii,FES
Hypericum rumeliacum subsp. apollonis,DAP
Hypericum rumeliacum subsp. rumeliacum,FES
Hypericum tetrapterum,MOL
Hypericum thasium,FES
Hypericum tomentosum,MOL
Hypericum trichocaulon,DAP
Hypericum triquetrifolium,ART
Hypericum umbellatum,ASP
Hypericum undulatum,MOL
Hypericum X desetangsii,MOL
Hypericum X inodorum,ASP
Hypnum cupressiforme var. lacunosum,COR+FES+SED
Hypnum jutlandicum,NAR
Hypochaeris achyrophorus,TRA+TUB
Hypochaeris cretensis,ASP+BUL+GEN
Hypochaeris facchiniana,SES
Hypochaeris glabra,SED+TRA+TUB
Hypochaeris laevigata,ASP
Hypochaeris maculata,FES+NAR
Hypochaeris oligocephala,AEO
Hypochaeris radicata subsp. platylepis,BUL
Hypochaeris radicata subsp. radicata,COR+MOL+NAR
Hypochaeris robertia,PIL+RUM+THL
Hypochaeris uniflora,TRI
Hypopitys monotropa subsp. hypophegea,FAG+QUE
Hypopitys monotropa subsp. monotropa,PIC
Hyssopus cretaceus,FES
Hyssopus officinalis subsp. aristatus,FES+ONO
Hyssopus officinalis subsp. canescens,FES
Hyssopus officinalis subsp. montanus,FES
Hyssopus officinalis subsp. officinalis,FES
Iberis amara,CHE
Iberis aurosica subsp. aurosica,THL
Iberis aurosica subsp. nana,THL
Iberis bernardiana,THL
Iberis carnosa subsp. carnosa,THL
Iberis carnosa subsp. embergeri,THL
Iberis carnosa subsp. granatensis,THL
Iberis carnosa subsp. hegelmaieri,THL
Iberis carnosa subsp. nafarroana,THL
Iberis ciliata subsp. ciliata,THL
Iberis ciliata subsp. welwitschii,LAV
Iberis fontqueri,TUB
Iberis gibraltarica,ASP
Iberis grossii,PHA
Iberis linifolia subsp. linifolia,THL
Iberis linifolia subsp. stricta,ONO
Iberis linifolia subsp. violetii,THL
Iberis nazarita,ROS
Iberis pinnata,CHE
Iberis procumbens subsp. microcarpa,LYG+ROS
Iberis saxatilis,ONO
Iberis semperflorens,ASP
Iberis sempervirens,ONO
Iberis spathulata,THL
Iberis umbellata,CHE
Ilex aquifolium,FAG
Ilex azorica,AZO
Ilex canariensis,LAU
Ilex perado subsp. azorica,AZO
Ilex perado subsp. lopezlilloi,LAU
Ilex perado subsp. perado,LAU
Ilex perado subsp. platyphylla,LAU
Illecebrum verticillatum,ISO
Impatiens balfourii,EPI
Impatiens glandulifera,EPI+POP
Impatiens noli-tangere,EPI+POP
Impatiens parviflora,EPI+POP
Imperata cylindrica,JUN+NER
Inula aschersoniana,ASP
Inula aspera,FES
Inula bifrons,GER
Inula britannica,FES+MOL
Inula candida,ASP
Inula conyzae,GER
Inula ensifolia,FES+GER
Inula germanica,GER
Inula helenium,EPI
Inula helenoides,FES
Inula helvetica,EPI
Inula heterolepis,ASP
Inula hirta,FES+GER+PUB
Inula methanaea,ASP
Inula montana,RUM
Inula oculus-christi,DRY+FES
Inula pseudolimonella,ASP
Inula salicina,FES+GER+MOL
Inula spiraeifolia,FAG+GER+PUB
Inula verbascifolia,ASP
Ipomoea imperati,AMM
Ipomoea indica,PEG
Ipomoea purpurea,PEG
Ipomoea sagittata,EPI
Ipomoea stolonifera,AMM
Iranecio taraxacifolius,LAM
Iris adriatica,ROS
Iris aphylla,FES
Iris foetidissima,POP
Iris graminea,GER
Iris halophila,FEP
Iris humilis,FES
Iris latifolia,ONO
Iris lutescens,LYG+ONO
Iris marsica,FES
Iris pallida subsp. cengialti,FES
Iris pallida subsp. illyrica,ASP
Iris pallida subsp. pallida,ASP
Iris pallida subsp. pseudopallida,ASP
Iris pontica,FES
Iris pseudacorus,PHR
Iris pumila,FES
Iris reichenbachii,SES
Iris revoluta,PEG
Iris sibirica,MOL
Iris sintenisii,PUB
Iris spuria subsp. maritima,JUN
Iris spuria subsp. spuria,FEP
Iris suaveolens,LAV
Iris tuberosa,ROS
Iris unguicularis,PUB
Iris variegata,FES+GER
Isatis allionii,THL
Isatis arnoldiana,FES
Isatis laevigata,THL
Isatis littoralis,DRY
Isatis praecox,ART
Isatis sevangensis,FES
Isatis steveniana,THL
Isatis tinctoria subsp. athoa,FES
Isatis tinctoria subsp. tinctoria,ART+THL
Isatis tomentella,FES
Isatis vermia,FES
Isoetes azorica,LIT
Isoetes boryana,LIT
Isoetes durieui,ISO
Isoetes echinospora,LIT
Isoetes heldreichii,LIT
Isoetes histrix,ISO
Isoetes lacustris,LIT
Isoetes longissima subsp. longissima,POT
Isoetes longissima subsp. tenuissima,ISO
Isoetes malinverniana,POT
Isoetes setacea,ISO
Isoetes tiguliana,ISO
Isoetes velata subsp. asturicensis,LIT
Isoetes velata subsp. velata,ISO
Isolepis cernua,ISO
Isolepis fluitans,LIT
Isolepis pseudosetacea,ISO
Isolepis setacea,ISO
Isopyrum thalictroides,FAG
Isothecium myosuroides,POD
Isothecium prolixum,AZO
Iva xanthiifolia,SIS
Ixanthus viscosus,LAU
Jacobaea abrotanifolia subsp. abrotanifolia,SES
Jacobaea abrotanifolia subsp. carpatica,TRI
Jacobaea abrotanifolia subsp. tiroliensis,LOI
Jacobaea adonidifolia,CYT+GER+ULI
Jacobaea alpina,MUL
Jacobaea ambigua,THL
Jacobaea aquatica,MOL
Jacobaea auricula,SAL
Jacobaea boissieri,IND
Jacobaea borysthenica,COR
Jacobaea erratica,MOL
Jacobaea erucifolia subsp. arenaria,LAM
Jacobaea erucifolia subsp. erucifolia,ART+FES
Jacobaea gnaphalioides,ASP
Jacobaea incana subsp. carniolica,TRI
Jacobaea incana subsp. incana,TRI
Jacobaea incana subsp. insubrica,TRI
Jacobaea leucophylla,THL
Jacobaea minuta,TUB
Jacobaea paludosa subsp. angustifolia,PHR
Jacobaea paludosa subsp. paludosa,PHR
Jacobaea persoonii,ASP
Jacobaea subalpina,MUL
Jacobaea uniflora,TRI
Jacobaea vulgaris,FES
Jacobea adonidifolia,TRI
Jacobea maritima subsp. bicolor,CRI
Jacobea maritima subsp. maritima,CRI
Jacobea maritima subsp. sicula,CRI
Jacobea minuta,TUB
Jankaea heldreichii,ASP
Jasione cavanillesii,SES
Jasione crispa subsp. amethystina,IND
Jasione crispa subsp. arvernensis,TRI
Jasione crispa subsp. centralis,IND
Jasione crispa subsp. crispa,IND
Jasione crispa subsp. mariana,ASP
Jasione crispa subsp. tomentosa,ROS
Jasione crispa subsp. tristis,IND
Jasione foliosa,ASP
Jasione laevis subsp. carpetana,TRI
Jasione laevis subsp. gredensis,TRI
Jasione laevis subsp. laevis,ULI
Jasione mansanetiana,ASP
Jasione montana var. bracteosa,TRA
Jasione montana var. gracilis,TUB
Jasione montana var. montana,COR+CRU
Jasione orbiculata,TRI
Jasione penicillata,TUB
Jasione sessiliflora,COR+IND+PHA
Jasminum azoricum,OLE
Jasminum fruticans,PUB+QUI
Jasminum nudiflorum,QUI
Jasminum odoratissimum,OLE
Jasminum officinale,QUI
Jasonia tuberosa,MOL
Juglans regia,POP
Juncus acutiflorus subsp. acutiflorus,MOL
Juncus acutiflorus subsp. rugosus,MOL
Juncus acutus,JUN
Juncus alpinoarticulatus subsp. alpestris,SCH
Juncus alpinoarticulatus subsp. alpinoarticulatus,SCH
Juncus anceps,SCH
Juncus arcticus,SCH
Juncus articulatus,ISO+SCH
Juncus atratus,MOL
Juncus balticus subsp. cantabricus,NAR
Juncus biglumis,SCH
Juncus bufonius,ISO
Juncus bulbosus,SCH
Juncus capitatus,ISO
Juncus castaneus,SCH
Juncus compressus,MOL
Juncus conglomeratus,MOL+NAR
Juncus effusus,MOL
Juncus emmanuelis,LIT
Juncus ensifolius,MOL
Juncus filiformis,SCH
Juncus fontanesii,MOL
Juncus gerardi,FEP+JUN
Juncus heldreichianus,JUN
Juncus heterophyllus,LIT
Juncus hybridus,ISO
Juncus inflexus,MOL
Juncus jacquinii,TRI
Juncus littoralis,JUN
Juncus maritimus,JUN
Juncus minutulus,ISO
Juncus monanthos,SES
Juncus pygmaeus,ISO+SCH
Juncus ranarius,ISO
Juncus sorrentinii,ISO
Juncus sphaerocarpus,ISO
Juncus squarrosus,NAR+OXY
Juncus striatus,MOL
Juncus stygius,SCH
Juncus subnodulosus,ALN+MOL+PHR+SCH
Juncus subulatus,JUN
Juncus tenageia subsp. perpusillus,ISO
Juncus tenageia subsp. tenageia,ISO
Juncus tenuis,MOL
Juncus tingitanus,ISO
Juncus trifidus,TRI
Juncus triglumis,SCH
Jungermannia exsertifolia,MON
Juniperus brevifolia,AZO
Juniperus cedrus,CAN
Juniperus communis subsp. communis,PIC+RHA
Juniperus communis subsp. hemisphaerica,DAP+RUM+SAB
Juniperus communis subsp. nana,GEN+LOI+MUG+RHO+SAB
Juniperus communis X nothosubsp. guadarramica,SAB
Juniperus drupacea,PUB
Juniperus excelsa,PUB+SAB
Juniperus foetidissima,SAB
Juniperus macrocarpa,QUI
Juniperus navicularis,QUI
Juniperus oxycedrus subsp. badia,QUI
Juniperus oxycedrus subsp. oxycedrus,PUB+RHA
Juniperus phoenicea,OLE+QUI
Juniperus sabina,ERI+SAB
Juniperus thurifera,SAB
Jurinea arachnoidea,FES
Jurinea bocconei,RUM
Jurinea brachycephala,FES
Jurinea cadmea,DAP
Jurinea consanguinea,FES
Jurinea cretacea,FES
Jurinea cyanoides,COR+PYR
Jurinea fontqueri,THL
Jurinea humilis,IND+ONO
Jurinea ledebourii,FES
Jurinea longifolia,COR
Jurinea mollis,FES
Jurinea pinnata,ROS
Jurinea roegneri,FES
Jurinea stoechadifolia,FES
Justicia hyssopifolia,OLE
Kalidium caspicum,KAL
Kalidium foliatum,KAL
Kalmia angustifolia,OXY
Kalmia procumbens,LOI
Karelinia caspia,KAL+TAM
Kengia serotina subsp. bulgarica,FES
Kengia serotina subsp. serotina,FES
Kernera saxatilis subsp. boissieri,ASP
Kernera saxatilis subsp. saxatilis,ASP
Kerria japonica,ROB
Kiaeria falcata,HER
Kiaeria riparia,HER
Kiaeria starkei,HER
Kickxia cirrhosa,ISO
Kickxia commutata,ISO
Kickxia elatine,PAR
Kickxia lanigera,CHE
Kickxia sagittata,KLE
Kickxia scoparia,KLE
Kickxia spuria subsp. integrifolia,CHE
Kickxia spuria subsp. spuria,PAR
Klasea baetica subsp. alcalae,QUI
Klasea baetica subsp. baetica,LAV
Klasea baetica subsp. lusitanica var. lusitanica,QUI+ROS
Klasea baetica subsp. lusitanica var. sampaiana,LAV
Klasea erucifolia,FES
Klasea flavescens subsp. flavescens,FES
Klasea flavescens subsp. leucantha,ROS
Klasea flavescens subsp. mucronata,ROS
Klasea flavescens subsp. neglecta,ROS
Klasea integrifolia subsp. algarbiensis,LAV
Klasea integrifolia subsp. integrifolia,QUI
Klasea legionensis,GER
Klasea lycopifolia,FES+GER
Klasea nudicaulis,ONO+SES
Klasea pinnatifida,ROS
Klasea radiata subsp. cetinjensis,FES
Klasea radiata subsp. donetzica,FES
Klasea radiata subsp. gmelinii,FES
Klasea radiata subsp. tanaitica,FES
Kleinia neriifolia,KLE
Knautia arvensis subsp. arvensis,FES+MOL
Knautia arvensis subsp. pannonica,FES
Knautia arvernensis,GER+MOL
Knautia baldensis,MUL+SES
Knautia basaltica,MUL
Knautia calycina,RUM
Knautia carinthiaca,ERI
Knautia dinarica,ERI
Knautia dipsacifolia subsp. dipsacifolia,MUL
Knautia dipsacifolia subsp. gracilis,MUL
Knautia dipsacifolia subsp. sixtina,MUL
Knautia drymeia subsp. centrifrons,MUL
Knautia drymeia subsp. drymeia,FAG
Knautia drymeia subsp. intermedia,MUL
Knautia drymeia subsp. tergestina,GER
Knautia fleischmannii,FES+GER
Knautia godetii,MOL
Knautia illyrica,FES+GER
Knautia integrifolia,CHE
Knautia kitaibelii,FES
Knautia leucophaea,FES
Knautia longifolia,SES
Knautia maxima,GER+MUL
Knautia mollis,ONO
Knautia persicina,SES
Knautia purpurea,FES+ROS
Knautia ressmannii,ERI
Knautia sarajevensis,MOL
Knautia slovaca,ERI
Knautia subcanescens,MOL
Knautia subscaposa,ROS
Knautia transalpina,MOL
Knautia velutina,SES
Knautia X norica,ERI+PIC
Kobresia capilliformis,KOB
Kobresia myosuroides,KOB
Kobresia schoenoides,KOB
Kobresia simpliciuscula,SCH
Koeleria arenaria,CRU
Koeleria asiatica subsp. ledebourii,TRI
Koeleria australis,FES+SES
Koeleria brevis,FES
Koeleria cenisia,SES
Koeleria crassipes,IND
Koeleria eriostachya,FES+SES
Koeleria glauca subsp. glauca,COR
Koeleria glauca subsp. sabuletorum,PYR
Koeleria hirsuta,TRI
Koeleria insubrica,SES
Koeleria lobata,DAP+DRY+FES+RUM
Koeleria loweana,SAC
Koeleria macrantha,FES+SAC
Koeleria nitidula,FES
Koeleria pyramidata subsp. montana,FES
Koeleria pyramidata subsp. pyramidata,FES
Koeleria sclerophylla,FES
Koeleria spendens,FES
Koeleria talievii,FES
Koeleria vallesiana subsp. castellana,ROS
Koeleria vallesiana subsp. vallesiana,FES+ONO
Koelpinia linearis,TUB
Koenigia islandica,ISO
Kosteletzkya pentacarpos,PHR
Krascheninnikovia ceratoides,FES
Kundmannia sicula,CHE
Kunkeliella canariensis,OLE
Kunkeliella psilotoclada,OLE
Kunkeliella retamoides,OLE
Kunkeliella subsucculenta,CRI
Kurzia pauciflora,OXY
Laburnum alpinum,FAG
Laburnum anagyroides,PUB
Lactuca acanthifolia,ASP
Lactuca alpestris,DAP
Lactuca alpina,MUL
Lactuca intricata,THL
Lactuca longidentata,ASP
Lactuca macrophylla subsp. macrophylla,EPI
Lactuca macrophylla subsp. uralensis,MUL
Lactuca muralis,EPI+FAG
Lactuca palmensis,CAN
Lactuca pancicii,MUL
Lactuca perennis,FES+ONO
Lactuca plumieri,MUL
Lactuca quercina,GER+PUB
Lactuca saligna,SIS
Lactuca sativa,SIS
Lactuca serriola,SIS
Lactuca sibirica,MUL
Lactuca tatarica,FEP+SIS
Lactuca tenerrima,CYM+THL
Lactuca tetrantha,CYP
Lactuca tuberosa,ROS
Lactuca viminea subsp. chondrilliflora,THL
Lactuca viminea subsp. ramosissima,FES
Lactuca viminea subsp. viminea,DRY+FES
Lactuca virosa,ART
