taxon;rl;a;b;r;rl.al;rl.bm;rl.nv;rl.sv;rl.pa;o.v;o.nt;o.ot;o.s;o.k;o.st;o.o;o.n;o.w;o.b;responsibility;distribution;lifeform
Misopates orontium;EN;2;-2;-1;CR;●;CR;●;●;u;u;;?;●;†;●*;●;●;●;;Eur (Kosm);H
Moehringia bavarica;NT;2;0;-1;●;;;;;;;;;;●;;;;;D;Eur;S
Moehringia ciliata;LC;4;0;0;●;;f;;;●;●;●;●;●;●;●;●;;;;Eur;S
Moehringia diversifolia;NT;2;0;-1;●;;;;;;;;;●;●;–;;;;E;ZE-Alp!;H
Moehringia muscosa;LC;5;0;0;●;EN;EN;n;;●;●;●;●;●;●;●;●;;;;Eur;S
Moehringia trinervia;LC;5;0;0;●;●;●;●;●;●;●;●;●;●;●;●;●;●;●;;Euras;H
Moenchia mantica;EN;2;-2;-2;n;;;●;CR;;;;;;●;;;u;●;;Eur;H
Molinia arundinacea;LC;4;-1;-1;●;●;●;●;●;●;●;●;●;●;●;●;●;●;●;;Eur;S
Molinia caerulea s.str.;LC;5;-2;-1;●;NT;NT;EN;VU;●;●;●;●;●;●;●;●;●;●;;Kosm;S
Moneses uniflora;LC;4;0;0;●;CR;CR;CR;RE;●;●;●;●;●;●;●;●;;●;;Hol;S
Montia fontana;NT;3;-1;-1;●;EN;RE;;;●;●;●;●;●;●;●;●;;;;Kosm;H
Montia fontana subsp. amporitana;EN;2;-2;-2;?;●;?;;;;;;;;?;●;●;;;;Kosm;H
Montia fontana subsp. fontana;NT;3;-1;-1;●;;?;;;●;●;●;●;●;●;?;●;;;;Kosm;H
Morus alba;n;;;;;;;;;;;;u;u;u;u;le?;u;le?;;;B
Mummenhoffia alliacea;n;;;;;;;;;;u;;e;;e;e;u;u;e;;;H
Muscari armeniacum;n;;;;;;;;;;u;u;le;u;u;le;le;le;;;;S
Muscari azureum;n;;;;;;;;;;;;;;;;le;le;;;;S
Muscari botryoides;EN;2;-2;-1;●*;●*;●*;●*;n;●*;u;u;u;●*;●*;●*;u;u;●*;;Eur (Hol);S
Muscari comosum;NT;4;-2;-1;VU;VU;EN;VU;●;;;;;●;●;●;●;●;●;;Euras;S
Muscari neglectum;NT;3;-1;-1;VU;VU;EN;RE*,n;●;●*;e;;u;u;●*;●*;●;●;●;;Eur;S
Muscari tenuiflorum;EN;2;-2;-1;;;;;●;;;;;;;;●;●;●;;Euras;S
Mutellina adonidifolia;LC;4;0;0;●;;;;;●;●;●;●;●;●;●;●;;;;Eur;S
Myagrum perfoliatum;EN;2;-2;-1;CR;;n;n;●;;u;;u;–;●;u;●;●;●;;Euras (Kosm);H
Myosotis alpestris;LC;4;0;0;●;;f;;;●;●;●;●;●;●;●;●;;;;Hol;S
Myosotis arvensis;LC;5;-1;-1;●;●;●;●;●;●;●;●;●;●;●;●;●;●;●;;Euras (Kosm);H
Myosotis decumbens subsp. decumbens;LC;3;0;0;●;;;;;●;●;●;●;●;●;●;;;;;Eur;S
Myosotis decumbens subsp. kerneri;LC;2;0;0;●;;;;;;●;●;●;●;●;●;;;;E;E-Alp!;S
Myosotis decumbens subsp. variabilis;LC;2;0;0;●;;;;;;;;●;●;●;?;●;;;;Eur;S
Myosotis discolor;EN;2;-2;-1;CR;●;RE,n;CR;●;;;;u;;●;●;●;●;●;;Eur;H
Myosotis laxa subsp. cespitosa;VU;2;-1;-1;EN;●;CR;EN;●;●;●;;●;●;●;●;●;;●;;Hol;S
Myosotis nemorosa;LC;4;-1;-1;●;●;●;●;?;●;●;●;●;●;●;●;●;●;●;;Euras;S
Myosotis ramosissima;LC;4;-1;-1;VU;VU;EN;EN;●;?;?;;●;●;●;●;●;●;●;;Euras;H
Myosotis rehsteineri;EN;1;-1;-1;●;;;;;●;;;;;;–;;;;V;Eur*;S
Myosotis scorpioides;LC;4;-1;-1;●;●;●;●;VU;●;●;●;●;●;●;●;●;●;●;;Euras (Kosm);S
Myosotis sparsiflora;NT;3;-1;0;●;VU;CR;●;VU;;;;e;●;●;u;●;●;●;;Euras;H
Myosotis stenophylla;VU;1;0;-1;●;●;;EN;;;;;;;●;;●;;●;;Eur;S
Myosotis stricta;NT;3;-1;-1;EN;●;CR;●;VU;u;●;●;●;●;●;●;●;●;●;;Euras (Kosm);H
Myosotis sylvatica s.str.;LC;5;0;0;●;●;●;●;NT;●;●;●;●;●;●;●;●;●;●;;Eur (Kosm);S
Myosurus minimus;EN;2;-2;-1;RE;●;CR;●;●;;;;;;†?;●;●;†;●;;Hol;H
Myricaria germanica;CR;2;-3;-2;●;RE;RE;RE;RE;†,u;●;●;†;●;●;†;†;†;;;Euras;B
Myriophyllum alterniflorum;EN;1;-1;-1;●;●;;;;;;;;●;●;●;;;;;Hol;S
Myriophyllum aquaticum;n;;;;;;;;;;;;;le;;u;;;;;;S
Myriophyllum heterophyllum;n;;;;;;;;;;;;;u;le;;u;;;;;S
Myriophyllum spicatum;LC;3;0;0;●;●;●;●;●;●;●;e;●;●;●;●;●;●;●;;Kosm;S
Myriophyllum verticillatum;VU;3;-2;-1;●;CR;●;EN;●;●;●;–;●;●;●;●;●;●;●;;Hol;S
Myrrhis odorata;LC;2;0;0;●;;;;;le;●*;;e;●;●*;;;;;;Eur;S
Najas flexilis;CR;1;?;-1;●;;;;;;;;;●;;;;;;D;Hol;H
Najas major;LC;3;1;1;●;;●;;●;?;;;e;?;;?;;;e;;Eur;H
Najas marina agg.;LC;3;1;1;●;;●;n;●;e;le;;e;●;e;e;●;e;e;;;H
Najas marina s.str.;LC;2;0;0;●;;●;n;●;?;le;;e;●;e;e;●;e;e;;Kosm;H
Najas minor;EN;1;-1;-1;●;;●;●;●;●;†;;●;●;●;†;●;●;–;;Euras (Hol);H
Narcissus pseudonarcissus;n;;;;;;;;;u;u;u;le;u;le;le;le;u;u;;;S
Narcissus radiiflorus;VU;3;-2;-1;●;n;CR;EN;;;;;u;●;●;●;●;;;;Eur;S
Nardus stricta;LC;5;-2;-1;●;VU;EN;EN;CR;●;●;●;●;●;●;●;●;●;●;;Eur;S
Nasturtium microphyllum;NT;2;0;-1;●;CR;EN;;;●;●;;●;;;●;?;;;;Eur (Kosm);S
Nasturtium officinale s.str.;NT;3;-1;-1;●;CR;VU;EN;●;●;●;–;●;●;●;●;●;●;●;;Kosm;S
Nasturtium x sterile;VU;2;-1;0;●;;●;;EN*;●;;;●*;;;●;●*;;;;Eur;S
Neotinea tridentata;EN;2;-2;-2;●;●;●;●;●;;;;†;●;●;●;●;●;●;;Eur;S
Neotinea ustulata subsp. aestivalis;EN;2;?;-1;●;;;●;●;;●;●;●;●;●;●;●;●;●;;Eur;S
Neotinea ustulata subsp. ustulata;VU;3;-2;-2;●;EN;CR;EN;●;●;●;●;●;●;●;●;●;●;●;;Euras;S
Neottia cordata;LC;3;0;0;●;CR;CR;;;●;●;●;●;●;●;●;●;;;;Hol;S
Neottia nidus-avis;LC;5;-1;0;●;NT;NT;●;●;●;●;●;●;●;●;●;●;●;●;;Euras;S
Neottia ovata;LC;5;-1;-1;●;VU;NT;NT;NT;●;●;●;●;●;●;●;●;●;●;;Euras;S
Nepeta cataria;NT;3;-1;-1;VU;EN;EN;EN;●;u;●;●;u;●;●;●*;●;●;●;;Euras (Kosm);S
Nepeta nuda;EN;2;-2;-1;RE?*;RE*;?;CR;●;;;†;;●;●;–;●;u;●;;Euras;S
Nepeta racemosa;n;;;;;;;;;;u;u;u;u;u;u;u;u;le;;;S
Neslia paniculata;EN;3;-3;-2;●;●;CR;●;●;†;●;†,u;●;●;●;●;●;●;●;;Euras (Kosm);H
Nigella arvensis;EN;2;-2;-2;RE?;RE?;RE;RE;●;–;u;–;;;;†;●;●;●;;Eur (Euras);H
Nigritella archiducis-joannis;VU;1;0;-1;●;;;;;;;;●;●;●;●;;;;S;E-Alp;S
Nigritella lithopolitanica;VU;1;0;-1;●;;;;;;;;;●;●;;;;;S;E-Alp;S
Nigritella miniata s.str.;LC;3;0;0;●;;;;;●;●;●;●;●;●;●;●;;;;Eur;S
Nigritella minor;VU;1;0;-1;●;;;;;;;;;;●;;;;;E;NE-Alp*!;S
Nigritella nigra subsp. austriaca;NT;2;0;-1;●;;;;;;●;†?;●;●;●;●;●;;;S;E-Alp;S
Nigritella rhellicani;LC;4;0;0;●;;;;;●;●;●;●;●;●;●;;;;;Alp;S
Nigritella stiriaca;VU;2;-1;-1;●;;;;;;;;●;;●;●;;;;E;NE-Alp!;S
Nigritella widderi;NT;2;0;-1;●;;;;;;●;;●;;●;●;●;;;S;Eur;S
Noccaea caerulescens agg.;VU;3;-2;-1;●;EN;;CR;;●;●;●;●;●;●;●;●;;●;;Eur;S
Noccaea crantzii;LC;3;0;0;●;;;;;;;;;;●;●;●;;;E;NE-Alp!;S
Noccaea goesingensis;NT;2;0;-1;●;;;●;;;;;;;●;;●;;●;;Eur;S
Noccaea minima;LC;2;0;0;●;;;;;;;;;●;;;;;;;Eur;S
Noccaea montana;NT;2;0;-1;●;EN;EN;;;;;;;;;–;●;●;;;Eur;S
Noccaea praecox;VU;1;0;-1;●;;;;;;;;;●;u;;;;;;Eur;S
Noccaea rotundifolia subsp. cepaeifolia;CR;1;-2;-2;●;;;;;;;;;●;;;;;;S;SE-Alp*;S
Noccaea rotundifolia subsp. rotundifolia;LC;3;0;0;●;;;;;●;●;●;●;●;●;●;●;;;;Alp;S
Nonea pulla;NT;3;-1;-1;EN;●;EN;EN;●;;;;u;;;●;●;●;●;;Euras;S
Nuphar advena;n;;;;;;;;;;;;;;;;le;;;;;S
Nuphar lutea;NT;3;-1;0;●;CR;●;●;●;●;●;–;●;●;●;●;●;●;●;;Euras (Hol);S
Nuphar pumila;CR;1;-2;-3;●;RE?;RE;;;;●;;●;●;;†;†?;;;;Hol;S
Nymphaea alba;VU;2;-1;-1;●;CR;●;●;RE?,n;●;●;†;e;●;●;●;●;e;●;;Eur (Kosm);S
Nymphaea candida;LC;2;0;0;●;CR;CR;;;;●;;†;●;●;●;†?;;;;Euras;S
Nymphoides peltata;EN;1;-1;-1;●*;●*;●*;●*;●*;u;le;;e;u;●*;e;e;e;u;;Euras (Hol);S
Odontarrhena muralis;n;;;;;;;;;;;;;u;le;le;le;u;u;;;S
Odontites luteus;VU;2;-1;-1;EN;●;RE;RE?;●;u;●;–;;●;●;†;●;●;●;;Eur;H
Odontites vernus;VU;2;-1;-1;●;●;EN;EN;CR;u;●;?;●;†;●;●;●;●;?;;Eur;H
Odontites vulgaris;LC;4;0;-1;●;●;●;●;●;●;●;●;●;●;●;●;●;●;●;;Euras (Hol);H
Oenanthe aquatica;VU;3;-1;-2;CR;●;CR;●;●;;;–;†;●;●;●;●;●;●;;Euras;H
Oenanthe banatica;CR;1;?;-3;;;;●;;;;;;;;;;;●;;Eur;S
Oenanthe fistulosa;CR;1;-3;-3;;;;RE;●;;;;;;;–;†;u?;●;;Eur;S
Oenanthe silaifolia;CR;1;-3;-3;;;;RE;●;;;;;–;;–;●;†;†;;Euras;S
Oenothera biennis s.str.;n;;;;;;;;;le;le;e;e;e;e;e;e;e;e;;;H
Oenothera deflexa;n;;;;;;;;;;u;u;e?;u;u;e?;;;;;;H
Oenothera fallax s.str.;n;;;;;;;;;;e?;;e?;e?;e?;e?;e?;e?;e?;;;H
Oenothera glazioviana s.str.;n;;;;;;;;;e?;e?;e?;e;e?;e;e;e;e;e;;;H
Oenothera pycnocarpa;n;;;;;;;;;;u;u;e;u;u;e;u;le;;;;H
Oenothera rubricaulis;n;;;;;;;;;;;e?;e?;e?;e?;e?;e?;e?;e?;;;H
Omalotheca hoppeana;LC;3;0;0;●;;;;;●;●;●;●;●;●;●;●;;;;Eur;S
Omalotheca norvegica;LC;4;0;0;●;CR;;;;●;●;●;●;●;●;●;●;;;;Hol;S
Omalotheca supina;LC;4;0;0;●;;;;;●;●;●;●;●;●;●;●;;;;Hol;S
Omalotheca sylvatica;LC;5;0;0;●;●;●;●;●;●;●;●;●;●;●;●;●;●;●;;Euras (Hol);S
Omphalodes verna;VU;1;0;-1;●;n;n;;n;u;u;u;e;●;;u;u;le;u;;Eur;S
Onobrychis arenaria subsp. arenaria;VU;3;-2;-1;●;EN;;;●;?;●;●;–;●;●;?;●;●;●;;Euras;S
Onobrychis arenaria subsp. taurerica;EN;1;-1;-1;●;;;;;;;●;;●;;;;;;E;E-Alp!;S
Onobrychis montana;VU;2;-1;-1;●;;;;;●;●;;;;;;;;;;Eur;S
Onobrychis viciifolia s.str.;n;;;;;;;;;e;e;e;e;e;e;e;e;e;e;;;S
Ononis arvensis;EN;2;-2;-1;n;n;n;RE?;●;u;e;e;†;●;●;u;●;●;●;;Euras;S
Ononis pusilla;VU;2;-1;-1;●;;;;●;;;;;–;;;●;●;●;;Eur;H
Ononis repens subsp. procurrens;VU;3;-2;-1;●;;EN;?;?;●;●;●;●;●;●;●;●;●;?;;Eur;S
Ononis rotundifolia;LC;2;0;0;●;;;;;;●;●;;●;;;;;;;Eur;S
Ononis spinosa subsp. austriaca;G;?;?;?;●;●;●;●;●;●;●;●;●;●;●;●;●;●;●;;Eur;S
Ononis spinosa subsp. spinosa;NT;4;-2;-1;●;VU;VU;VU;●;●;●;●;●;●;●;●;●;●;●;;Euras;S
Onopordum acanthium;LC;4;0;0;VU;●;RE,n;●;●;u;●;●;u;●;u;u;●;●;●;;Euras (Kosm);H
Onosma arenaria;EN;2;-2;-2;;;;;●;;;;;;;;●;●;●;;Euras;H
Onosma helvetica subsp. austriaca;CR;1;-2;-1;;;;;●;;;;;;;;●;;;E;Ö*!;H
Onosma visianii;EN;1;-1;-1;●;;;;●;;;;;;;;●;;;D;Eur;H
Ophioglossum vulgatum;VU;3;-2;-1;●;CR;EN;CR;●;●;●;†;●;●;●;●;●;●;●;;Hol;S
Ophrys apifera;EN;2;-1;-2;●;;;CR;●;●;●;;;–;●;●;●;●;●;;Euras;S
Ophrys holoserica;EN;2;-2;-1;CR;;CR;CR;●;●;;;;●;●;●;●;●;●;;Euras;S
Ophrys insectifera;LC;4;-1;-1;●;;CR;RE;VU;●;●;●;●;●;●;●;●;●;●;;Eur;S
Ophrys sphegodes;VU;2;-1;-1;RE?;;RE;EN;●;†;†;;;†?;●;†;●;●;●;;Euras;S
Opuntia humifusa;n;;;;;;;;;u;le;;;;;;u;;;;;B
Opuntia phaeacantha;n;;;;;;;;;;;;;;;;le;u;;;;B
Orchis mascula subsp. mascula;VU;2;-1;-1;●;;;;;●;●;;;;;;;;;;Euras;S
Orchis mascula subsp. speciosa;NT;4;-2;-1;●;EN;CR;RE;RE?;●;●;●;●;●;●;●;●;†;†;;Eur;S
Orchis militaris;VU;3;-2;-1;●;EN;EN;CR;●;●;●;●;●;●;●;●;●;●;●;;Euras;S
Orchis pallens;VU;3;-2;-1;●;CR;CR;CR;CR;●;●;;●;–;●;●;●;●;●;;Eur;S
Orchis purpurea;VU;2;-1;-1;EN;RE;RE;;●;†;;;u;●;u;†;●;●;●;;Eur;S
Orchis simia;CR;1;?;-1;n;;;;●*;;;;;;u;;●*;;;;Eur;S
Orchis spitzelii;CR;1;-3;-3;●;;;;;–;;;●;†;;†;†;;;;Eur;S
Oreochloa disticha;LC;4;0;0;●;;;;;●;●;●;●;●;●;–;;;;;Eur;S
Oreojuncus monanthos;LC;3;0;0;●;;;;;●;●;●;●;●;●;●;●;;;;Eur;S
Oreojuncus trifidus s.str.;LC;4;0;0;●;;;;;●;●;●;●;●;●;●;●;;;;Hol;S
Oreopteris limbosperma;LC;5;0;0;●;●;●;●;EN;●;●;●;●;●;●;●;●;†;●;;Euras (Hol);S
Origanum vulgare;LC;5;-1;-1;●;●;●;●;●;●;●;●;●;●;●;●;●;●;●;;Euras (Kosm);S
Orlaya grandiflora;VU;2;-1;0;RE*;EN;RE;;●;;u;u;;†*;;†;●;●;?;;Eur;H
Ornithogalum kochii subagg.;VU;3;-2;-1;EN;EN;?;EN;●;;;;;●;;–;●;●;●;;Eur;S
Ornithogalum pannonicum;VU;2;-1;0;;;;;●;;;;;;;;●;●;●;;Eur;S
Ornithogalum umbellatum subagg.;NT;3;-1;-1;VU;VU;●;●;●;●*;●;●;●*;●;●;●;●;●;●*;;Euras (Kosm);S
Orobanche alba;NT;4;-2;-1;●;VU;EN;CR;VU;●;●;●;●;●;●;●;●;●;●;;Euras;S
Orobanche alsatica s.str.;EN;1;-1;-1;●;;;●;●;;;;;;●;;●;●;†;;Euras;S
Orobanche artemisiae-campestris s.str.;CR;1;-2;-3;RE;;;;●;;;;;†;;–;●;;;;Eur;S
Orobanche bartlingii;EN;1;-1;-1;●;;;;●;;;†?;●;●;●;●;●;;●;;Eur;S
Orobanche caryophyllacea;NT;3;-1;-1;●;EN;EN;VU;EN;●;●;●;●;●;●;●;●;●;●;;Euras;S
Orobanche centaurina;EN;2;?;-1;●;;;;●;;;;?;●;†?;;●;●;●;;Euras;S
Orobanche coerulescens;CR;1;-2;-1;;RE?;;;●;;;;;;;†;●;†;;;Euras;S
Orobanche elatior agg.;EN;;;;●;CR;;CR;●;†;●;;†;●;●;●;●;●;●;;;
Orobanche elatior s.str.;EN;2;?;-1;●;;;;●;†;●;;;●;?;●;●;;●;;Euras;S
Orobanche flava;LC;3;0;0;●;;EN;;;●;●;●;●;●;●;●;●;;;;Eur;S
Orobanche gracilis;NT;4;-2;-1;●;EN;VU;●;●;●;●;●;●;●;●;●;●;●;●;;Eur;S
Orobanche hederae;EN;1;-1;-1;●;;n;n;n;●;†?,le?;;u;;le?;;e;le;;;Eur;S
Orobanche laserpitii-sileris;EN;1;-1;-1;●;;;;;●;;;;●;†?;;●;;;;Eur;S
Orobanche lucorum;CR;2;-3;-3;●;;;;;†;●;†;●;●;;?;;;;;Eur;S
Orobanche lutea;NT;3;-1;-1;●;EN;EN;EN;●;●;●;●;;●;●;●;●;●;●;;Euras;S
Orobanche lycoctoni;LC;1;0;0;●;;;;;●;●;;●;●;●;;;;;;Eur;S
Orobanche minor;NT;3;-2;0;VU;EN;●;●;EN;●;●;†?*;●;●;●;●*;●;;●;;Euras (Kosm);S
Orobanche pancicii;LC;2;0;0;●;;;EN;;;;;†;●;●;;●;;●;;Eur;S
Orobanche picridis;CR;1;-3;-1;RE?;;RE;RE;●;;;;;†?;†;†;●;†;;;Eur;S
Orobanche reticulata subsp. pallidiflora;EN;2;-2;-2;CR;;CR;;●;†;?;;;●;;●;●;●;●;;Eur;S
Orobanche reticulata subsp. reticulata;LC;3;0;0;●;;;;;●;●;●;●;●;●;●;●;;;;Eur;S
Orobanche salviae;LC;3;0;0;●;RE?;CR;VU;;●;●;●;●;●;●;●;●;●;;;Eur;S
Orobanche teucrii;NT;3;-1;-1;●;EN;CR;;VU;●;●;●;●;●;●;●;●;●;●;;Eur;S
Orthilia secunda;LC;4;-1;-1;●;EN;CR;VU;CR;●;●;●;●;●;●;●;●;;●;;Kosm;S
Ostrya carpinifolia;LC;2;0;0;●;;;;;;●;●;;●;●;;;u;;;Eur;B
Othocallis mischtschenkoana;n;;;;;;;;;;;;;;u;;u;le?;;;;S
Othocallis siberica;n;;;;;;;;;;u;u;le;u;u;u;u;u;u;;;S
Oxalis acetosella;LC;5;0;0;●;●;●;●;●;●;●;●;●;●;●;●;●;●;●;;Euras (Hol);S
Oxalis corniculata;n;;;;;;;;;e;e;e;e;e;e;e;e;e;e;;;S
Oxalis dillenii;n;;;;;;;;;e;e;e;e;e;e;e;e;e;e;;;S
Oxalis stricta;n;;;;;;;;;e;e;e;e;e;e;e;e;e;e;;;S
Oxybasis chenopodioides;VU;2;-1;-1;;;;;●;;;;;;;–;●;u;●;;Euras (Hol);H
Oxybasis glauca;LC;4;1;0;●;●;●;●;●;u;●;●;●;●;●;●;●;●;●;;Kosm;H
Oxybasis rubra s.str.;VU;3;-2;-1;EN;EN*;EN*;RE;●;u;●;●;u;u;●;●*;●;●;●;;Euras (Hol);H
Oxybasis urbica;EN;2;-2;-2;RE?;CR;CR;RE?;●;?;u;u;†*;†;†;●;●;●;●;;Euras (Hol);H
Oxyria digyna;LC;4;0;0;●;;;;;●;●;●;●;●;●;●;;;;;Hol;S
Oxytropis campestris;LC;3;0;0;●;;;;;●;●;●;●;●;●;;;;;;Hol;S
Oxytropis halleri;LC;2;0;0;●;;;;;;●;●;●;●;●;;;;;;Eur;S
Oxytropis lapponica;LC;2;0;0;●;;;;;;●;●;●;●;;;;;;;Euras;S
Oxytropis montana s.str.;LC;3;0;0;●;;;;;●;●;●;●;●;●;●;●;;;;Alp;S
Oxytropis neglecta;LC;2;0;0;●;;;;;;–;?;;●;●;;●;;;;Eur;S
Oxytropis pilosa;EN;2;-2;-1;●;;;;●;†;●;●;;●;●;–;●;†,u;●;;Euras;S
Oxytropis triflora;LC;2;0;0;●;;;;;;;●;●;●;●;–;;;;E;E-Alp!;S
Oxytropis x carinthiaca;LC;2;0;0;●;;;;;;;●;;●;●;;●;;;;E-Alp?;S
Pachypleurum mutellinoides;LC;4;0;0;●;;;;;●;●;●;●;●;●;●;●;;;;Hol;S
Pachysandra terminalis;n;;;;;;;;;;;u;u;u;le;u;u;;;;;S
Paederota bonarota;LC;2;0;0;●;;;;;le;;●;●;●;;;;;;;SE-Alp;S
Paederota lutea;LC;2;0;0;●;;;;;;;;;●;;;;;;;Eur;S
Paeonia mascula;n;;;;;;;;;;;;;;;;le;;;;;S
Panicum barbipulvinatum;n;;;;;;;;;u;e;u;e;u;u;e;u;u;u;;;H
Panicum capillare s.str.;n;;;;;;;;;e;e;u;e;e;e;e;e;e;e;;;H
Panicum dichotomiflorum;n;;;;;;;;;le;e;;u;e;e;e;u;u;e;;;H
Panicum miliaceum subsp. agricola;n;;;;;;;;;;u;u;;u;u;u;e;e;e;;;H
Panicum miliaceum subsp. ruderale;n;;;;;;;;;;e;u;;e;e;u;e;e;e;;;H
Panicum schinzii;n;;;;;;;;;;;;;u;u;e;;;u;;;H
Papaver alpinum;LC;3;0;0;●;;f;;;●;●;●;●;●;●;●;●;;;;Eur;S
Papaver argemone;EN;2;-2;-1;RE,n;●;CR;RE?,n;●;u;†,u;†;;?;†;†,u;●;●;●;;Eur (Kosm);H
Papaver cambricum;n;;;;;;;;;u;;u;u;;le;u;u;;;;;S
Papaver dubium subsp. austromoravicum;EN;2;?;-1;n;;n;;●;;;;u;;;?;●;●;●;;Eur;H
Papaver dubium subsp. confine;VU;2;-1;-1;n;EN;n;;●;;u;–;;;u;u;●;●;●;;Eur;H
Papaver dubium subsp. dubium;NT;3;-1;-1;●;●;CR;?;n;●;●;●;●;●;●;●;●;u;;;Kosm;H
Papaver rhoeas;LC;5;-2;-1;VU;VU;NT;NT;●;●;●;●;●;●;●;●;●;●;●;;Eur (Kosm);H
Paradisea liliastrum;VU;1;0;-1;●;;;;;le;;;;●;;;;;;;Eur;S
Paragymnopteris marantae;EN;1;-1;-1;●;●;;;;;;;;;●;;●;;†;D;Kosm;S
Parietaria judaica;n;;;;;;;;;;e;;u;u;e;u;u;e;;;;S
Parietaria officinalis;LC;3;0;0;VU;n;EN;VU;●;u;u;le;●*;●;●;u;●;●;●;;Eur;S
Paris quadrifolia;LC;5;0;-1;●;●;●;●;●;●;●;●;●;●;●;●;●;●;●;;Euras;S
Parnassia palustris;LC;5;-1;-1;●;EN;EN;CR;CR;●;●;●;●;●;●;●;●;●;●;;Hol;S
Parthenocissus inserta;n;;;;;;;;;e;e;e;e;le;e;e;e;e;e;;;B
Pastinaca sativa;LC;5;0;0;●;●;●;●;●;●;●;●;●;●;●;●;●;●;●;;Euras (Kosm);S
Patzkea paniculata;LC;3;0;-1;●;;;;;;;●;●;●;●;;;;;;Eur;S
Paulownia tomentosa;n;;;;;;;;;u;u;;u;u;le;u;u;u;u;;;B
Pedicularis aspleniifolia;LC;3;0;0;●;;;;;?;●;●;●;●;●;–;;;;S;E-Alp;S
Pedicularis elongata s.str.;LC;2;0;0;●;;;;;u;●;●;;●;;;;;;;Eur;S
Pedicularis foliosa;LC;3;0;0;●;;;;;●;●;●;●;●;●;●;●;;;;Eur;S
Pedicularis hacquetii;LC;1;0;0;●;;;;;;;;;●;;;;;;;Eur;S
Pedicularis julica;LC;1;0;0;●;;;;;;;;;●;;;;;;;SE-Alp;S
Pedicularis kerneri;LC;2;0;0;●;;;;;●;●;●;●;?;;;;;;;Eur;S
Pedicularis oederi;LC;2;0;0;●;;;;;●;●;;;–;●;–;;;;;Hol;S
Pedicularis palustris;VU;3;-2;-2;●;EN;CR;RE;RE?;●;●;●;●;●;●;●;●;†;†?;;Euras;H
Pedicularis portenschlagii;LC;2;0;0;●;;;;;;;;●;●;●;–;●;;;E;ZE-Alp!;S
Pedicularis recutita;LC;4;0;0;●;;;;;●;●;●;●;●;●;●;●;;;;Alp;S
Pedicularis rosea;LC;2;0;0;●;;;;;;;●;●;●;●;●;●;;;;Eur;S
Pedicularis rostratocapitata;LC;4;0;0;●;;;;;●;●;●;●;●;●;●;●;;;;Eur;S
Pedicularis rostratospicata subsp. helvetica;VU;1;0;-1;●;;;;;●;●;;;;;;;;;;E-Alp;S
Pedicularis rostratospicata subsp. rostratospicata;LC;3;0;0;●;;;;;;●;;●;●;●;●;●;;;S;E-Alp;S
Pedicularis sceptrum-carolinum;CR;1;-3;-3;●;;RE;;;;;;†;–;●;–;;;;V;Euras;S
Pedicularis sylvatica;EN;2;-2;-2;CR;●;RE?;;;●;●;;;●;;●;●;;;;Eur;H
Pedicularis tuberosa;LC;3;0;0;●;;;;;?;●;●;●;●;;;;;;;Eur;S
Pedicularis verticillata;LC;3;0;0;●;;;;;●;●;●;●;●;●;●;●;;;;Hol;S
Peltaria alliacea;LC;2;0;0;●;;;VU;EN;;;;;;●;–;●;u;●*;;Eur;S
Pentanema britannicum;VU;3;-2;-1;EN;EN;RE?,n;●;●;u;u;u;u;u;u;†,u;●;●;●;;Euras;S
Pentanema ensifolium;VU;3;-2;-1;●;EN;;;●;;;;;†?;;–;●;●;●;;Eur;S
Pentanema germanicum;EN;2;-2;-2;;;;;●;;;;;;;–;●;●;●;;Eur;S
Pentanema hirtum;VU;3;-2;-1;EN;●;RE?;EN;●;;;;;●;●;†;●;●;●;;Euras;S
Pentanema oculus-christi;EN;2;-2;-1;●;●;;;●;;;;;;;–;●;●;●;;Euras;S
Pentanema salicinum;NT;4;-2;-1;●;VU;EN;●;●;●;●;†?;●;●;●;●;●;●;●;;Euras;S
Pentanema squarrosum;LC;4;0;-1;●;●;VU;●;●;●;●;●;●;●;●;●;●;●;●;;Eur;S
Persicaria amphibia;LC;4;-1;-1;●;●;●;●;●;●;●;●;●;●;●;●;●;●;●;;Hol;S
Persicaria hydropiper;LC;5;0;0;●;●;●;●;●;●;●;●;●;●;●;●;●;●;●;;Kosm;H
Persicaria lapathifolia subsp. brittingeri;NT;3;-1;0;n;●;●;;●;;;;u;;●;●;●;●;●;;Eur;H
Persicaria lapathifolia subsp. lapathifolia;LC;5;0;0;●;●;●;●;●;;●;●;●;●;●;●;●;●;●;;Kosm;H
Persicaria lapathifolia subsp. pallida;LC;3;0;0;●;●;●;●;●;●;●;●;●;●;●;●;●;●;●;;Eur;H
Persicaria maculosa;LC;5;0;0;●;●;●;●;●;●;●;●;●;●;●;●;●;●;●;;Kosm;H
Persicaria minor;LC;4;0;0;●;●;●;●;VU;●;●;●;●;●;●;●;●;●;●;;Kosm;H
Persicaria mitis;LC;5;0;0;●;●;●;●;●;●;●;●;●;●;●;●;●;●;●;;Eur (Kosm);H
Petasites albus;LC;5;0;0;●;●;●;●;VU;●;●;●;●;●;●;●;●;●;●;;Eur;S
Petasites hybridus;LC;5;0;0;●;●;●;●;NT;●;●;●;●;●;●;●;●;●;●;;Eur (Hol);S
