taxon;rl;a;b;r;rl.al;rl.bm;rl.nv;rl.sv;rl.pa;o.v;o.nt;o.ot;o.s;o.k;o.st;o.o;o.n;o.w;o.b;responsibility;distribution;lifeform
Alyssum wulfenianum subsp. wulfenianum;CR;1;-2;-2;●;;;;;;;;;●;;;;;;S;SE-Alp*;S
Amaranthus albus;n;;;;;;;;;u;u;u;u;e;e;e;e;e;e;;;H
Amaranthus blitoides;n;;;;;;;;;;u;;?;u;u;;e;e;e;;;H
Amaranthus blitum s.str.;LC;3;1;0;VU;●;●;●;●;●;u;u;●;●;●;●*;●;●;●;;Eur (Kosm);H
Amaranthus emarginatus;n;;;;;;;;;;u;u;u;u;u;u;e;u;le;;;H
Amaranthus graecizans;CR;1;-3;-2;?;;;?;●;u;;;–;u;●*;?;●;●;●;;Euras (Kosm);H
Amaranthus powellii;n;;;;;;;;;e;e;e;e;e;e;e;e;e;e;;;H
Amaranthus retroflexus;n;;;;;;;;;e;e;e;e;e;e;e;e;e;e;;;H
Ambrosia artemisiifolia;n;;;;;;;;;e;e;e;e;e;e;e;e;e;e;;;H
Amelanchier ovalis s.lat.;LC;4;0;0;●;n;EN;;●;●;●;●;●;●;●;●;●;●;●;;Euras;B
Ammi majus;n;;;;;;;;;u;u;u;u;u;u;u;le;u;u;;;H
Amorpha fruticosa;n;;;;;;;;;u;u;u;u;u;le;u;e;e;e;;;B
Anacamptis coriophora;EN;2;-3;-1;CR;RE;RE;RE;●;†;†;†;†;●;●;†;●;●;●;;Euras;S
Anacamptis morio;VU;4;-3;-2;EN;EN;CR;EN;●;●;●;●;●;●;●;●;●;●;●;;Eur;S
Anacamptis palustris;EN;2;-2;-2;RE;;RE;RE;●;;;;†;;†;†;●;†;●;;Euras;S
Anacamptis pyramidalis;VU;3;-2;-1;●;;CR;CR;EN;●;;–;;●;●;●;●;●;●;;Eur;S
Anchusa officinalis;LC;4;-1;-1;●;●;EN;VU;●;●;●;●;●;●;●;●;●;●;●;;Eur (Hol);H
Andromeda polifolia;VU;3;-2;-2;●;EN;EN;;;●;●;?;●;●;●;●;●;;;;Hol;S
Androsace alpina;LC;3;0;-1;●;;;;;●;●;●;●;●;●;–;;;;;Alp;S
Androsace chamaejasme;LC;3;0;0;●;;;;;●;●;;●;●;●;●;●;;;;Hol;S
Androsace elongata;VU;2;-1;-1;;●;;;●;;;;;;;;●;●;●;;Eur;H
Androsace hausmannii;LC;2;0;0;●;;;;;;●;●;●;●;●;●;;;;;E-Alp;S
Androsace helvetica;LC;3;0;0;●;;;;;●;●;;●;;●;●;;;;;Eur;S
Androsace lactea;LC;3;0;0;●;;;;;●;●;;●;●;●;●;●;;;;Eur;S
Androsace maxima;EN;2;-2;-1;;RE?;;;●;;u;;;;;;●;●;●;;Euras;H
Androsace obtusifolia;LC;3;0;0;●;;;;;●;●;●;●;●;●;†;●;;;;Eur;S
Androsace septentrionalis;CR;1;-2;-2;●;;;;;;●;;;;;–;●;;;D;Hol;H
Androsace villosa;VU;1;0;-1;●;;;;;;;;;●;●;–;;;;;Eur;S
Androsace vitaliana subsp. sesleri;VU;1;0;-1;●;;;;;;;;;●;;;;;;;SE-Alp;S
Androsace wulfeniana;LC;2;0;0;●;;;;;;;;●;●;●;;;;;S;E-Alp;S
Anemonastrum narcissiflorum;LC;3;0;0;●;;;;;●;●;;●;●;●;●;●;;;;Eur;S
Anemone apennina;n;;;;;;;;;;;;;;;;le;;u;;;S
Anemone baldensis;LC;3;0;0;●;;;;;;●;●;●;●;●;;●;;;;Eur;S
Anemone blanda;n;;;;;;;;;;u;;u;;;u;le;le;;;;S
Anemone nemorosa;LC;5;-1;-1;●;●;●;●;●;●;●;●;●;●;●;●;●;●;●;;Euras;S
Anemone ranunculoides;LC;4;0;-1;●;●;●;●;●;●;●;●;●;●;●;●;●;●;●;;Euras;S
Anemone sylvestris;VU;3;-2;-1;●;EN;RE?;RE;●;;;;†;;●;†;●;●;●;;Euras;S
Anemone trifolia;LC;3;0;0;●;;●;;;;;●;●;●;●;●;●;;;;Eur;S
Angelica archangelica subsp. litoralis;n;;;;;;;;;;;;;;;e;e;e;;;;H
Angelica sylvestris;LC;5;-1;-1;●;●;●;●;●;●;●;●;●;●;●;●;●;●;●;;Euras;H
Antennaria carpatica;LC;3;0;0;●;;;;;●;●;●;●;●;●;●;;;;;Eur;S
Antennaria dioica;LC;5;-2;-1;●;EN;RE?;EN;CR;●;●;●;●;●;●;●;●;●;●;;Hol;S
Anthemis arvensis;LC;4;-1;-1;VU;●;●;●;VU;●;●;●;●;●;●;●;●;●;●;;Eur (Kosm);H
Anthemis carpatica;VU;1;0;-1;●;;;;;;;;;;●;–;;;;D;Eur;S
Anthemis cotula;VU;2;-2;0;EN;CR;RE?;CR;●;u;u;u;†*,u;●;●;●*;●;●;●;;Eur (Kosm);H
Anthemis ruthenica;EN;2;-2;-1;n;n;n;n;●;;u;;;u;u;le?;●;●;●;;Eur;H
Anthericum liliago;EN;2;-2;-1;●;;;;;●;●;–;;–;†;–;–;†;;;Eur;S
Anthericum ramosum;LC;4;-1;-1;●;VU;VU;VU;VU;●;●;●;●;●;●;●;●;●;●;;Eur;S
Anthoxanthum alpinum;LC;4;0;0;●;CR;;;;●;●;●;●;●;●;●;●;;●;;Euras;S
Anthoxanthum australe;NT;3;-1;-1;●;VU;CR;VU;●;;;;–;●;●;●;●;●;●;;Eur;S
Anthoxanthum nitens s.lat.;CR;1;-1;-2;●;;;;;;u;●;;;●;–;●;;†?;V;Hol;S
Anthoxanthum odoratum s.str.;LC;5;-1;-1;●;●;NT;NT;NT;●;●;●;●;●;●;●;●;●;●;;Eur (Kosm);S
Anthoxanthum repens;CR;1;-2;-3;;;;;●;;;;;;;;●;;†?;V;Euras;S
Anthriscus caucalis;NT;3;-1;0;n;;n;n;●;;u;;u;–;u;u;●;●;●;;Eur (Hol);H
Anthriscus cerefolium;LC;3;1;0;n;●;n;n;●;;u;le?;u;e;e;e;●;●;●;;Euras (Kosm);H
Anthriscus nitidus;LC;3;0;0;●;●;●;●;;●;●;●;●;●;●;●;●;;●;;Eur;H
