"taxon";"rl";"a";"b";"r";"rl.al";"rl.bm";"rl.nv";"rl.sv";"rl.pa";"o.v";"o.nt";"o.ot";"o.s";"o.k";"o.st";"o.o";"o.n";"o.w";"o.b";"responsibility";"distribution";"lifeform"
"Hieracium adenophyton";"LC";"2";"0";"0";"LC";"";"";"";"";"#";"#";"#";"";"#";"#";"";"";"";"";"S";"E-Alp";"S"
"Hieracium alpinum subsp. alpinum";"LC";"3";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"#";"#";"#";"#";"";"";"";"Hol";"S"
"Hieracium alpinum subsp. halleri";"LC";"3";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"#";"#";"";"";"";"";"";"Alp";"S"
"Hieracium amplexicaule";"LC";"3";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"#";"#";"#";"le";"";"";"";"Eur";"S"
"Hieracium antholzense";"G";"1";"?";"?";"G";"";"";"";"";"";"";"+";"";"#";"";"";"";"";"";"S";"Alp?";"S"
"Hieracium aphyllum";"VU";"1";"0";"-1";"VU";"";"";"";"";"";"";"#";"";"";"";"";"";"";"";"S";"Alp";"S"
"Hieracium apricorum";"LC";"2";"0";"0";"LC";"";"LC";"";"";"#";"#";"#";"";"#";"#";"#";"#";"#";"";"S";"Alp?";"S"
"Hieracium arlbergense";"EN";"1";"-1";"-1";"EN";"";"";"";"";"#";"";"";"";"";"";"";"";"";"";"E";"E-Alp!";"S"
"Hieracium armerioides";"LC";"1";"0";"0";"LC";"";"";"";"";"";"#";"#";"#";"";"#";"";"";"";"";"";"Eur";"S"
"Hieracium arolae";"LC";"2";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"?";"#";"#";"#";"";"";"";"Eur";"S"
"Hieracium atratum";"LC";"3";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"#";"#";"#";"#";"";"";"";"Eur";"S"
"Hieracium atrocalyx";"G";"1";"?";"?";"G";"";"";"";"";"";"";"";"";"";"";"";"#";"";"";"S";"Eur";"S"
"Hieracium balbisianum";"LC";"2";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"#";"#";"#";"#";"";"";"";"Alp";"S"
"Hieracium beckianum";"EN";"1";"-1";"-1";"EN";"";"";"";"";"";"";"";"";"";"";"";"#";"";"";"E";"NE-Alp*!";"S"
"Hieracium benzianum";"LC";"2";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"#";"";"#";"#";"";"";"S";"E-Alp";"S"
"Hieracium bifidum";"LC";"4";"0";"0";"LC";"VU";"VU";"";"VU";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Eur";"S"
"Hieracium bocconei";"LC";"3";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"#";"#";"";"";"";"";"S";"Alp";"S"
"Hieracium brevifolium";"VU";"2";"-1";"-1";"VU";"VU";"VU";"VU";"VU";"";"#";"";"";"#";"#";"#";"#";"#";"#";"";"Eur";"S"
"Hieracium bupleuroides";"LC";"3";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"#";"#";"#";"#";"";"";"";"Eur";"S"
"Hieracium caesium";"LC";"2";"0";"0";"LC";"";"";"RE?";"";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Eur";"S"
"Hieracium calcareum";"G";"1";"?";"?";"G";"";"";"";"";"";"";"";"";"#";"–";"";"";"";"";"";"Eur";"S"
"Hieracium canescens";"RE";"+";"+";"+";"RE";"";"";"";"";"";"+";"";"";"";"";"";"";"";"";"";"?";"S"
"Hieracium carinthiostiriacum";"EN";"1";"-1";"-1";"EN";"";"";"";"";"";"";"";"";"#";"#";"";"";"";"";"E";"ZE-Alp*!";"S"
"Hieracium cavillieri";"G";"1";"?";"?";"G";"";"";"";"";"#";"";"";"";"";"#";"";"";"";"";"";"Alp";"S"
"Hieracium chlorifolium";"LC";"2";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"";"";"#";"#";"";"";"";"Eur";"S"
"Hieracium chlorocephalum";"LC";"1";"0";"0";"LC";"";"";"";"";"";"";"#";"#";"#";"#";"";"";"";"";"";"Eur";"S"
"Hieracium chlorophyton";"RE?";"+?";"+?";"+?";"RE?";"";"";"";"RE?";"";"";"";"";"?";"+?";"";"+?";"";"";"S";"Alp";"S"
"Hieracium chondrillifolium";"LC";"2";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"#";"#";"#";"#";"";"";"";"Eur";"S"
"Hieracium cirritum";"LC";"2";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"#";"#";"";"";"";"";"";"Alp";"S"
"Hieracium clusii";"CR";"1";"-2";"-3";"";"";"";"";"CR";"";"";"";"";"";"";"";"#";"";"?";"E";"Ö*!";"S"
"Hieracium cottetii";"LC";"1";"0";"0";"LC";"";"";"";"";"#";"#";"";"#";"";"#";"+?";"";"";"";"";"Eur";"S"
"Hieracium crocatum";"LC";"2";"0";"0";"LC";"";"";"";"";"";"#";"#";"#";"#";"";"";"";"";"";"";"Eur";"S"
"Hieracium cryptadenum";"CR";"1";"-1";"?";"CR";"";"";"";"";"#";"";"";"";"?";"+";"";"";"";"";"";"Eur";"S"
"Hieracium ctenodon";"LC";"1";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"#";"#";"";"?";"";"";"";"Eur";"S"
"Hieracium cydoniifolium";"LC";"2";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"#";"#";"#";"#";"";"";"";"Eur";"S"
"Hieracium dasytrichum";"LC";"2";"0";"0";"LC";"";"";"";"";"#";"#";"#";"";"#";"#";"";"";"";"";"";"Eur";"S"
"Hieracium dentatum";"LC";"3";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"#";"#";"#";"#";"";"";"";"Eur";"S"
"Hieracium dermophyllum";"LC";"1";"0";"0";"LC";"";"";"";"";"#";"";"#";"";"";"#";"";"";"";"";"";"Eur";"S"
"Hieracium diaphanoides";"LC";"3";"0";"0";"LC";"DD";"";"DD";"DD";"#";"#";"#";"#";"#";"#";"#";"#";"";"#";"";"Eur";"S"
"Hieracium djimilense";"G";"1";"0";"?";"G";"";"";"";"";"";"#";"";"";"";"#";"";"";"";"";"";"Eur";"S"
"Hieracium dolichaetum";"LC";"2";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"#";"";"";"";"";"";"S";"E-Alp";"S"
"Hieracium dollineri";"LC";"2";"0";"0";"LC";"";"CR";"";"";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"";"Eur";"S"
"Hieracium doronicifolium";"G";"1";"0";"?";"G";"";"";"";"";"";"";"";"";"#";"";"";"";"";"";"";"Alp";"S"
"Hieracium entleutneri";"G";"1";"0";"?";"G";"";"";"";"";"#";"#";"#";"#";"#";"";"";"";"";"";"";"E-Alp";"S"
"Hieracium erucophyllum";"G";"1";"?";"?";"G";"";"";"";"";"#";"";"";"";"";"";"";"";"";"";"";"Eur";"S"
"Hieracium eversianum";"CR";"1";"-3";"-1";"CR";"";"";"";"";"#";"#";"";"";"";"";"";"";"";"";"S";"Alp";"S"
"Hieracium excellens";"G";"1";"?";"?";"G";"";"";"";"";"";"#";"";"";"";"";"";"";"";"";"E";"E-Alp*!?";"S"
"Hieracium falcatum";"RE?";"+?";"+?";"+?";"RE?";"";"";"";"";"";"";"";"";"";"";"";"+?";"";"";"";"Eur";"S"
"Hieracium fastuosum";"LC";"1";"0";"0";"LC";"";"";"";"";"";"";"";"#";"";"";"";"";"";"";"";"E-Alp";"S"
"Hieracium flagelliferum";"CR";"1";"?";"-1";"RE?";"CR";"";"";"";"";"";"";"";"+?";"";"#";"";"";"";"";"Eur";"S"
"Hieracium froelichianum";"LC";"3";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"#";"#";"#";"#";"";"";"";"Eur";"S"
"Hieracium glabratum";"LC";"3";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"#";"#";"#";"#";"";"";"";"Eur";"S"
"Hieracium glanduliferum";"LC";"3";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"#";"#";"–";"#";"";"";"";"Eur";"S"
"Hieracium glaucinum";"VU";"2";"-1";"-1";"VU";"VU";"?";"";"VU";"#";"#";"#";"#";"#";"?";"#";"#";"#";"#";"";"Eur";"S"
"Hieracium glaucum";"LC";"3";"0";"0";"LC";"";"EN";"";"VU";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Eur";"S"
"Hieracium gombense";"G";"1";"?";"?";"G";"";"";"";"";"";"";"#";"#";"#";"–";"";"";"";"";"";"Eur";"S"
"Hieracium gorfenianum";"LC";"1";"0";"0";"0";"";"";"";"";"#";"#";"";"";"";"";"";"";"";"";"E";"E-Alp!";"S"
"Hieracium grossicephalum";"LC";"1";"0";"0";"LC";"";"";"";"";"";"";"";"#";"#";"";"";"";"";"";"E";"E-Alp!";"S"
"Hieracium hayekii";"RE?";"+?";"+?";"+?";"RE?";"";"";"";"";"";"";"";"";"";"+?";"";"";"";"";"S";"Alp";"S"
"Hieracium hermanni-zahnii";"LC";"1";"0";"0";"LC";"";"";"";"";"";"#";"";"";"#";"#";"";"";"";"";"V";"Alp";"S"
"Hieracium humile";"LC";"3";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"#";"#";"#";"#";"";"";"";"Eur";"S"
"Hieracium hypochoeroides";"VU";"2";"-1";"-1";"VU";"";"";"";"";"#";"#";"#";"#";"";"";"#";"#";"#";"";"";"Eur";"S"
"Hieracium inuloides";"LC";"2";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"#";"#";"";"+";"";"";"";"Eur";"S"
"Hieracium isatidifolium";"CR";"1";"-1";"?";"CR";"";"";"";"";"";"";"";"";"";"";"";"+";"";"";"V";"?";"S"
"Hieracium jurassicum";"LC";"3";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"#";"#";"";"";"";"";"";"Eur";"S"
"Hieracium juratzkae";"EN";"1";"-1";"-1";"EN";"";"";"";"";"";"";"";"";"";"";"?";"#";"+";"";"E";"NE-Alp!";"S"
"Hieracium kalsianum";"LC";"1";"0";"0";"LC";"";"";"";"";"";"#";"#";"";"#";"";"";"";"";"";"S";"Eur";"S"
"Hieracium khekianum";"G";"1";"?";"?";"G";"";"";"";"";"#";"";"";"";"–";"#";"";"";"";"";"";"Eur";"S"
"Hieracium kopsicum";"G";"1";"0";"?";"G";"";"";"";"";"#";"#";"";"";"";"";"";"";"";"";"E";"E-Alp*!";"S"
"Hieracium kuekenthalianum";"LC";"2";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"#";"#";"";"";"";"";"";"E-Alp?";"S"
"Hieracium lachenalii";"LC";"5";"0";"0";"LC";"LC";"LC";"LC";"NT";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Euras";"S"
"Hieracium laevigatum";"LC";"4";"0";"0";"LC";"LC";"LC";"VU";"VU";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Euras";"S"
"Hieracium levicaule";"LC";"3";"0";"0";"LC";"LC";"LC";"G";"G";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Eur";"S"
"Hieracium liptoviense";"G";"1";"?";"?";"G";"";"";"";"";"#";"#";"";"";"#";"#";"";"";"";"";"";"Eur";"S"
"Hieracium macrocephalum";"CR";"1";"-1";"?";"CR";"";"";"";"";"";"+";"#";"";"";"";"";"";"";"";"E";"E-Alp!?";"S"
"Hieracium maculatum";"LC";"3";"0";"-1";"LC";"LC";"VU";"LC";"VU";"#";"#";"#";"";"?";"#";"#";"#";"#";"#";"";"Euras";"S"
"Hieracium melanops";"LC";"1";"0";"0";"LC";"";"";"";"";"#";"";"#";"";"#";"";"";"";"";"";"";"Alp?";"S"
"Hieracium murorum";"LC";"5";"0";"0";"LC";"LC";"LC";"LC";"LC";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Eur (Hol)";"S"
"Hieracium neoplatyphyllum";"NT";"2";"0";"-1";"NT";"DD";"DD";"DD";"NT";"";"";"";"";"#";"#";"#";"#";"#";"#";"";"Eur?";"S"
"Hieracium neostenophyllum";"NT";"2";"0";"-1";"NT";"";"";"";"";"";"";"";"";"";"";"#";"#";"#";"";"E";"NE-Alp!";"S"
"Hieracium nigrescens";"LC";"3";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"#";"#";"#";"#";"";"";"";"Eur";"S"
"Hieracium nigritum";"LC";"1";"0";"0";"LC";"";"";"";"";"";"";"";"";"";"#";"";"";"";"";"";"Eur";"S"
"Hieracium norvegicum";"G";"1";"0";"?";"G";"";"";"";"";"";"#";"";"";"";"";"";"";"";"";"";"Eur";"S"
"Hieracium obscuratum";"LC";"2";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"#";"#";"#";"";"";"";"";"?";"S"
"Hieracium oligodon";"G";"1";"0";"?";"G";"";"";"";"";"";"";"+";"";"#";"#";"#";"#";"";"";"S";"Alp?";"S"
"Hieracium onosmoides";"G";"1";"0";"?";"G";"G";"";"";"";"";"#";"";"";"";"";"";"#";"";"";"";"Eur";"S"
"Hieracium oxyodon";"LC";"2";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"#";"#";"#";"#";"";"";"";"Eur";"S"
"Hieracium pallescens";"LC";"3";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"#";"#";"#";"#";"";"";"";"Eur";"S"
"Hieracium picroides";"LC";"3";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"#";"#";"";"";"";"";"";"Alp";"S"
"Hieracium pietroszense";"G";"1";"?";"?";"G";"";"";"";"";"";"";"";"";"#";"";"";"";"";"";"";"Eur";"S"
"Hieracium pilosum";"LC";"3";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"#";"#";"#";"#";"";"";"";"Eur";"S"
"Hieracium polatschekii";"G";"1";"0";"?";"G";"";"";"";"";"";"";"#";"";"";"";"";"";"";"";"S";"Alp?";"S"
"Hieracium porrectum";"LC";"2";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"#";"#";"#";"";"";"";"";"Alp";"S"
"Hieracium porrifolium";"LC";"3";"0";"0";"LC";"";"VU";"";"";"";"";"#";"";"#";"#";"#";"#";"";"";"";"Alp";"S"
"Hieracium prediliense";"G";"1";"0";"?";"";"";"";"";"";"";"";"+";"";"#";"#";"#";"";"";"";"";"E-Alp?";"S"
"Hieracium prenanthoides";"LC";"3";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"#";"#";"#";"#";"";"";"";"Euras";"S"
"Hieracium pseudalpinum";"G";"1";"0";"?";"G";"";"";"";"";"+";"#";"#";"#";"#";"+";"";"";"";"";"S";"Eur";"S"
"Hieracium pseudinuloides";"G";"1";"0";"?";"G";"";"";"";"";"";"";"";"#";"#";"";"";"";"";"";"E";"E-Alp!";"S"
"Hieracium pseudobifidum";"LC";"1";"0";"0";"";"";"";"LC";"";"";"";"";"";"";"#";"";"";"";"#";"";"Eur";"S"
"Hieracium pseudobupleuroides";"?";"";"";"";"?";"";"";"";"";"";"";"";"?";"";"";"";"";"";"";"";"?";"S"
"Hieracium pseudodolichaetum";"LC";"1";"0";"0";"LC";"";"";"";"";"#";"";"";"";"#";"";"";"";"";"";"S";"E-Alp?";"S"
"Hieracium pseudofritzei";"LC";"2";"0";"0";"LC";"";"";"";"";"";"";"";"#";"#";"#";"";"";"";"";"";"Eur";"S"
"Hieracium pseudostenoplecum";"VU";"1";"0";"-1";"VU";"";"";"";"";"#";"#";"";"";"";"";"";"";"";"";"";"Alp";"S"
"Hieracium racemosum";"LC";"4";"0";"-1";"LC";"VU";"G";"LC";"NT";"#";"#";"#";"–";"#";"#";"#";"#";"#";"#";"";"Eur";"S"
"Hieracium ramosum";"G";"1";"0";"?";"G";"";"";"";"";"?";"#";"";"";"#";"";"+";"#";"";"";"";"Eur";"S"
"Hieracium rapunculoides";"LC";"1";"0";"0";"LC";"";"";"";"";"#";"#";"#";"";"#";"";"";"";"";"";"";"Eur";"S"
"Hieracium richenii";"CR";"1";"-2";"-1";"CR";"";"";"";"";"#";"";"";"";"";"";"";"";"";"";"E";"E-Alp!";"S"
"Hieracium rohacsense";"LC";"3";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"#";"#";"#";"";"";"";"";"Eur";"S"
"Hieracium rostanii";"G";"1";"0";"?";"G";"";"";"";"";"";"#";"";"#";"–";"#";"";"";"";"";"";"Eur";"S"
"Hieracium rotundatum";"LC";"3";"0";"0";"LC";"G";"G";"LC";"G";"";"";"";"";"#";"#";"#";"#";"";"#";"";"Eur";"S"
"Hieracium sabaudum";"LC";"5";"0";"-1";"LC";"LC";"LC";"LC";"LC";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Eur (Hol)";"S"
"Hieracium saxatile";"EN";"1";"-1";"-1";"EN";"";"";"";"";"";"";"";"+";"#";"#";"#";"#";"+";"?";"S";"Eur";"S"
"Hieracium saxifragum";"G";"1";"0";"?";"G";"";"";"";"";"";"#";"";"";"";"";"";"";"";"";"";"Eur";"S"
"Hieracium schmidtii";"VU";"1";"0";"-1";"VU";"G";"";"";"";"";"#";"#";"";"";"";"#";"#";"–";"";"";"Eur";"S"
"Hieracium scorzonerifolium";"LC";"2";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"#";"#";"#";"#";"";"";"";"Eur";"S"
"Hieracium serratum";"LC";"1";"0";"0";"LC";"";"";"";"";"#";"#";"";"";"";"";"";"";"";"";"";"Eur";"S"
"Hieracium silsinum";"G";"1";"?";"?";"G";"";"";"";"";"#";"";"";"";"";"";"";"";"";"";"";"Eur";"S"
"Hieracium simia";"LC";"2";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"#";"#";"";"";"";"";"";"Alp";"S"
"Hieracium sparsiramum";"LC";"1";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"#";"#";"#";"#";"";"";"";"Eur";"S"
"Hieracium sparsum";"CR";"1";"-1";"-2";"CR";"";"";"";"";"";"#";"–";"#";"#";"#";"";"";"";"";"D";"Euras";"S"
"Hieracium sterzingense";"G";"1";"0";"?";"G";"";"";"";"";"#";"#";"";"#";"#";"";"";"";"";"";"";"E-Alp";"S"
"Hieracium stranigense";"VU";"1";"0";"-1";"VU";"";"";"";"";"";"";"";"";"#";"";"";"";"";"";"E";"SE-Alp*!";"S"
"Hieracium subcaesiiforme";"?";"";"";"";"?";"";"";"";"";"";"";"";"";"";"?";"";"";"";"";"";"Eur";"S"
"Hieracium subeversianum";"CR";"1";"-2";"-1";"CR";"";"";"";"";"#";"";"";"";"";"";"";"";"";"";"E";"Alp*!";"S"
"Hieracium subglaberrimum";"LC";"1";"0";"0";"LC";"";"";"";"";"#";"";"#";"";"";"";"";"";"";"";"S";"E-Alp";"S"
"Hieracium symphytaceum";"G";"1";"0";"?";"G";"";"";"";"";"";"#";"#";"#";"#";"";"";"";"";"";"";"Eur";"S"
"Hieracium tenuiflorum";"LC";"2";"0";"0";"LC";"";"";"G";"";"";"#";"";"";"#";"#";"";"";"";"";"";"Eur";"S"
"Hieracium tephrodermum";"LC";"1";"0";"0";"LC";"";"";"";"";"#";"#";"#";"";"#";"";"";"";"";"";"";"Alp?";"S"
"Hieracium tephropogon";"G";"1";"0";"?";"G";"";"";"";"";"#";"#";"";"#";"#";"#";"#";"";"";"";"";"E-Alp?";"S"
"Hieracium tephrosoma";"EN";"1";"-1";"-1";"EN";"";"";"";"";"";"#";"";"";"";"";"";"";"";"";"S";"E-Alp";"S"
"Hieracium transylvanicum";"LC";"2";"0";"0";"LC";"";"";"LC";"";"";"";"";"";"#";"#";"";"";"";"#";"";"Eur";"S"
"Hieracium trichopsis";"G";"1";"0";"?";"G";"";"";"";"";"";"#";"#";"";"";"";"";"";"";"";"S";"Alp?";"S"
"Hieracium umbellatum";"LC";"5";"-1";"-1";"LC";"NT";"VU";"LC";"VU";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Hol";"S"
"Hieracium umbrosum";"LC";"3";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"#";"#";"#";"#";"";"";"";"Eur";"S"
"Hieracium valdepilosum";"LC";"3";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"#";"#";"#";"#";"";"";"";"Alp";"S"
"Hieracium valoddae";"G";"1";"0";"?";"G";"";"";"";"";"#";"#";"#";"";"#";"";"";"";"";"";"";"Eur";"S"
"Hieracium vasconicum";"G";"2";"?";"?";"G";"G";"";"G";"G";"#";"#";"+";"";"#";"#";"#";"#";"#";"#";"";"Eur";"S"
"Hieracium vetteri";"EN";"1";"-1";"-1";"EN";"";"";"";"";"";"#";"";"";"";"";"";"";"";"";"S";"E-Alp";"S"
"Hieracium villosum";"LC";"4";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"#";"#";"#";"#";"";"";"";"Eur";"S"
"Hieracium vindobonense";"CR";"1";"-3";"-2";"";"";"";"";"CR";"";"";"";"";"";"";"";"#";"";"";"E";"Ö!";"S"
"Hieracium vollmannii";"LC";"2";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"#";"#";"";"";"";"";"";"Eur";"S"
"Hieracium wilczekianum";"LC";"1";"0";"0";"LC";"";"";"";"";"#";"";"#";"";"#";"";"";"";"";"";"";"Eur";"S"
"Hieracium xanthoprasinophyes";"LC";"1";"0";"0";"LC";"";"";"";"";"#";"#";"";"#";"#";"#";"";"";"";"";"E";"E-Alp!";"S"
"Himantoglossum adriaticum";"NT";"2";"1";"-1";"EN";"";"";"RE";"NT";"";"";"";"";"";"#";"–";"#";"#";"#";"";"Eur";"S"
"Hippocrepis comosa";"LC";"4";"-1";"0";"LC";"CR";"EN";"";"EN";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"";"Eur";"S"
"Hippocrepis emerus";"LC";"3";"0";"-1";"LC";"";"VU";"";"VU";"#";"#";"";"#";"#";"#";"#";"#";"#";"#";"";"Eur";"B"
"Hippophae rhamnoides subsp. fluviatilis";"EN";"3";"-3";"-2";"EN";"RE";"CR";"n";"EN";"#";"#";"#";"#";"#";"";"#";"#";"#";"";"";"Euras";"B"
"Hippophae rhamnoides subsp. rhamnoides";"n";"";"";"";"";"";"";"";"";"e?";"e?";"e?";"e?";"e?";"e?";"e";"e?";"e?";"e?";"";"";"B"
"Hippuris vulgaris";"VU";"3";"-1";"-2";"VU";"EN";"VU";"CR";"VU";"#";"#";"#";"#";"#";"#";"#";"#";"#";"+?";"";"Kosm";"S"
"Holcus lanatus";"LC";"5";"0";"-1";"LC";"LC";"LC";"LC";"NT";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Eur (Kosm)";"S"
"Holcus mollis";"LC";"5";"0";"-1";"LC";"LC";"LC";"LC";"VU";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Eur (Kosm)";"S"
"Holosteum umbellatum";"LC";"4";"-1";"0";"EN";"VU";"EN";"EN";"LC";"";"u";"u";"#";"u";"#";"#";"#";"#";"#";"";"Euras (Hol)";"H"
"Homogyne alpina";"LC";"5";"0";"0";"LC";"VU";"";"RE?";"";"#";"#";"#";"#";"#";"#";"#";"#";"";"";"";"Eur";"S"
"Homogyne discolor";"LC";"3";"0";"0";"LC";"";"";"";"";"";"";"#";"#";"#";"#";"#";"#";"";"";"S";"Eur";"S"
"Homogyne sylvestris";"LC";"2";"0";"0";"LC";"";"";"";"";"";"";"";"–";"#";"";"–";"";"";"";"";"Eur";"S"
"Honorius boucheanus";"NT";"2";"0";"-1";"n";"n";"n";"n";"NT";"";"?";"u";"";"u";"u";"u";"#";"#";"#";"";"Eur";"S"
"Honorius nutans s.str.";"NT";"2";"0";"-1";"n";"n";"n";"n";"NT";"";"u";"–";"–";"u";"u";"u";"#*";"#*";"#*";"";"Eur (Hol)";"S"
"Hordelymus europaeus";"LC";"4";"0";"-1";"LC";"VU";"EN";"n";"VU";"#";"#";"";"#";"#*";"#";"#";"#";"#";"#";"";"Eur";"H"
"Hordeum geniculatum";"RE";"+";"+";"+";"";"";"";"";"RE";"";"";"";"–";"";"";"";"u";"u";"+";"";"Euras (Kosm)";"H"
"Hordeum jubatum";"n";"";"";"";"";"";"";"";"";"u";"u";"u";"e";"u";"u";"u";"u";"";"e";"";"";"H"
"Hordeum murinum";"LC";"4";"1";"0";"VU";"VU";"VU";"LC";"LC";"#";"#";"#*";"e";"e";"#";"#";"#";"#";"#";"";"Euras (Kosm)";"H"
"Horminum pyrenaicum";"LC";"2";"0";"0";"LC";"";"";"";"";"le";"#";"#";"#";"#";"#";"–";"";"";"";"";"Eur";"S"
"Hornungia alpina subsp. alpina";"LC";"4";"0";"0";"LC";"";"f";"";"";"#";"#";"#";"#";"#";"#";"#";"#";"";"";"";"Eur";"S"
"Hornungia alpina subsp. austroalpina";"LC";"2";"0";"0";"LC";"";"";"";"";"";"";"#";"";"#";"";"";"";"";"";"";"Alp";"S"
"Hornungia alpina subsp. brevicaulis";"LC";"3";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"#";"#";"–";"";"";"";"";"Alp";"S"
"Hornungia pauciflora";"EN";"1";"-1";"-1";"EN";"";"";"";"";"";"#";"#";"";"";"";"";"";"";"";"";"Eur";"S"
"Hornungia petraea";"NT";"2";"0";"-1";"VU";"";"";"";"NT";"–";"";"";"–";"";"";"–";"#";"#";"#";"";"Eur";"H"
"Hottonia palustris";"EN";"2";"-2";"-1";"n";"RE";"CR";"EN";"EN";"";"";"";"u";"";"#";"#";"#";"+,a";"#";"";"Eur";"S"
"Humulus lupulus";"LC";"5";"0";"0";"LC";"LC";"LC";"LC";"LC";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Euras (Hol)";"S"
"Huperzia selago";"LC";"5";"0";"0";"LC";"VU";"VU";"";"";"#";"#";"#";"#";"#";"#";"#";"#";"";"#";"";"Kosm";"S"
"Hyacinthoides italica";"n";"";"";"";"";"";"";"";"";"";"";"";"u";"";"";"";"le";"?";"";"";"";"S"
"Hydrocharis morsus-ranae";"EN";"2";"-2";"-1";"CR";"EN";"CR";"CR";"EN";"u";"";"";"+*,u";"#";"+";"#";"#";"#";"+?";"";"Euras (Hol)";"S"
"Hydrocotyle vulgaris";"EN";"1";"-1";"-1";"EN";"CR";"";"";"";"#";"";"";"";"";"le";"";"#";"";"";"";"Eur";"S"
"Hygrophila polysperma";"n";"";"";"";"";"";"";"";"";"";"";"";"";"le";"";"";"";"";"";"";"";"S"
"Hylotelephium jullianum";"NT";"3";"-1";"-1";"EN";"NT";"NT";"";"";"";"";"";"#";"";"";"#";"#";"";"";"";"Eur";"S"
"Hylotelephium maximum";"LC";"5";"-1";"-1";"LC";"LC";"VU";"VU";"NT";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Euras";"S"
"Hylotelephium telephium s.str.";"G";"?";"?";"?";"G";"G";"G";"";"";"#*";"e?";"u";"u";"";"u";"#*";"#*";"u";"";"";"Euras (Hol)";"S"
"Hyoscyamus niger";"LC";"4";"-1";"-1";"EN";"VU";"CR";"CR";"LC";"+";"#";"#";"#";"#";"#";"#*";"#";"#";"#";"";"Euras (Kosm)";"H"
"Hypericum barbatum";"CR";"1";"-3";"-1";"RE";"";"";"RE";"CR";"";"";"";"";"";"+";"";"+";"+";"#";"";"Eur";"S"
"Hypericum dubium";"DD";"?";"?";"?";"DD";"";"DD";"DD";"";"#";"";"#";"#";"#";"#";"#";"#";"";"#";"";"Eur";"S"
"Hypericum elegans";"CR";"1";"-2";"-2";"";"";"";"";"CR";"";"";"";"";"";"";"";"#";"";"";"";"Euras";"S"
"Hypericum elodes";"RE";"+";"+";"+";"";"";"RE";"";"";"";"";"";"";"";"";"+";"";"";"";"";"Eur";"S"
