taxon;vernacular.name;law.s;rl.s;remarks
Abies alba;Edel-Tanne;;3;
Acer campestre;Feld-Ahorn;;3;
Achillea clavennae;Steinraute;;5;ungefährdet - in der Grauwackenzone: potenziell gefährdet
Achnatherum calamagrostis;Raugras;;4;
Aconitum degenii ssp. paniculatum;Gewöhnlicher Rispen-Eisenhut;3;;
Aconitum degenii ssp. paniculatum var. laxiflorum;Lockerblütiger Gewöhnlicher Rispen-Eisenhut;3;;
Aconitum degenii ssp. paniculatum var. turrachense;Turracher Rispen-Eisenhut;3;;
Aconitum napellus;Echt-Eisenhut;3;;
Aconitum napellus ssp. formosum;Schöner Echt-Eisenhut;3;3;
Aconitum napellus ssp. lobelii;Mariazeller Echt-Eisenhut;3;;
Aconitum napellus ssp. napellus;Eigentlicher Echt-Eisenhut;3;5;potenziell gefährdet - im Flachgau: stark gefährdet
Aconitum tauricum;Tauern-Eisenhut;3;;
Aconitum tauricum ssp. latemarense;Südtiroler Tauern-Eisenhut;3;;
Aconitum tauricum ssp. tauricum;Eigentlicher Tauern-Eisenhut;3;;
Aconitum tauricum ssp. tauricum var. tauricum;Eigentlicher Tauern-Eisenhut;3;;
Acorus calamus;Arznei-Kalmus;2;;
Adonis aestivalis;Sommer-Adonis;;0;
Adonis flammea;Scharlach-Adonis;;0;
Aethionema saxatile;Felsen-Steintäschel;;0;
Agrimonia procera;Duft-Odermennig;;4;
Agrostemma githago;Kornrade;;0;
Agrostis agrostiflora;Schilf-Straußgras;;5;ungefährdet - in den Kalkalpen: potenziell gefährdet
Agrostis canina;Sumpf-Straußgras;;4;
Ajuga genevensis;Zottel-Günsel;;3;
Alchemilla alpina;Alpen-Silbermantel;;5;ungefährdet - in den Kalkalpen: potenziell gefährdet
Alchemilla alpina agg.;Sammelart Alpen-Silbermantel;;5;ungefährdet - in den Kalkalpen: potenziell gefährdet
Alchemilla anisiaca;Ennstal-Silbermantel;;5;ungefährdet - in den Niederen Tauern: potenziell gefährdet
Alchemilla conjuncta agg.;Sammelart Verbundener Frauenmantel;;5;ungefährdet - in der Grauwackenzone und den Niederen Tauern: potenziell gefährdet
Alchemilla hoppeana;Kalk-Silbermantel;;5;ungefährdet - in der Grauwackenzone und den Niederen Tauern: potenziell gefährdet
Alchemilla nitida;Glanz-Silbermantel;;4;
Alchemilla pallens;Blassgrün-Silbermantel;;5;ungefährdet - in der Grauwackenzone und den Niederen Tauern: potenziell gefährdet
Alisma plantago-aquatica;Gewöhnlich-Froschlöffel;;3;
Allium angulosum;Kanten-Lauch;;0;
Allium carinatum;Kiel-Lauch;;5;ungefährdet - im Inneren Salzachtal: ausgerottet, erloschen, verschollen
Allium carinatum ssp. carinatum;Eigentlicher Kiel-Lauch;;5;ungefährdet - im Inneren Salzachtal: ausgerottet, erloschen, verschollen
Allium oleraceum;Glocken-Lauch;;5;ungefährdet - im Flachgau, den Kalkalpen und im Inneren Salzachtal: gefährdet
Allium strictum;Steif-Lauch;;4;
Anacamptis coriophora;Wanzen-Hundswurz;2;0;
Anacamptis coriophora ssp. coriophora;Eigentliche Wanzen-Hundswurz;2;0;
Anacamptis morio;Klein-Hundswurz;2;1;
Anacamptis palustris;Sumpf-Hundswurz;2;0;
Anacamptis palustris ssp. palustris;Eigentliche Sumpf-Hundswurz;2;0;
Anagallis tenella;Zart-Gauchheil;;1;
Andromeda polifolia;Europa-Rosmarinheide;;3;
Androsace alpina;Alpen-Mannsschild;1;5;ungefährdet - in der Grauwackenzone: potenziell gefährdet
Androsace chamaejasme;Wimper-Mannsschild;1;;
Androsace hausmannii;Dolomiten-Mannsschild;1;4;
Androsace helvetica;Schweiz-Mannsschild;1;;
Androsace lactea;Milch-Mannsschild;1;;
Androsace obtusifolia;Stumpfblatt-Mannsschild;1;;
Androsace wulfeniana;Wulfen-Mannsschild;1;4;
Anemonastrum narcissiflorum;Alpen-Berghähnlein;1;;
Anemone baldensis;Baldo-Windröschen;;4;
Anemone ranunculoides;Gelb-Windröschen;;5;ungefährdet - in der Grauwackenzone: gefährdet
Anemone trifolia;Dreiblättchen-Anemone;;3;
Anthemis cotula;Stink-Hundskamille;;2;
Apera spica-venti;Gewöhnlich-Windhalm;;3;
Aposeris foetida;Stinklattich;;5;ungefährdet - in den Niederen Tauern: potenziell gefährdet
Aquilegia atrata;Schwarzviolett-Akelei;1;;
Aquilegia vulgaris;Gewöhnlich-Akelei;1;;
Aquilegia vulgaris agg.;Sammelart Gewöhnlich-Akelei;1;;
Arabis sagittata;Pfeil-Gänsekresse;;3;
Arabis sudetica;Sudeten-Gänsekresse;;4;
Arenaria marschlinsii;Alpen-Sandkraut;;4;
Arnica montana;Arnika;3;5;ungefährdet - im Flachgau: stark gefährdet
Artemisia absinthium;Echt-Wermut;;5;ungefährdet - im Flachgau: potenziell gefährdet
Artemisia campestris;Feld-Wermut;;3;
Artemisia genipi;Schwarz-Edelraute;1;;
Artemisia genipi x mutellina;Hybride Schwarz- mit Echt-Edelraute;1;;
Artemisia mutellina;Echt-Edelraute;1;;
Asarum europaeum ssp. caucasicum;Kaukasus-Haselwurz;;4;
Asperula cynanchica;Hügel-Meier;;2;
Asplenium adulterinum;Grünspitz-Streifenfarn;5;1;
Asplenium cuneifolium;Serpentin-Streifenfarn;;1;
Asplenium scolopendrium;Hirschzunge;2;;
Asplenium scolopendrium ssp. scolopendrium;Eigentlich-Hirschzunge;2;;
Aster alpinus;Alpen-Aster;2;5;ungefährdet - in den Kalkalpen: potenziell gefährdet
Astragalus cicer;Kicher-Tragant;;4;
Astragalus norvegicus;Norwegen-Tragant;;4;
Astrantia major;Groß-Sterndolde;;5;ungefährdet - in den Hohen Tauern: potenziell gefährdet
Astrantia major var. involucrata;Kärntner Groß-Sterndolde;;5;ungefährdet - in den Hohen Tauern: potenziell gefährdet
Astrantia major var. major;Gewöhnliche Groß-Sterndolde;;5;ungefährdet - in den Hohen Tauern: potenziell gefährdet
Aulacomnium palustre;Sumpf-Streifensternmoos;;3;
Avena fatua;Flug-Hafer;;3;
Avenula adsurgens;Aufsteige-Wiesenhafer;;4;
Avenula adsurgens ssp. ausserdorferi;Südtiroler Aufsteige-Wiesenhafer;;4;
Avenula pratensis;Kahl-Wiesenhafer;;2;
Avenula pratensis ssp. pratensis;Gewöhnlicher Kahl-Wiesenhafer;;2;
Ballota nigra;Gewöhnlich-Schwarznessel;;4;
Ballota nigra ssp. meridionalis;Kurzzähnige Gewöhnlich-Schwarznessel;;4;
Ballota nigra ssp. nigra;Langzähnige Gewöhnlich-Schwarznessel;;4;
Berula erecta;Berle;;3;
Betonica officinalis;Echt-Betonie;;5;ungefährdet - im Inneren Salzachtal und Lungau: vom Aussterben bedroht
Betonica officinalis ssp. officinalis;Eigentliche Echt-Betonie;;5;ungefährdet - im Inneren Salzachtal und Lungau: vom Aussterben bedroht
Betula humilis;Strauch-Birke;;0;
Betula nana;Zwerg-Birke;2;5;stark gefährdet - im Flachgau: ausgerottet, erloschen, verschollen
Betula pubescens;Moor-Birke;;3;
Betula pubescens ssp. pubescens;Eigentliche Moor-Birke;;3;
Bidens cernua;Nick-Zweizahn;;2;
Bidens tripartita;Dreiteil-Zweizahn;;3;
Bidens tripartita ssp. tripartita;Eigentlicher Dreiteil-Zweizahn;;3;
Blysmus compressus;Quetsch-Quellbinse;;5;ungefährdet - im Flachgau: stark gefährdet
Botrychium lanceolatum;Lanzett-Rautenfarn;2;;
Botrychium lanceolatum ssp. lanceolatum;Eigentlicher Lanzett-Rautenfarn;2;;
Botrychium lunaria;Mond-Rautenfarn;2;5;ungefährdet - im Flachgau: vom Aussterben bedroht
Botrychium matricariifolium;Ästig-Rautenfarn;2;1;
Botrychium multifidum;Vielzipfel-Rautenfarn;2;1;
Botrychium simplex;Einfach-Rautenfarn;5;;
Botrychium virginianum;Virginien-Rautenfarn;2;1;
Brachypodium rupestre;Felsen-Zwenke;;4;
Brachypodium rupestre ssp. rupestre;Gewöhnliche Felsen-Zwenke;;4;
Braya alpina;Alpen-Breitschote;;4;
Bromus arvensis;Acker-Trespe;;1;
Bromus arvensis ssp. arvensis;Eigentliche Acker-Trespe;;1;
Bromus commutatus;Verwechsel-Trespe;;2;
Bromus erectus;Aufrecht-Trespe;;5;gefährdet - im Lungau: stark gefährdet
Bromus ramosus;Große Wald-Trespe;;4;
Bromus secalinus;Roggen-Trespe;;1;
Bromus secalinus ssp. secalinus;Eigentliche Roggen-Trespe;;1;
Bromus tectorum;Dach-Trespe;;3;
Buglossoides arvensis;Acker-Rindszunge;;3;
Bupleurum longifolium;Langblatt-Hasenohr;;4;
Bupleurum longifolium ssp. vapincense;Vapincum-Langblatt-Hasenohr;;4;
Bupleurum ranunculoides;Hahnenfuß-Hasenohr;;4;
Bupleurum ranunculoides ssp. ranunculoides;Eigentliches Hahnenfuß-Hasenohr;;4;
Bupleurum rotundifolium;Durchwachs-Hasenohr;;0;
Calamagrostis canescens;Moor-Reitgras;;2;
Calamagrostis pseudophragmites;Ufer-Reitgras;;2;
Calla palustris;Drachenwurz;2;2;
Callitriche hamulata;Haken-Wasserstern;;1;
Camelina alyssum;Zahn-Leindotter;;0;
Camelina alyssum ssp. alyssum;Eigentlicher Zahn-Leindotter;;0;
Camelina alyssum ssp. integerrima;Ganzrandiger Zahn-Leindotter;;3;
Camelina microcarpa;Wild-Leindotter;;3;
Camelina microcarpa ssp. microcarpa;Östlicher Wild-Leindotter;;3;
Camelina microcarpa ssp. silvestris;Westlicher Wild-Leindotter;;3;
Camelina sativa;Saat-Leindotter;;3;
