SPECIES_NR;LETTERCODE;SHORTNAME;ABBREVIAT;NATIVENAME;AUTHOR;SYNONYM;VALID_NR
9340;ROCHSP.;Rochelia sp.;Rochelia sp.;;;FALSCH;9340
9341;ROEMREF;Roemeria refracta;Roemeria refracta;;;FALSCH;9341
9342;ROEMSP.;Roemeria sp.;Roemeria sp.;;;FALSCH;9342
9343;ROPAVIR;Ropalospora viridis;Ropalospora viridis;;;FALSCH;9343
9344;ROPASP.;Ropalospora sp.;Ropalospora sp.;;;FALSCH;9344
9345;RORIAMP;Rorippa amphibia;Rorippa amphibia;;;FALSCH;9345
9346;RORIAUS;Rorippa austriaca;Rorippa austriaca;;;FALSCH;9346
9347;RORIISL;Rorippa islandica;Rorippa islandica;;;FALSCH;9347
9348;RORIISA;Rorippa islandica ag.;Rorippa islandica agg.;;;FALSCH;9348
9349;RORILIP;Rorippa lippizensis;Rorippa lippizensis;;;FALSCH;9349
9350;RORIPAL;Rorippa palustris;Rorippa palustris;;;FALSCH;9350
9351;RORIPYR;Rorippa pyrenaica;Rorippa pyrenaica;;;FALSCH;9351
9352;RORISYL;Rorippa sylvestris;Rorippa sylvestris;;;FALSCH;9352
9353;RORI*AN;Rorippa x anceps;Rorippa x anceps;;;FALSCH;9353
9354;RORI*AR;Rorippa x armoracioide;Rorippa x armoracioides;;;FALSCH;9354
9355;RORI*AS;Rorippa x astyla;Rorippa x astyla;;;FALSCH;9355
9356;RORIKER;Rorippa kerneri;Rorippa kerneri;;;FALSCH;9356
9357;RORISP.;Rorippa sp.;Rorippa sp.;;;FALSCH;9357
9358;ROSAABI;Rosa abietina;Rosa abietina;;;FALSCH;9358
9359;ROSAACI;Rosa acicularis;Rosa acicularis;;;FALSCH;9359
9360;ROSADUL;Rosa dumalis s.str.;Rosa dumalis s.str.;;;FALSCH;9360
9361;ROSADUM;Rosa dumalis ag.;Rosa dumalis agg.;;;FALSCH;9361
9362;ROSAAGR;Rosa agrestis;Rosa agrestis;;;FALSCH;9362
9363;ROSAALB;Rosa alba;Rosa alba;;;FALSCH;9363
9364;ROSAAND;Rosa andegavensis;Rosa andegavensis;;;FALSCH;9364
9365;ROSAARV;Rosa arvensis;Rosa arvensis;;;FALSCH;9365
9366;ROSABLA;Rosa blanda;Rosa blanda;;;FALSCH;9366
9367;ROSABLO;Rosa blondaeana;Rosa blondaeana;;;FALSCH;9367
9368;ROSACAE;Rosa caesia;Rosa caesia;;;FALSCH;9368
9369;ROSACAS;Rosa caesia ag.;Rosa caesia agg.;;;FALSCH;9369
9370;ROSACAI;Rosa canina s.latiss.;Rosa canina s.latiss.;;;FALSCH;9370
9371;ROSACAN;Rosa cani s.la (= agg.;Rosa canina s.lat. (= agg.);;;FALSCH;9371
9372;ROSACAA;Ros can s.s (= sen LGM;Rosa canina s.str. (= sensu LGM);;;FALSCH;9372
9373;ROSACHI;Rosa chinensis;Rosa chinensis;;;FALSCH;9373
9374;ROSACOY;Ros cor s.s (= sen LGM;Rosa corymbifera s.str. (= sensu LGM);;;FALSCH;9374
9375;ROSACOR;Rosa corymbifer s.lat.;Rosa corymbifera s.lat.;;;FALSCH;9375
9376;ROSADES;Rosa deseglisei;Rosa deseglisei;;;FALSCH;9376
9377;ROSADUA;Rosa dumalis s.lat.;Rosa dumalis s.lat.;;;FALSCH;9377
9378;ROSAFOE;Rosa foetida;Rosa foetida;;;FALSCH;9378
9379;ROSAGAL;Rosa gallica;Rosa gallica;;;FALSCH;9379
9380;ROSAGLA;Rosa glauca;Rosa glauca;;;FALSCH;9380
9381;ROSAELL;Rosa elliptica;Rosa elliptica;;;FALSCH;9381
9382;ROSAJUN;Rosa jundzillii;Rosa jundzillii;;;FALSCH;9382
9383;ROSAMAJ;Rosa majalis;Rosa majalis;;;FALSCH;9383
9384;ROSAMIC;Rosa micrantha;Rosa micrantha;;;FALSCH;9384
9385;ROSAMON;Rosa montana;Rosa montana;;;FALSCH;9385
9386;ROSAMUL;Rosa multiflora;Rosa multiflora;;;FALSCH;9386
9387;ROSAOBT;Rosa obtusifolia ag.;Rosa obtusifolia agg.;;;FALSCH;9387
9388;ROSABAL;Rosa balsamica;Rosa balsamica;;;FALSCH;9388
9389;ROSAPEN;Rosa pendulina;Rosa pendulina;;;FALSCH;9389
9390;ROSAPIM;Rosa pimpinellifolia;Rosa pimpinellifolia;;;FALSCH;9390
9391;ROSARHA;Rosa rhaetica;Rosa rhaetica;;;FALSCH;9391
9392;ROSARUB;Rosa rubiginosa;Rosa rubiginosa;;;FALSCH;9392
9393;ROSARUG;Rosa rugosa;Rosa rugosa;;;FALSCH;9393
9394;ROSAPSE;Rosa pseudoscabriuscul;Rosa pseudoscabriuscula;;;FALSCH;9394
9395;ROSASEM;Rosa sempervirens;Rosa sempervirens;;;FALSCH;9395
9396;ROSASHE;Rosa sherardii s.str.;Rosa sherardii s.str.;;;FALSCH;9396
9397;ROSASQU;Rosa squarrosa;Rosa squarrosa;;;FALSCH;9397
9398;ROSASTY;Rosa stylosa;Rosa stylosa;;;FALSCH;9398
9399;ROSASUB;Rosa subcanina;Rosa subcanina;;;FALSCH;9399
9400;ROSASUC;Rosa subcollina;Rosa subcollina;;;FALSCH;9400
9401;ROSATOM;Rosa tomentosa;Rosa tomentosa;;;FALSCH;9401
9402;ROSAVIO;Rosa villosa ag.;Rosa villosa agg.;;;FALSCH;9402
9403;ROSAVIL;Rosa villosa;Rosa villosa;;;FALSCH;9403
9404;ROSAVIR;Rosa virginiana;Rosa virginiana;;;FALSCH;9404
9405;ROSA*FR;Rosa x francofurtana;Rosa x francofurtana;;;FALSCH;9405
9406;ROSAZAL;Rosa zalana;Rosa zalana;;;FALSCH;9406
9407;ROSACEN;Rosa centifolia;Rosa centifolia;;;FALSCH;9407
9408;ROSASP.;Rosa sp.;Rosa sp.;;;FALSCH;9408
9409;ROSECLA;Roselliniell cladoniae;Roselliniella cladoniae;;;FALSCH;9409
9410;ROSEFRU;Roselliniel frustulosa;Roselliniella frustulosae;;;FALSCH;9410
9411;ROSESP.;Roselliniella sp.;Roselliniella sp.;;;FALSCH;9411
9412;ROSLGRO;Roselliniop groedensis;Roselliniopsis groedensis;;;FALSCH;9412
9413;ROSLSP.;Roselliniopsis sp.;Roselliniopsis sp.;;;FALSCH;9413
9414;ROSIHAP;Rosellinula haplospora;Rosellinula haplospora;;;FALSCH;9414
9415;ROSISP.;Rosellinula sp.;Rosellinula sp.;;;FALSCH;9415
9416;ROSTCRI;Rostraria cristata;Rostraria cristata;;;FALSCH;9416
9417;ROSTSP.;Rostraria sp.;Rostraria sp.;;;FALSCH;9417
9418;RUBIPER;Rubia peregrina;Rubia peregrina;;;FALSCH;9418
9419;RUBITIN;Rubia tinctorum;Rubia tinctorum;;;FALSCH;9419
9420;RUBISP.;Rubia sp.;Rubia sp.;;;FALSCH;9420
