SPECIES_NR;LETTERCODE;SHORTNAME;ABBREVIAT;NATIVENAME;AUTHOR;SYNONYM;VALID_NR
854;ARTEABS;Artemisia absinthium;Artemisia absinthium;;;FALSCH;854
855;ARTEALB;Artemisia alba;Artemisia alba;;;FALSCH;855
856;ARTEANN;Artemisia annua;Artemisia annua;;;FALSCH;856
857;ARTEAUS;Artemisia austriaca;Artemisia austriaca;;;FALSCH;857
858;ARTEBOR;Artemisia borealis;Artemisia borealis;;;FALSCH;858
859;ARTECAP;Artemisia campestr ag.;Artemisia campestris agg.;;;FALSCH;859
860;ARTECAM;Artemisia campestris;Artemisia campestris;;;FALSCH;860
861;ARTECAE;Artemi campes v. campe;Artemisia campestris var. campestris;;;FALSCH;861
862;ARTECAS;Artemi campes v. ledni;Artemisia campestris var. lednicensis;;;FALSCH;862
863;ARTEDRA;Artemisia dracunculus;Artemisia dracunculus;;;FALSCH;863
864;ARTEGEN;Artemisia genipi;Artemisia genipi;;;FALSCH;864
865;ARTELAC;Artemisia laciniata;Artemisia laciniata;;;FALSCH;865
866;ARTEMUT;Artemisia mutellina;Artemisia mutellina;;;FALSCH;866
867;ARTENIT;Artemisia nitida;Artemisia nitida;;;FALSCH;867
868;ARTEPAN;Artemisia pancicii;Artemisia pancicii;;;FALSCH;868
869;ARTEPON;Artemisia pontica;Artemisia pontica;;;FALSCH;869
870;ARTESAN;Artemisia santonicum;Artemisia santonicum;;;FALSCH;870
871;ARTESCO;Artemisia scoparia;Artemisia scoparia;;;FALSCH;871
872;ARTESIV;Artemisia siversiana;Artemisia siversiana;;;FALSCH;872
873;ARTEVER;Artemisia verlotiorum;Artemisia verlotiorum;;;FALSCH;873
874;ARTEVUG;Artemisia vulgaris ag.;Artemisia vulgaris agg.;;;FALSCH;874
875;ARTEVUL;Artemisia vulgaris;Artemisia vulgaris;;;FALSCH;875
876;ARTEBIE;Artemisia biennis;Artemisia biennis;;;FALSCH;876
877;ARTEERI;Artemisia eriantha;Artemisia eriantha;;;FALSCH;877
878;ARTELUD;Artemisia ludoviciana;Artemisia ludoviciana;;;FALSCH;878
879;ARTETOU;Artemisia tournefortia;Artemisia tournefortiana;;;FALSCH;879
880;ARTESP.;Artemisia sp.;Artemisia sp.;;;FALSCH;880
881;ARTHBUE;Arthonia bueriana;Arthonia bueriana;;;FALSCH;881
882;ARTHBYS;Arthonia byssacea;Arthonia byssacea;;;FALSCH;882
883;ARTHCAE;Arthonia caesia;Arthonia caesia;;;FALSCH;883
884;ARTHCAL;Arthonia calcicola;Arthonia calcicola;;;FALSCH;884
885;ARTHCIN;Arthonia cinereopruino;Arthonia cinereopruinosa;;;FALSCH;885
886;ARTHCIA;Arthonia cinnabarina;Arthonia cinnabarina;;;FALSCH;886
887;ARTHCLE;Arthonia clemens;Arthonia clemens;;;FALSCH;887
888;ARTHDES;Arthonia destruens;Arthonia destruens;;;FALSCH;888
889;ARTHDID;Arthonia didyma;Arthonia didyma;;;FALSCH;889
890;ARTHDIS;Arthonia dispersa;Arthonia dispersa;;;FALSCH;890
891;ARTHELE;Arthonia elegans;Arthonia elegans;;;FALSCH;891
892;ARTHEND;Arthonia endlicheri;Arthonia endlicheri;;;FALSCH;892
893;ARTHEPI;Arthonia epiphyscia;Arthonia epiphyscia;;;FALSCH;893
894;ARTHERI;Arthonia ericetorum;Arthonia ericetorum;;;FALSCH;894
895;ARTHEXI;Arthonia exilis;Arthonia exilis;;;FALSCH;895
896;ARTHFUL;Arthonia fuliginosa;Arthonia fuliginosa;;;FALSCH;896
897;ARTHFUS;Arthonia fusca;Arthonia fusca;;;FALSCH;897
898;ARTHFUC;Arthonia fuscopurpurea;Arthonia fuscopurpurea;;;FALSCH;898
899;ARTHGAL;Arthonia galactites;Arthonia galactites;;;FALSCH;899
900;ARTHGLA;Arthonia glaucomaria;Arthonia glaucomaria;;;FALSCH;900
901;ARTHHYP;Arthonia hypnophila;Arthonia hypnophila;;;FALSCH;901
902;ARTHINC;Arthonia incarnata;Arthonia incarnata;;;FALSCH;902
903;ARTHINS;Arthonia insitiva;Arthonia insitiva;;;FALSCH;903
904;ARTHINT;Arthonia intexta;Arthonia intexta;;;FALSCH;904
905;ARTHLAP;Arthonia lapidicicola;Arthonia lapidicicola;;;FALSCH;905
906;ARTHLEU;Arthonia leucodontis;Arthonia leucodontis;;;FALSCH;906
907;ARTHLEC;Arthonia leucopellaea;Arthonia leucopellaea;;;FALSCH;907
908;ARTHLOB;Arthonia lobata;Arthonia lobata;;;FALSCH;908
909;ARTHMED;Arthonia mediella;Arthonia mediella;;;FALSCH;909
910;ARTHMOL;Arthonia molendoi;Arthonia molendoi;;;FALSCH;910
911;ARTHNEP;Arthonia nephromiaria;Arthonia nephromiaria;;;FALSCH;911
912;ARTHPAT;Arthonia patellulata;Arthonia patellulata;;;FALSCH;912
913;ARTHPRU;Arthonia pruinata;Arthonia pruinata;;;FALSCH;913
914;ARTHPUN;Arthonia punctiformis;Arthonia punctiformis;;;FALSCH;914
915;ARTHRAD;Arthonia radiata;Arthonia radiata;;;FALSCH;915
916;ARTHREN;Arthonia reniformis;Arthonia reniformis;;;FALSCH;916
917;ARTHRUB;Arthonia rubescens;Arthonia rubescens;;;FALSCH;917
918;ARTHSPA;Arthonia spadicea;Arthonia spadicea;;;FALSCH;918
919;ARTHSTE;Arthonia stellaris;Arthonia stellaris;;;FALSCH;919
920;ARTHSUB;Arthonia subcerasi;Arthonia subcerasi;;;FALSCH;920
921;ARTHTEN;Arthonia tenellula;Arthonia tenellula;;;FALSCH;921
922;ARTHVIN;Arthonia vinosa;Arthonia vinosa;;;FALSCH;922
923;ARTHSP.;Arthonia sp.;Arthonia sp.;;;FALSCH;923
924;ARTOANA;Arthopyrenia analepta;Arthopyrenia analepta;;;FALSCH;924
925;ARTOANT;Arthopyreni antecellen;Arthopyrenia antecellens;;;FALSCH;925
926;ARTOARN;Arthopyrenia arnoldii;Arthopyrenia arnoldii;;;FALSCH;926
927;ARTOCEM;Arthopyrenia cembrina;Arthopyrenia cembrina;;;FALSCH;927
928;ARTOCER;Arthopyrenia cerasi;Arthopyrenia cerasi;;;FALSCH;928
929;ARTOCIN;Arthopyreni cinereopru;Arthopyrenia cinereopruinosa;;;FALSCH;929
930;ARTOGRI;Arthopyrenia grisea;Arthopyrenia grisea;;;FALSCH;930
931;ARTOINC;Arthopyreni inconspicu;Arthopyrenia inconspicuaris;;;FALSCH;931
932;ARTOLAB;Arthopyrenia laburni;Arthopyrenia laburni;;;FALSCH;932
933;ARTOLAP;Arthopyrenia lapponica;Arthopyrenia lapponica;;;FALSCH;933
934;ARTOMEG;Arthopyreni megalospor;Arthopyrenia megalospora;;;FALSCH;934
935;ARTOMIC;Arthopyreni microspila;Arthopyrenia microspila;;;FALSCH;935
936;ARTOPER;Arthopyrenia persoonii;Arthopyrenia persoonii;;;FALSCH;936
937;ARTOPUN;Arthopyreni punctiform;Arthopyrenia punctiformis;;;FALSCH;937
938;ARTORHO;Arthopyreni rhododendr;Arthopyrenia rhododendri;;;FALSCH;938
939;ARTORHY;Arthopyrenia rhyponta;Arthopyrenia rhyponta;;;FALSCH;939
940;ARTOSAX;Arthopyrenia saxicola;Arthopyrenia saxicola;;;FALSCH;940
941;ARTOSTE;Arthopyrenia stenopora;Arthopyrenia stenopora;;;FALSCH;941
942;ARTOSUB;Arthopyrenia submicans;Arthopyrenia submicans;;;FALSCH;942
943;ARTOSP.;Arthopyrenia sp.;Arthopyrenia sp.;;;FALSCH;943
944;ARTTRUA;Arthothelium ruanum;Arthothelium ruanum;;;FALSCH;944
945;ARTTSPE;Arthotheliu spectabile;Arthothelium spectabile;;;FALSCH;945
946;ARTTSP.;Arthothelium sp.;Arthothelium sp.;;;FALSCH;946
947;ARTRALP;Arthrorhaphis alpina;Arthrorhaphis alpina;;;FALSCH;947
948;ARTRCIR;Arthrorhaph citrinella;Arthrorhaphis citrinella;;;FALSCH;948
949;ARTRCIT;Arthro citrin v. citri;Arthrorhap citrinella var. citrinella;;;FALSCH;949
950;ARTRGRI;Arthrorhaphis grisea;Arthrorhaphis grisea;;;FALSCH;950
951;ARTRVAC;Arthrorhaphi vacillans;Arthrorhaphis vacillans;;;FALSCH;951
952;ARTRSP.;Arthrorhaphis sp.;Arthrorhaphis sp.;;;FALSCH;952
953;ARTSPOP;Arthrosporum populorum;Arthrosporum populorum;;;FALSCH;953
954;ARTSSP.;Arthrosporum sp.;Arthrosporum sp.;;;FALSCH;954
955;ARUMCYL;Arum cylindraceum;Arum cylindraceum;;;FALSCH;955
956;ARUMMAU;Arum maculatum ag.;Arum maculatum agg.;;;FALSCH;956
957;ARUMMAC;Arum maculatum;Arum maculatum;;;FALSCH;957
958;ARUMSP.;Arum sp.;Arum sp.;;;FALSCH;958
959;ARUNDIO;Aruncus dioicus;Aruncus dioicus;;;FALSCH;959
960;ARUNSP.;Aruncus sp.;Aruncus sp.;;;FALSCH;960
961;ASAREUR;Asarum europaeum;Asarum europaeum;;;FALSCH;961
962;ASAREUO;Asarum europa s. cauca;Asarum europaeum ssp. caucasicum;;;FALSCH;962
963;ASAREUP;Asarum europa s. europ;Asarum europaeum ssp. europaeum;;;FALSCH;963
964;ASARSP.;Asarum sp.;Asarum sp.;;;FALSCH;964
965;ASCHCAR;Aschisma carniolicum;Aschisma carniolicum;;;FALSCH;965
966;ASCHSP.;Aschisma sp.;Aschisma sp.;;;FALSCH;966
967;ASCLSYR;Asclepias syriaca;Asclepias syriaca;;;FALSCH;967
968;ASCLSP.;Asclepias sp.;Asclepias sp.;;;FALSCH;968
969;ASPAOFF;Asparagus officinalis;Asparagus officinalis;;;FALSCH;969
970;ASPATEN;Asparagus tenuifolius;Asparagus tenuifolius;;;FALSCH;970
971;ASPASP.;Asparagus sp.;Asparagus sp.;;;FALSCH;971
972;ASPEPRO;Asperugo procumbens;Asperugo procumbens;;;FALSCH;972
973;ASPESP.;Asperugo sp.;Asperugo sp.;;;FALSCH;973
974;ASPRARI;Asperula aristata;Asperula aristata;;;FALSCH;974
975;ASPRARS;Asperu arista s. oreop;Asperula aristata ssp. oreophila;;;FALSCH;975
976;ASPRARV;Asperula arvensis;Asperula arvensis;;;FALSCH;976
977;ASPRCYN;Asperula cynanchica;Asperula cynanchica;;;FALSCH;977
978;ASPRNEI;Asperula neilreichii;Asperula neilreichii;;;FALSCH;978
979;ASPRORI;Asperula orientalis;Asperula orientalis;;;FALSCH;979
980;ASPRPUR;Asperula purpurea;Asperula purpurea;;;FALSCH;980
981;ASPRPUP;Asperu purpur s. purpu;Asperula purpurea ssp. purpurea;;;FALSCH;981
982;ASPRTAU;Asperula taurina;Asperula taurina;;;FALSCH;982
983;ASPRTAR;Asperu taurin s. tauri;Asperula taurina ssp. taurina;;;FALSCH;983
984;ASPRTIN;Asperula tinctoria;Asperula tinctoria;;;FALSCH;984
985;ASPRSP.;Asperula sp.;Asperula sp.;;;FALSCH;985
986;ASPHFIS;Asphodelus fistulosus;Asphodelus fistulosus;;;FALSCH;986
987;ASPHSP.;Asphodelus sp.;Asphodelus sp.;;;FALSCH;987
988;ASPIAMP;Aspicilia amphibola;Aspicilia amphibola;;;FALSCH;988
989;ASPIAQU;Aspicilia aquatica;Aspicilia aquatica;;;FALSCH;989
990;ASPIBRI;Aspicilia bricconensis;Aspicilia bricconensis;;;FALSCH;990
991;ASPICAI;Aspicilia caesiocinere;Aspicilia caesiocinerea;;;FALSCH;991
992;ASPICAE;Aspici caesio v. caesi;Aspicilia caesiocine var. caesiocine;;;FALSCH;992
993;ASPICAS;Aspici caesio v. subde;Aspicilia caesiocine var. subdepress;;;FALSCH;993
994;ASPICAL;Aspicilia calcarea;Aspicilia calcarea;;;FALSCH;994
995;ASPICAN;Aspicilia candida;Aspicilia candida;;;FALSCH;995
996;ASPICHA;Aspicilia chadefaudian;Aspicilia chadefaudiana;;;FALSCH;996
997;ASPICIN;Aspicilia cinerea;Aspicilia cinerea;;;FALSCH;997
998;ASPIC,P;Aspici cinere f. papil;Aspicilia cinerea f. papillata;;;FALSCH;998
999;ASPICON;Aspicilia contorta;Aspicilia contorta;;;FALSCH;999
1000;ASPICOT;Aspici contor s. hoffm;Aspicilia contorta ssp. hoffmanniana;;;FALSCH;1000
1001;ASPICOR;Aspicilia corallophora;Aspicilia corallophora;;;FALSCH;1001
1002;ASPICOO;Aspicilia coronata;Aspicilia coronata;;;FALSCH;1002
1003;ASPIFAR;Aspicilia farinosa;Aspicilia farinosa;;;FALSCH;1003
1004;ASPIGIB;Aspicilia gibbosa;Aspicilia gibbosa;;;FALSCH;1004
1005;ASPIGIO;Aspicilia gibbosula;Aspicilia gibbosula;;;FALSCH;1005
1006;ASPIGLO;Aspicilia glomerulans;Aspicilia glomerulans;;;FALSCH;1006
1007;ASPIGRI;Aspicilia grisea;Aspicilia grisea;;;FALSCH;1007
1008;ASPIINO;Aspicilia inornata;Aspicilia inornata;;;FALSCH;1008
1009;ASPIINT;Aspicilia intermutans;Aspicilia intermutans;;;FALSCH;1009
1010;ASPILAC;Aspicilia lactea;Aspicilia lactea;;;FALSCH;1010
1011;ASPILAE;Aspicilia laevata;Aspicilia laevata;;;FALSCH;1011
1012;ASPILAV;Aspicilia laevatoides;Aspicilia laevatoides;;;FALSCH;1012
1013;ASPILIG;Aspicilia lignicola;Aspicilia lignicola;;;FALSCH;1013
1014;ASPIMAS;Aspicilia mastrucata;Aspicilia mastrucata;;;FALSCH;1014
1015;ASPIMIC;Aspicilia microspora;Aspicilia microspora;;;FALSCH;1015
1016;ASPIMOE;Aspicilia moenium;Aspicilia moenium;;;FALSCH;1016
1017;ASPIMON;Aspicilia montana;Aspicilia montana;;;FALSCH;1017
1018;ASPIMYR;Aspicilia myrinii;Aspicilia myrinii;;;FALSCH;1018
1019;ASPINUN;Aspicilia nunatakkorum;Aspicilia nunatakkorum;;;FALSCH;1019
1020;ASPIPOL;Aspicilia polychroma;Aspicilia polychroma;;;FALSCH;1020
1021;ASPIREC;Aspicilia recedens;Aspicilia recedens;;;FALSCH;1021
1022;ASPIROL;Aspicilia rolleana;Aspicilia rolleana;;;FALSCH;1022
1023;ASPISIM;Aspicilia simoensis;Aspicilia simoensis;;;FALSCH;1023
1024;ASPISUB;Aspicilia subdepressa;Aspicilia subdepressa;;;FALSCH;1024
1025;ASPISUP;Aspicilia supertegens;Aspicilia supertegens;;;FALSCH;1025
1026;ASPITRA;Aspicilia trachytica;Aspicilia trachytica;;;FALSCH;1026
1027;ASPIVER;Aspicilia verrucculosa;Aspicilia verrucculosa;;;FALSCH;1027
1028;ASPIVIR;Aspicilia virginea;Aspicilia virginea;;;FALSCH;1028
1029;ASPIVII;Aspicilia viridescens;Aspicilia viridescens;;;FALSCH;1029
1030;ASPISP.;Aspicilia sp.;Aspicilia sp.;;;FALSCH;1030
1031;ASPLADA;Asplenium adiantum ag.;Asplenium adiantum-nigrum agg.;;;FALSCH;1031
1032;ASPLADI;Asplenium adiantum-nig;Asplenium adiantum-nigrum;;;FALSCH;1032
1033;ASPLADU;Asplenium adulterinum;Asplenium adulterinum;;;FALSCH;1033
1034;ASPLADL;Asplen adulte s. adult;Asplenium adulterinum ssp. adulterinum;;;FALSCH;1034
1035;ASPLCET;Asplenium ceterach;Asplenium ceterach;;;FALSCH;1035
1036;ASPLCEE;Asplen cetera s. bival;Asplenium ceterach ssp. bivalens;;;FALSCH;1036
1037;ASPLCER;Asplen cetera s. ceter;Asplenium ceterach ssp. ceterach;;;FALSCH;1037
1038;ASPLCUN;Asplenium cuneifolium;Asplenium cuneifolium;;;FALSCH;1038
1039;ASPLFIS;Asplenium fissum;Asplenium fissum;;;FALSCH;1039
1040;ASPLFON;Asplenium fontanum;Asplenium fontanum;;;FALSCH;1040
1041;ASPLLEP;Asplenium lepidum;Asplenium lepidum;;;FALSCH;1041
1042;ASPLRUT;Asplenium ruta-muraria;Asplenium ruta-muraria;;;FALSCH;1042
1043;ASPLRUA;Asplen ruta-m s. dolom;Asplenium ruta-muraria ssp. dolomiticum;;;FALSCH;1043
1044;ASPLRU-;Asplen ruta-m s. ruta-;Asplenium ruta-muraria ssp. ruta-muraria;;;FALSCH;1044
1045;ASPLSCO;Asplenium scolopendriu;Asplenium scolopendrium;;;FALSCH;1045
1046;ASPLSEE;Asplenium seelosii;Asplenium seelosii;;;FALSCH;1046
1047;ASPLSEP;Asplenium septentriona;Asplenium septentrionale;;;FALSCH;1047
1048;ASPLTRI;Asplenium trichomanes;Asplenium trichomanes;;;FALSCH;1048
1049;ASPLTRH;Asplen tricho s. inexp;Asplenium trichomanes ssp. inexpectans;;;FALSCH;1049
1050;ASPLTRO;Asplen tricho s. pachy;Asplenium trichomanes ssp. pachyrhachis;;;FALSCH;1050
1051;ASPLTRM;Asplen tricho s. quadr;Asplenium trichomanes ssp. quadrivalens;;;FALSCH;1051
1052;ASPLTRA;Asplen tricho s. trich;Asplenium trichomanes ssp. trichomanes;;;FALSCH;1052
1053;ASPLVIR;Asplenium viride;Asplenium viride;;;FALSCH;1053
1054;ASPL*AL;Asplenium x alternifol;Asplenium x alternifolium;;;FALSCH;1054
1055;ASPLSP.;Asplenium sp.;Asplenium sp.;;;FALSCH;1055
1056;ASTEALP;Aster alpinus;Aster alpinus;;;FALSCH;1056
1057;ASTEAME;Aster amellus;Aster amellus;;;FALSCH;1057
1058;ASTEBEL;Aster bellidiastrum;Aster bellidiastrum;;;FALSCH;1058
1059;ASTECAN;Aster canus;Aster canus;;;FALSCH;1059
1060;ASTELAE;Aster laevis;Aster laevis;;;FALSCH;1060
1061;ASTELAN;Aster lanceolatus;Aster lanceolatus;;;FALSCH;1061
1062;ASTELIN;Aster linosyris;Aster linosyris;;;FALSCH;1062
1063;ASTENOV;Aster novae-angliae;Aster novae-angliae;;;FALSCH;1063
1064;ASTENO-;Aster novi-belgii ag.;Aster novi-belgii agg.;;;FALSCH;1064
1065;ASTENOI;Aster novi-belgii;Aster novi-belgii;;;FALSCH;1065
1066;ASTEPIL;Aster pilosus;Aster pilosus;;;FALSCH;1066
1067;ASTESIB;Aster sibiricus;Aster sibiricus;;;FALSCH;1067
1068;ASTETRI;Aster tripolium;Aster tripolium;;;FALSCH;1068
1069;ASTETRP;Aster tripol s. pannon;Aster tripolium ssp. pannonicus;;;FALSCH;1069
1070;ASTE*SA;Aster x salignus;Aster x salignus;;;FALSCH;1070
1071;ASTE*VE;Aster x versicolor;Aster x versicolor;;;FALSCH;1071
1072;ASTECOR;Aster cordifolius;Aster cordifolius;;;FALSCH;1072
1073;ASTEDIV;Aster divaricatus;Aster divaricatus;;;FALSCH;1073
1074;ASTESP.;Aster sp.;Aster sp.;;;FALSCH;1074
1075;ASTEAFR;Asterella africana;Asterella africana;;;FALSCH;1075
1076;ASTEGRA;Asterella gracilis;Asterella gracilis;;;FALSCH;1076
1077;ASTELID;Asterella lindenbergia;Asterella lindenbergiana;;;FALSCH;1077
1078;ASTESAC;Asterella saccata;Asterella saccata;;;FALSCH;1078
1079;ASTESPA;Asterella sp.;Asterella sp.;;;FALSCH;1079
1080;ASTRMAZ;Asterophoma mazaediico;Asterophoma mazaediicola;;;FALSCH;1080
1081;ASTRSP.;Asterophoma sp.;Asterophoma sp.;;;FALSCH;1081
1082;ASTIJAP;Astilbe japonica;Astilbe japonica;;;FALSCH;1082
1083;ASTISP.;Astilbe sp.;Astilbe sp.;;;FALSCH;1083
1084;ASTAALP;Astragalus alpinus;Astragalus alpinus;;;FALSCH;1084
1085;ASTAARE;Astragalus arenarius;Astragalus arenarius;;;FALSCH;1085
1086;ASTAASP;Astragalus asper;Astragalus asper;;;FALSCH;1086
1087;ASTAAUS;Astragalus australis;Astragalus australis;;;FALSCH;1087
1088;ASTAAUT;Astragalus austriacus;Astragalus austriacus;;;FALSCH;1088
1089;ASTACIC;Astragalus cicer;Astragalus cicer;;;FALSCH;1089
1090;ASTADAN;Astragalus danicus;Astragalus danicus;;;FALSCH;1090
1091;ASTADAS;Astragalus dasyanthus;Astragalus dasyanthus;;;FALSCH;1091
1092;ASTADEP;Astragalus depressus;Astragalus depressus;;;FALSCH;1092
1093;ASTAEXS;Astragalus exscapus;Astragalus exscapus;;;FALSCH;1093
1094;ASTAFAL;Astragalus falcatus;Astragalus falcatus;;;FALSCH;1094
1095;ASTAFRI;Astragalus frigidus;Astragalus frigidus;;;FALSCH;1095
1096;ASTAGLC;Astragalus glycyphyllo;Astragalus glycyphyllos;;;FALSCH;1096
1097;ASTAHYP;Astragalus hypoglottis;Astragalus hypoglottis;;;FALSCH;1097
1098;ASTAHYO;Astrag hypogl s. greml;Astragalus hypoglottis ssp. gremlii;;;FALSCH;1098
1099;ASTALEO;Astragalus leontinus;Astragalus leontinus;;;FALSCH;1099
1100;ASTANOR;Astragalus norvegicus;Astragalus norvegicus;;;FALSCH;1100
1101;ASTAONO;Astragalus onobrychis;Astragalus onobrychis;;;FALSCH;1101
1102;ASTAPEN;Astragalus penduliflor;Astragalus penduliflorus;;;FALSCH;1102
1103;ASTASUL;Astragalus sulcatus;Astragalus sulcatus;;;FALSCH;1103
1104;ASTAVES;Astragalus vesicarius;Astragalus vesicarius;;;FALSCH;1104
1105;ASTAVEI;Astrag vesica s. vesic;Astragalus vesicarius ssp. vesicarius;;;FALSCH;1105
1106;ASTAGLY;Astragalus glycyphyllo;Astragalus glycyphylloides;;;FALSCH;1106
1107;ASTASP.;Astragalus sp.;Astragalus sp.;;;FALSCH;1107
1108;ASTNBAV;Astrantia bavarica;Astrantia bavarica;;;FALSCH;1108
1109;ASTNCAR;Astrantia carniolica;Astrantia carniolica;;;FALSCH;1109
1110;ASTNMAJ;Astrantia major;Astrantia major;;;FALSCH;1110
1111;ASTNMAO;Astran major s. carint;Astrantia major ssp. carinthiaca;;;FALSCH;1111
1112;ASTNMAR;Astrant major s. major;Astrantia major ssp. major;;;FALSCH;1112
1113;ASTNSP.;Astrantia sp.;Astrantia sp.;;;FALSCH;1113
1114;ASTOORI;Astrodaucus orientalis;Astrodaucus orientalis;;;FALSCH;1114
1115;ASTOSP.;Astrodaucus sp.;Astrodaucus sp.;;;FALSCH;1115
1116;ASYNCAN;Asyneuma canescens;Asyneuma canescens;;;FALSCH;1116
1117;ASYNSP.;Asyneuma sp.;Asyneuma sp.;;;FALSCH;1117
1118;ATHAHYA;Athalamia hyalina;Athalamia hyalina;;;FALSCH;1118
1119;ATHAHYL;Athala hyalin v. hyali;Athalamia hyalina var. hyalina;;;FALSCH;1119
1120;ATHAHYI;Athala hyalin v. sueci;Athalamia hyalina var. suecica;;;FALSCH;1120
1121;ATHASPA;Athalamia spathysii;Athalamia spathysii;;;FALSCH;1121
1122;ATHASP.;Athalamia sp.;Athalamia sp.;;;FALSCH;1122
1123;ATHMCRE;Athamanta cretensis;Athamanta cretensis;;;FALSCH;1123
1124;ATHMSP.;Athamanta sp.;Athamanta sp.;;;FALSCH;1124
1125;ATHEARA;Athelia arachnoidea;Athelia arachnoidea;;;FALSCH;1125
1126;ATHESP.;Athelia sp.;Athelia sp.;;;FALSCH;1126
1127;ATHYDIS;Athyrium distentifoliu;Athyrium distentifolium;;;FALSCH;1127
1128;ATHYFIL;Athyrium filix-femina;Athyrium filix-femina;;;FALSCH;1128
1129;ATHYSP.;Athyrium sp.;Athyrium sp.;;;FALSCH;1129
1130;ATRAALP;Atractylocarpu alpinus;Atractylocarpus alpinus;;;FALSCH;1130
1131;ATRASP.;Atractylocarpus sp.;Atractylocarpus sp.;;;FALSCH;1131
1132;ATRIANG;Atrichum angustatum;Atrichum angustatum;;;FALSCH;1132
1133;ATRICRI;Atrichum crispum;Atrichum crispum;;;FALSCH;1133
1134;ATRITEN;Atrichum tenellum;Atrichum tenellum;;;FALSCH;1134
1135;ATRIUND;Atrichum undulatum;Atrichum undulatum;;;FALSCH;1135
1136;ATRIUNU;Atrich undula v. graci;Atrichum undulatum var. gracilisetum;;;FALSCH;1136
1137;ATRIUNL;Atrich undula v. oerst;Atrichum undulatum var. oerstedianum;;;FALSCH;1137
1138;ATRIUNA;Atrich undula v. undul;Atrichum undulatum var. undulatum;;;FALSCH;1138
1139;ATRISP.;Atrichum sp.;Atrichum sp.;;;FALSCH;1139
1140;ATRPHOR;Atriplex hortensis;Atriplex hortensis;;;FALSCH;1140
1141;ATRPLIT;Atriplex littoralis;Atriplex littoralis;;;FALSCH;1141
1142;ATRPMIC;Atriplex micrantha;Atriplex micrantha;;;FALSCH;1142
1143;ATRPOBL;Atriplex oblongifolia;Atriplex oblongifolia;;;FALSCH;1143
1144;ATRPPAT;Atriplex patula;Atriplex patula;;;FALSCH;1144
1145;ATRPPRO;Atriplex prostrata;Atriplex prostrata;;;FALSCH;1145
1146;ATRPROS;Atriplex rosea;Atriplex rosea;;;FALSCH;1146
1147;ATRPSAG;Atriplex sagittata;Atriplex sagittata;;;FALSCH;1147
1148;ATRPTAT;Atriplex tatarica;Atriplex tatarica;;;FALSCH;1148
1149;ATRPSEM;Atriplex semilunaris;Atriplex semilunaris;;;FALSCH;1149
1150;ATRPSP.;Atriplex sp.;Atriplex sp.;;;FALSCH;1150
1151;ATROBEL;Atropa bella-donna;Atropa bella-donna;;;FALSCH;1151
1152;ATROSP.;Atropa sp.;Atropa sp.;;;FALSCH;1152
1153;AUBRCOL;Aubrieta columnae;Aubrieta columnae;;;FALSCH;1153
1154;AUBR*CU;Aubrieta x cultorum;Aubrieta x cultorum;;;FALSCH;1154
1155;AUBRDEL;Aubrieta deltoidea;Aubrieta deltoidea;;;FALSCH;1155
1156;AUBRSP.;Aubrieta sp.;Aubrieta sp.;;;FALSCH;1156
1157;AULAAND;Aulacomnium androgynum;Aulacomnium androgynum;;;FALSCH;1157
1158;AULAPAL;Aulacomnium palustre;Aulacomnium palustre;;;FALSCH;1158
1159;AULAPAU;Aulaco palust v. imbri;Aulacomnium palustre var. imbricatum;;;FALSCH;1159
1160;AULAPAS;Aulaco palust v. palus;Aulacomnium palustre var. palustre;;;FALSCH;1160
1161;AULATUR;Aulacomnium turgidum;Aulacomnium turgidum;;;FALSCH;1161
1162;AULASP.;Aulacomnium sp.;Aulacomnium sp.;;;FALSCH;1162
1163;AURIPET;Aurinia petraea;Aurinia petraea;;;FALSCH;1163
1164;AURISAX;Aurinia saxatilis;Aurinia saxatilis;;;FALSCH;1164
1165;AURISP.;Aurinia sp.;Aurinia sp.;;;FALSCH;1165
1166;AVENBAR;Avena barbata;Avena barbata;;;FALSCH;1166
1167;AVENBRE;Avena brevis;Avena brevis;;;FALSCH;1167
1168;AVENFAT;Avena fatua;Avena fatua;;;FALSCH;1168
1169;AVENNUD;Avena nuda;Avena nuda;;;FALSCH;1169
1170;AVENSAT;Avena sativa;Avena sativa;;;FALSCH;1170
1171;AVENSTE;Avena sterilis;Avena sterilis;;;FALSCH;1171
1172;AVENSTR;Avena strigosa;Avena strigosa;;;FALSCH;1172
1173;AVENSP.;Avena sp.;Avena sp.;;;FALSCH;1173
1174;AVEEFLE;Avenella flexuosa;Avenella flexuosa;;;FALSCH;1174
1175;AVEESP.;Avenella sp.;Avenella sp.;;;FALSCH;1175
1176;AVEUADS;Avenula adsurgens;Avenula adsurgens;;;FALSCH;1176
1177;AVEUADU;Avenul adsurg s. adsur;Avenula adsurgens ssp. adsurgens;;;FALSCH;1177
1178;AVEUADR;Avenul adsurg s. ausse;Avenula adsurgens ssp. ausserdorferi;;;FALSCH;1178
1179;AVEUPLA;Avenula planiculmis;Avenula planiculmis;;;FALSCH;1179
1180;AVEUPRA;Avenula praeusta;Avenula praeusta;;;FALSCH;1180
1181;AVEUPRE;Avenul praeus s. praeu;Avenula praeusta ssp. praeusta;;;FALSCH;1181
