name	author	association	suballiance	alliance	order	class
Impatiens glandulifera-Gesellschaft		TRUE	FALSE	FALSE	FALSE	FALSE
Phragmites australis-Gesellschaft		TRUE	FALSE	FALSE	FALSE	FALSE
Fallopia japonica-Gesellschaft		TRUE	FALSE	FALSE	FALSE	FALSE
Rudbeckia laciniata-Gesellschaft		TRUE	FALSE	FALSE	FALSE	FALSE
Solidago canadensis-(Senecionion)-Gesellschaft		TRUE	FALSE	FALSE	FALSE	FALSE
Solidago gigantea-Gesellschaft		TRUE	FALSE	FALSE	FALSE	FALSE
Petasition officinalis		FALSE	FALSE	TRUE	FALSE	FALSE
Chaerophyllo-Petasitetum officinalis		TRUE	FALSE	FALSE	FALSE	FALSE
Arunco-Petasitetum albi		TRUE	FALSE	FALSE	FALSE	FALSE
Chaerophyllum hirsutum-(Petasition)-Gesellschaft		TRUE	FALSE	FALSE	FALSE	FALSE
Equisetum telmateia-Gesellschaft		TRUE	FALSE	FALSE	FALSE	FALSE
Clematis vitalba-Gesellschaft		TRUE	FALSE	FALSE	FALSE	FALSE
Rubus caesius-Gesellschaft		TRUE	FALSE	FALSE	FALSE	FALSE
Urtica dioica-(Galio-Urticetea)-Gesellschaft		TRUE	FALSE	FALSE	FALSE	FALSE
Epilobietea angustifolii		FALSE	FALSE	FALSE	FALSE	TRUE
Atropetalia		FALSE	FALSE	FALSE	TRUE	FALSE
Atropion		FALSE	FALSE	TRUE	FALSE	FALSE
Epilobio-Atropetum bellae-donnae		TRUE	FALSE	FALSE	FALSE	FALSE
Arctietum nemorosi		TRUE	FALSE	FALSE	FALSE	FALSE
Eupatorietum cannabini		TRUE	FALSE	FALSE	FALSE	FALSE
Atropo-Poetum stiriacae		TRUE	FALSE	FALSE	FALSE	FALSE
Carici piluliferae-Epilobion angustifolii		FALSE	FALSE	TRUE	FALSE	FALSE
Senecioni sylvatici-Epilobietum angustifolii		TRUE	FALSE	FALSE	FALSE	FALSE
Epilobio-Digitalietum purpureae		TRUE	FALSE	FALSE	FALSE	FALSE
Digitali ambiguae-Calamagrostietum arundinaceae		TRUE	FALSE	FALSE	FALSE	FALSE
Calamagrostis epigejos-(Carici-Epilobion)-Gesellschaft		TRUE	FALSE	FALSE	FALSE	FALSE
Avenella flexuosa-Gesellschaft		TRUE	FALSE	FALSE	FALSE	FALSE
Sambuco-Salicion capreae		FALSE	FALSE	TRUE	FALSE	FALSE
Rubetum idaei		TRUE	FALSE	FALSE	FALSE	FALSE
Senecietum fuchsii		TRUE	FALSE	FALSE	FALSE	FALSE
Sambucetum racemosae		TRUE	FALSE	FALSE	FALSE	FALSE
Piceo-Sorbetum aucupariae		TRUE	FALSE	FALSE	FALSE	FALSE
Salicetum capreae		TRUE	FALSE	FALSE	FALSE	FALSE
Lonicero-Rubion silvatici		FALSE	FALSE	TRUE	FALSE	FALSE
Frangulo-Betuletum pendulae		TRUE	FALSE	FALSE	FALSE	FALSE
Calamagrostis varia-Gesellschaft		TRUE	FALSE	FALSE	FALSE	FALSE
Pteridium aquilinum-Gesellschaft		TRUE	FALSE	FALSE	FALSE	FALSE
Trifolio-Geranietea sanguinei		FALSE	FALSE	FALSE	FALSE	TRUE
Origanetalia vulgaris		FALSE	FALSE	FALSE	TRUE	FALSE
Geranion sanguinei		FALSE	FALSE	TRUE	FALSE	FALSE
Geranio-Dictamnetum		TRUE	FALSE	FALSE	FALSE	FALSE
Arabidi turritae-Laserpitietum asperi		TRUE	FALSE	FALSE	FALSE	FALSE
Peucedanetum cervariae		TRUE	FALSE	FALSE	FALSE	FALSE
Geranio-Anemonetum sylvestris		TRUE	FALSE	FALSE	FALSE	FALSE
Rosetum gallicae		TRUE	FALSE	FALSE	FALSE	FALSE
Geranio-Trifolietum alpestris		TRUE	FALSE	FALSE	FALSE	FALSE
Campanulo bononiensis-Vicietum tenuifoliae		TRUE	FALSE	FALSE	FALSE	FALSE
Trifolion medii		FALSE	FALSE	TRUE	FALSE	FALSE
Trifolio-Laserpitietum latifoliae		TRUE	FALSE	FALSE	FALSE	FALSE
Ranunculetum nemorosi		TRUE	FALSE	FALSE	FALSE	FALSE
Trifolio medii-Agrimonietum		TRUE	FALSE	FALSE	FALSE	FALSE
Trifolio medii-Melampyretum nemorosi		TRUE	FALSE	FALSE	FALSE	FALSE
Vicietum sylvaticae		TRUE	FALSE	FALSE	FALSE	FALSE
Agrimonio-Vicietum cassubicae		TRUE	FALSE	FALSE	FALSE	FALSE
Knautietum dipsacifoliae		TRUE	FALSE	FALSE	FALSE	FALSE
Genista sagittalis-Gesellschaft		TRUE	FALSE	FALSE	FALSE	FALSE
Melampyro-Holcetalia		FALSE	FALSE	FALSE	TRUE	FALSE
Melampyrion pratensis		FALSE	FALSE	TRUE	FALSE	FALSE
Teucrio scorodoniae-Polygonatetum odorati		TRUE	FALSE	FALSE	FALSE	FALSE
Lathyro montani-Melampyretum pratensis		TRUE	FALSE	FALSE	FALSE	FALSE
Molinio-Arrhenatheretea		FALSE	FALSE	FALSE	FALSE	TRUE
Molinietalia		FALSE	FALSE	FALSE	TRUE	FALSE
Molinion		FALSE	FALSE	TRUE	FALSE	FALSE
Selino-Molinietum caeruleae		TRUE	FALSE	FALSE	FALSE	FALSE
Succiso-Molinietum caeruleae		TRUE	FALSE	FALSE	FALSE	FALSE
Gentiano asclepiadeae-Molinietum caeruleae		TRUE	FALSE	FALSE	FALSE	FALSE
Allio suaveolentis-Molinietum		TRUE	FALSE	FALSE	FALSE	FALSE
Gentiano pneumonanthes-Molinietum litoralis		TRUE	FALSE	FALSE	FALSE	FALSE
Junco-Molinietum		TRUE	FALSE	FALSE	FALSE	FALSE
Silaetum pratensis		TRUE	FALSE	FALSE	FALSE	FALSE
Serratulo-Festucetum commutatae		TRUE	FALSE	FALSE	FALSE	FALSE
Sanguisorbo-Festucetum commutatae		TRUE	FALSE	FALSE	FALSE	FALSE
Calthion		FALSE	FALSE	TRUE	FALSE	FALSE
Calthenion		FALSE	TRUE	FALSE	FALSE	FALSE
Angelico-Cirsietum oleracei		TRUE	FALSE	FALSE	FALSE	FALSE
Scirpo-Cirsietum cani		TRUE	FALSE	FALSE	FALSE	FALSE
Caricetum cespitosae		TRUE	FALSE	FALSE	FALSE	FALSE
Cirsietum rivularis		TRUE	FALSE	FALSE	FALSE	FALSE
Trifolio patentis-Calthetum		TRUE	FALSE	FALSE	FALSE	FALSE
Valeriano-Cirsietum oleracei		TRUE	FALSE	FALSE	FALSE	FALSE
Epilobio-Juncetum effusi		TRUE	FALSE	FALSE	FALSE	FALSE
Angelico-Cirsietum palustris		TRUE	FALSE	FALSE	FALSE	FALSE
Polygono-Cirsietum heterophylli		TRUE	FALSE	FALSE	FALSE	FALSE
Scirpetum sylvatici		TRUE	FALSE	FALSE	FALSE	FALSE
Chaerophyllo-Ranunculetum aconitifolii		TRUE	FALSE	FALSE	FALSE	FALSE
Sanguisorbo-Polygonetum bistortae		TRUE	FALSE	FALSE	FALSE	FALSE
Juncetum sylvatici		TRUE	FALSE	FALSE	FALSE	FALSE
Allietum schoenoprasi		TRUE	FALSE	FALSE	FALSE	FALSE
Filipendulenion		FALSE	TRUE	FALSE	FALSE	FALSE
Chaerophyllo hirsuti-Filipenduletum		TRUE	FALSE	FALSE	FALSE	FALSE
Filipendulo-Geranietum palustris		TRUE	FALSE	FALSE	FALSE	FALSE
Lysimachio vulgaris-Filipenduletum		TRUE	FALSE	FALSE	FALSE	FALSE
Valeriano officinalis-Filipenduletum		TRUE	FALSE	FALSE	FALSE	FALSE
Epilobio hirsuti-Filipenduletum		TRUE	FALSE	FALSE	FALSE	FALSE
Ranunculo aconitifolii-Filipenduletum		TRUE	FALSE	FALSE	FALSE	FALSE
Iridetum sibiricae		TRUE	FALSE	FALSE	FALSE	FALSE
Cirsio heterophylli-Filipenduletum		TRUE	FALSE	FALSE	FALSE	FALSE
Caricetum buekii		TRUE	FALSE	FALSE	FALSE	FALSE
Mentho aquaticae-Juncetum effusi		TRUE	FALSE	FALSE	FALSE	FALSE
Cnidion		FALSE	FALSE	TRUE	FALSE	FALSE
Lathyro palustris-Gratioletum		TRUE	FALSE	FALSE	FALSE	FALSE
Gratiolo-Caricetum suzae		TRUE	FALSE	FALSE	FALSE	FALSE
Cnidio dubii-Violetum pumilae		TRUE	FALSE	FALSE	FALSE	FALSE
Gratiolo-Caricetum fuscae		TRUE	FALSE	FALSE	FALSE	FALSE
Ophioglosso-Caricetum tomentosae		TRUE	FALSE	FALSE	FALSE	FALSE
Serratulo-Plantaginetum altissimae		TRUE	FALSE	FALSE	FALSE	FALSE
Deschampsion		FALSE	FALSE	TRUE	FALSE	FALSE
Succisello inflexae-Deschampsietum cespitosae		TRUE	FALSE	FALSE	FALSE	FALSE
Veronico longifoliae-Lysimachion vulgaris		FALSE	FALSE	TRUE	FALSE	FALSE
Phragmiti-Euphorbietum palustris		TRUE	FALSE	FALSE	FALSE	FALSE
Chaerophyllum hirsutum-(Molinietalia)-Gesellschaft		TRUE	FALSE	FALSE	FALSE	FALSE
Filipendula ulmaria-Gesellschaft		TRUE	FALSE	FALSE	FALSE	FALSE
Deschampsia cespitosa-(Molinietalia)-Gesellschaft		TRUE	FALSE	FALSE	FALSE	FALSE
Arrhenatheretalia		FALSE	FALSE	FALSE	TRUE	FALSE
Arrhenatherion		FALSE	FALSE	TRUE	FALSE	FALSE
Pastinaco-Arrhenatheretum		TRUE	FALSE	FALSE	FALSE	FALSE
Ranunculo bulbosi-Arrhenatheretum		TRUE	FALSE	FALSE	FALSE	FALSE
Ranunculo repentis-Alopecuretum pratensis		TRUE	FALSE	FALSE	FALSE	FALSE
Filipendulo vulgaris-Arrhenatheretum		TRUE	FALSE	FALSE	FALSE	FALSE
Lolietum multiflorae		TRUE	FALSE	FALSE	FALSE	FALSE
Tanaceto-Arrhenatheretum		TRUE	FALSE	FALSE	FALSE	FALSE
Cichorietum intybi		TRUE	FALSE	FALSE	FALSE	FALSE
Bromus hordeaceus-Gesellschaft		TRUE	FALSE	FALSE	FALSE	FALSE
Phyteumo-Trisetion		FALSE	FALSE	TRUE	FALSE	FALSE
Poo-Trisetetum		TRUE	FALSE	FALSE	FALSE	FALSE
Geranio sylvatici-Trisetetum		TRUE	FALSE	FALSE	FALSE	FALSE
Cynosurion		FALSE	FALSE	TRUE	FALSE	FALSE
Lolio perennis-Cynosuretum		TRUE	FALSE	FALSE	FALSE	FALSE
Festuco commutatae-Cynosuretum		TRUE	FALSE	FALSE	FALSE	FALSE
Trifolio repentis-Veronicetum filiformis		TRUE	FALSE	FALSE	FALSE	FALSE
Lolietum perennis		TRUE	FALSE	FALSE	FALSE	FALSE
Plantagini-Prunelletalia		FALSE	FALSE	FALSE	TRUE	FALSE
Plantagini-Prunellion		FALSE	FALSE	TRUE	FALSE	FALSE
Prunello-Ranunculetum repentis		TRUE	FALSE	FALSE	FALSE	FALSE
Juncetum macri		TRUE	FALSE	FALSE	FALSE	FALSE
Junco compressi-Trifolietum repentis		TRUE	FALSE	FALSE	FALSE	FALSE
