class;order;alliance;association;variant
 ; ;Oxycocco-Ericion ;;
 ; ; ;Erico-Sphagnetum magellanici (Osvald 1923) Moore 1968;
 ;Sphagnetalia magellanici (Pawlowski 1928) Kästner et Flössner 1933;;;
 ; ;Sphagnion magellanici Kästner et Flößner 1933;;
 ; ; ;Sphagnetum magellanici (Malcuit 1929) Kästner et Flößner 1933;
 ; ; ;Pino rotundatae-Sphagnetum Kästner et Flößner 1933 em. Neuhäusl 1969;
 ; ; ;Ledo-Sphagnetum magellanici Sukopp ex Neuhäusl 1969;
 ; ; ;Eriophoro-Trichophoretum cespitosi (Zlatnik 1928, Rudolf et al. 1928) Rübel 1933 em. Dierßen 1975;
 ; ; ;Eriophorum vaginatum-Gesellschaft ;
 ; ;Oxycocco-Empetrion hermaphroditi Nordhagen 1936  [-];;
Trifolio-Geranietea sanguinei Th. Müller 1962;;;;
 ;Origanetalia vulgaris Th. Müller 1961;;;
 ; ;Geranion sanguinei Tx. in Th. Müller 1961;;
 ; ; ;Geranio-Peucedanetum cervariae (Kuhn 1937) Th. Müller 1961;
 ; ; ; ;Geranio-Peucedanetum cervariae, Subass. von Dictamnus albus 
 ; ; ; ;"Geranio-Peucedanetum cervariae (""Serratulo tinctoriae-Peucedanetum cervariae"") "
 ; ; ; ;"Geranio-Peucedanetum cervariae (""Potentillo albae-Peucedanetum cervariae"") "
 ; ; ;Bupleuro longifolii-Laserpitietum latifolii Th. Müller in Oberd. 1978;
 ; ; ;Trifolio-Astragaletum ciceri Reichhoff in Hilbig, H.D. Knapp et Reichhoff 1982;
 ; ; ;Geranio-Anemonetum sylvestris Th. Müller 1961;
 ; ; ;Campanulo bononiensis-Vicietum tenuifoliae Krausch in Th. Müller 1962;
 ; ; ;Geranio-Trifolietum alpestris Th. Müller 1962;
 ; ; ;Calamintho-Laseretum trilobi Knapp 1976 nom. invers. propos.;
 ; ; ;Teucrio-Polygonatetum odorati Korneck 1974 em. Müller 1978;
 ; ;Trifolion medii Th. Müller 1962;;
 ; ; ;Trifolio medii-Agrimonietum Th. Müller 1962;
 ; ; ;Agrimonio-Vicietum cassubicae Passarge 1967;
 ; ; ;Trifolio medii-Melampyretum nemorosi Dierschke 1973;
 ; ; ;Vicietum sylvaticae Oberd. et Th. Müller ex Th. Müller 1962;
 ; ; ;Knautietum dipsacifoliae Oberd. ex Th. Müller 1978 corr. Oberd. et Th. Müller 1990;
 ;Melampyro-Holcetalia mollis Passarge 1979;;;
 ; ;Melampyrion pratensis Passarge 1979 em. Dengler 2000;;
 ; ; ;Holcus mollis-Teucrium scorodonia-Gesellschaft ;
Epilobietea angustifolii Tx. et Preising ex v. Rochow 1951;;;;
 ;Atropetalia Vlieger 1937;;;
 ; ;Carici piluliferae-Epilobion angustifolii Tx. 1950;;
 ; ; ;Epilobio-Digitalietum purpureae Schwickerath 1944;
 ; ; ;Senecioni sylvatici-Epilobietum angustifolii Tx. 1937;
 ; ; ;Digitali ambiguae-Calamagrostietum arundinaceae Sillinger 1933;
 ; ; ;Corydalido claviculatae-Epilobietum angustifolii Hülbusch et Tx. 1968;
 ; ; ;Calamagrostis epigejos-Gesellschaft ;
 ; ; ;Epilobium angustifolium-Calamagrostis arundinacea-Gesellschaft ;
 ; ; ;Trientalis europaea-Calamagrostis villosa-Gesellschaft Schlüter ex Hilbig et Wagner 1990;
 ; ;Atropion Br.-Bl. ex Aichinger 1933;;
 ; ; ;Epilobio-Atropetum bellae-donnae Tx. 1931 em. 1950;
 ; ; ;Arctietum nemorosi Tx. 1950;
 ; ; ;Digitali luteae-Atropetum Oberd. 1957;
Betulo-Adenostyletea Br.-Bl. et Tx. 1943 nom. conserv. propos.;;;;
 ;Adenostyletalia G. Br.-Bl. et J. Br.-Bl. 1931;;;
 ; ;Adenostylion alliariae Br.-Bl. 1926;;
 ; ; ;Salici appendiculatae-Aceretum pseudoplatani Oberd. 1957 nom. invers. propos.;
 ; ; ;Alnetum viridis Br.-Bl. 1918;
 ; ; ;Cicerbitetum alpinae Bolleter 1921;
 ; ; ;Salicetum waldsteinianae Beger 1922;
 ; ; ;Salicetum caesio-foetidae Br.-Bl. et al. 1964 corr. Gutermann et Mucina in Karner et Mucina 1993;
 ; ; ;Luzuletum desvauxii Issler 1936;
 ; ; ;Allium victoralis-Gesellschaft ;
 ; ; ;Epilobio duriaei-Adenostyletum (Issler 1936) Carbiener 1969  [-];
 ; ; ;Salicetum helveticae Br.-Bl. in Br.-Bl. et al. 1954  [-];
 ; ;Calamagrostion villosae Pawlowski et al. 1928;;
 ; ; ;Centaureo montanae-Calamagrostietum arundinaceae J. Bartsch et M. Bartsch 1940;
 ; ; ;Athyrietum distentifolii Nordhagen 1928;
 ; ; ;Hieracium aurantiacum-Calamagrostis villosa-Gesellschaft ;
 ; ; ;Ranunculus platanifolius-Calamagrostis villosa-Gesellschaft ;
Franguletea Doing ex Westhoff in Westhoff et den Held 1969;;;;
 ;Rubetalia plicati Weber in Pott 1995;;;
 ; ;Ulici-Sarothamnion Doing ex Weber 1997;;
 ; ; ;Rubo plicati-Sarothamnetum Weber 1987;
 ; ;Lonicero-Rubion silvatici Tüxen et Neumann ex Wittig 1977;;
 ; ; ;Rubetum grati Tüxen et Neumann ex Weber 1976;
 ; ; ;Rubetum silvatici Weber in Pott 1995;
 ; ; ;Rubetum sciocharitis Weber in Pott 1995;
 ; ; ;Rubetum pedemontani Weber in Pott 1995;
 ; ; ;Rubus plicatus-Frangula-Gesellschaft ;
 ; ; ;Rubus scissus-Salix aurita-Gesellschaft ;
 ; ; ;Salix repens-Salix aurita-Gesellschaft ;
 ; ; ;Rubus plicatus-Myrica gale-Gesellschaft ;
 ;Salicetalia auritae Doing ex Steffen 1968 nom. conserv. propos.;;;
 ; ;Salicion cinereae Th. Müller et Görs ex Passarge 1961;;
 ; ; ;Betuletum humilis Steffen 1931;
 ; ; ;Myricetum gale Jonas ex Dierschke 1969 nom. conserv. propos.;
 ; ; ;Frangulo-Salicetum auritae Tx. 1937;
 ; ; ;Salicetum pentandro-cinereae Passarge 1961;
 ; ; ;Frangulo-Salicetum cinereae Malcuit 1929;
 ; ; ;Salicetum cinereo-argenteae Weber et Preising in Weber 1998;
 ; ; ;Salix repens subsp. argentea-Salix aurita-Gesellschaft ;
Rhamno-Prunetea Rivas Goday et Borja Carbonell ex Tx. 1962;;;;
 ;Prunetalia spinosae Tx. 1952;;;
 ; ;Berberidion vulgaris Br.-Bl. 1950 Br.-Bl. 1950;;
 ; ; ;Cotoneastro-Amelanchieretum Faber ex Korneck 1974 nom. conserv. propos.;
 ; ; ;Pruno-Ligustretum Tx. 1952 nom. conserv. propos.;
 ; ; ;Coronillo-Prunetum mahaleb Gallandat 1972;
 ; ; ;Crataego-Prunetum fruticosae Soó 1951;
 ; ; ;Violo hirtae-Cornetum maris Hilbig et Klotz 1990;
 ; ; ;Roso vosagiacae-Coryletum Oberd. 1957;
 ; ; ;Berberido-Hippophaëtum fluviatilis Moor 1958 nom. invers. propos.;
 ; ; ;Pado-Coryletum Moor 1958;
 ; ; ;Salix purpurea-Viburnum opulus-Gesellschaft ;
 ; ; ;Ulmus minor-Gesellschaft ;
 ; ; ;Crataego-Prunetum spinosae Hueck 1931 nom. invers. propos.;
 ; ; ;Clematis vitalba-Corylus avellana-Gesellschaften ;
 ; ;Pruno-Rubion radulae Weber 1974;;
 ; ; ;Rosa canina-Juniperus communis-Gesellschaft ;
 ; ; ;Carici brizoidis-Coryletum Weber 1999;
 ; ; ;Prunus spinosa-Rubus albiflorus-Gesellschaft ;
 ; ; ;Pruno-Rubetum bifrontis Weber 1990;
 ; ; ;Pruno-Rubetum sprengelii Weber 1967;
 ; ; ;Pruno-Rubetum elegantispinosi Weber 1974;
 ; ; ;Pruno-Rubetum radulae Weber 1967;
 ; ; ;Rubus montanus-Prunus spinosa-Gesellschaft ;
 ; ; ;Pruno-Rubetum praecocis Weber 1986;
 ; ; ;Pruno-Rubetum vestiti Weber 1974;
 ;Sambucetalia racemosae Oberd. ex Passarge in Scamoni 1963;;;
 ; ;Senecioni ovati-Corylion Weber 1997;;
 ; ; ;Senecioni ovati-Coryletum Passarge 1979;
 ; ;Sambuco racemosae-Salicion capreae Tx. et Neumann ex Oberd. 1957;;
 ; ; ;Rubus idaeus-Gesellschaft ;
 ; ; ;Sambuco racemosae-Rubetum rudis Tx. et Neumann ex Weber 1999;
 ; ; ;Senecio fuchsii-Sambucetum racemosae Oberd. 1957;
 ; ; ;Salicetum capreae Schreier 1955;
 ; ; ;Sorbus aucuparia-Picea abies-Gesellschaft ;
Salicetea arenariae Weber 1999;;;;
 ;Salicetalia arenariae Preising et Weber 1997;;;
 ; ;Salicion arenariae Tx. ex Passarge et Scamoni 1943;;
 ; ; ;Hippophao-Salicetum arenariae Tx. 1937 nom. conserv. propos.;
 ; ; ;Roso pimpinellifoliae-Salicietum arenariae Passarge in Scamoni 1963;
 ; ; ;Polypodio-Salicetum arenariae Boerboom 1960, nom. conserv. propos.;
 ; ; ;Pyrolo-Salicetum repentis Westhoff 1947 ex Barendregt 1982 nom. conserv. propos.;
 ; ; ;Ammophila arenaria-Rosa rugosa-Gesellschaft ;
Salicetea purpureae Moor 1958;;;;
 ;Salicetalia purpureae Moor 1958;;;
 ; ; ;Salix purpurea-Gesellschaft ;
 ; ;Salicion eleagno-daphnoidis (Moor 1958) Grass 1993;;
 ; ; ;Myricarietum Jeník 1955;
 ; ; ;Salicetum eleagno-purpureae Sillinger 1933 nom. mut. propos.;
 ; ;Salicion albae Sóo 1930;;
 ; ; ;Salicetum triandrae Malcuit ex Noirfalise in Lebrun et al. 1955;
 ; ; ;Salicetum albae Issler 1926;
 ; ; ;Salicetum fragilis Passarge 1957;
Alnetea glutinosae Br.-Bl. et Tx. 1943;;;;
 ;Alnetalia glutinosae Tx. 1937;;;
 ; ; ;Rubus idaeus-Alnus glutinosa-Gesellschaft ;
 ; ;Alnion glutinosae Malcuit 1929;;
 ; ; ;Carici elongatae-Alnetum glutinosae Schwickerath 1933;
 ; ; ;Sphagno palustris-Alnetum Allorge ex Lemée 1939 em. Dinter et Mast in prep.;
Erico-Pinetea Horvat 1959;;;;
 ;Erico-Pinetalia Horvat 1959;;;
 ; ;Erico-Pinion sylvestris Br.-Bl. in Br.-Bl. et al. 1939 nom. invers. propos.;;
 ; ; ;Calamagrostio variae-Pinetum sylvestris Oberd. (1950) 1957 em. Hölzel 1996;
 ; ; ;Cephalanthera longifolia-Pinus mugo-Gesellschaft ;
 ; ; ;Molinia arundinacea-Pinus sylvestris-Gesellschaft ;
 ; ; ;Thesium bavarum-Pinus sylvestris-Gesellschaft ;
 ; ; ;Buphthalmum salicifolium-Pinus sylvestris-Gesellschaft ;
 ; ; ;Sanguisorba minor-Pinus sylvestris-Gesellschaft ;
 ; ; ;Anthericum liliago-Pinus nigra-Gesellschaft ;
 ; ;Erico-Pinion mugo Leibundgut 1948 nom. invers. propos.;;
 ; ; ;Rhodothamno-Rhododendretum hirsuti (Aichinger 1933) Br.-Bl. et Sissingh in Br.-Bl. et al. 1939 em. Wallnöfer 1993;
 ; ; ;Erico carneae-Pinetum uncinatae Br.-Bl. in Br.-Bl. et al. 1939 corr. Ellenberg et Klötzli 1972;
 ; ; ;Rhododendro hirsuti-Pinetum uncinatae Br.-Bl. in Br.-Bl. et al. 1939 corr. Ellenberg et Klötzli 1972;
Vaccinio-Piceetea Br.-Bl. in Br.-Bl. et al. 1939;;;;
 ;Piceetalia Pawlowski in Pawlowski et al. 1928;;;
 ; ;Dicrano-Pinion (Libbert 1932) Matuszkiewicz 1962 em. Heinken et Zippel 1999;;
 ; ; ;Peucedano-Pinetum Matuszkiewicz 1962;
 ; ; ;Empetro nigri-Pinetum Libbert 1940 nom. invers. propos.;
 ; ; ;Leucobryo-Pinetum Matuszkiewicz 1962 em. Heinken et Zippel 1999;
 ; ; ;Cladonio-Pinetum Juraszek 1927;
 ; ; ;Vaccinio vitis-idaeae-Pinetum sylvestris ;
 ; ; ;Deschampsia flexuosa-Pinus sylvestris-Gesellschaft ;
 ; ; ;Betula pubescens-Sorbus aucuparia-Gesellschaft ;
 ; ;Piceion abietis Pawlowski in Pawlowski et al. 1928;;
 ; ; ;Luzulo nemorosae-Piceetum (Schmid et Gaisberg 1936) Br.-Bl. et Sissingh in Br.-Bl. et al. 1939;
 ; ; ;Vaccinio-Abietetum Oberd. 1957;
 ; ; ;Calamagrostio villosae-Fagetum Mikyska 1972;
 ; ; ;Bazzanio-Piceetum Br.-Bl. et Sissingh in Br.-Bl. et al. 1939;
 ; ; ;Soldanello montanae-Piceetum Volk in Br.-Bl. et al. 1939;
 ; ; ;Larici-Piceetum (Br.-Bl. et al. 1954) Ellenberg et Klötzli 1972;
 ; ; ;Adenostylo glabrae-Piceetum M. Wraber ex Zukrigl 1973;
 ; ; ;Asplenio-Piceetum Kuoch 1954;
 ; ;Rhododendro-Vaccinion J. Br.-Bl. ex G. Br.-Bl. et J. Br.-Bl. 1931;;
 ; ; ;Calamagrostio villosae-Pinetum mugi Pawlowski 1927 corr. Hartmann 1957;
 ; ; ;Rhododendretum ferruginei Rübel 1911;
 ; ; ;Vaccinio-Pinetum cembrae (Pallm. et Hafft. 1933) Oberd. 1962;
 ; ;Betulion pubescentis Lohmeyer et Tx. ex Scamoni et Passarge 1959;;
 ; ; ;Vaccinio uliginosi-Betuletum pubescentis Libbert 1933 em. Mast 1999;
 ; ;Linnaeo-Piceion Br.-Bl. et Sissingh in Br.-Bl. et al. 1939 corr. Oberd. 1979  [-];;
Loiseleurio-Vaccinietea Eggler 1952;;;;
 ;Rhododendro-Vaccinietalia Br.-Bl. in Br.-Bl. et Jenny 1926;;;
 ; ;Loiseleurio-Vaccinion Br.-Bl. in Br.-Bl. et Jenny 1926;;
 ; ; ;Empetro hermaphroditi-Vaccinietum gaultherioidis Br.-Bl. in Br.-Bl. et Jenny 1936 corr. Grabherr 1993;
 ; ; ;Arctostaphylo alpinae-Loiseleurietum Oberd. 1950;
Querco-Fagetea Br.-Bl. et Vlieger in Vlieger 1937;;;;
 ;Quercetalia roboris Tx. 1931;;;
 ; ;Quercion roboris Malcuit 1929;;
 ; ; ;Betulo pendulae-Quercetum roboris Tx. 1930 nom. invers. propos.;
 ; ; ;Deschampsio flexuosae-Quercetum roboris Passarge 1966;
 ; ; ;Genisto tinctoriae-Quercetum (petraeae) Klika 1932;
 ; ; ;Calamagrostio arundinaceae-Quercetum petraeae (Hartmann 1934) Scamoni et Passarge 1959;
 ; ; ;Cladonio portentosae-Quercetum Pallas 1996;
 ; ;Luzulo-Fagion Lohmeyer et Tx. in Tx. 1954;;
 ; ; ;Luzulo-Fagetum Meusel 1937 em. Heinken 1995;
 ;Quercetalia pubescentis Klika 1933;;;
 ; ;Quercion pubescenti-petraeae Br.-Bl. 1932 nom. mut. propos.;;
 ; ; ;Quercetum pubescenti-petraeae Imchenetzky 1926 nom. invers. propos.;
 ; ; ;Aceri monspessulani-Quercetum petraeae Oberd. 1957;
 ; ;Potentillo albae-Quercion petraeae Zolyomi et Jakucs 1957 nom. nov. Jakucs 1967;;
 ; ; ;Potentillo albae-Quercetum petraeae Libbert 1933 em. Th. Müller 1992;
 ; ; ;Cytiso nigricantis-Quercetum roboris (Oberd. 1957) Th. Müller in Oberd. 1992;
 ; ; ;Genista sagittalis-Quercus petraea-Gesellschaft ;
 ;Fagetalia sylvaticae Pawlowski in Pawlowski, Sokolowski et Wallisch 1928;;;
 ; ;Alno-Ulmion minoris Br.-Bl. et Tx. 1943 nom. conserv. propos.;;
 ; ; ;Alnetum incanae Lüdi 1921;
 ; ; ;Stellario nemorum-Alnetum glutinosae Lohmeyer 1957;
 ; ; ;Pruno-Fraxinetum Oberd. 1953 nom. conserv. propos.;
 ; ; ;Circaeo-Alnetum glutinosae Oberd. 1953;
 ; ; ;Carici remotae-Fraxinetum W. Koch 1926 ex Faber 1936 em. Mast 1999;
 ; ; ;Querco-Ulmetum Issler 1924;
 ; ;Carpinion betuli Issler 1931;;
 ; ; ;Stellario-Carpinetum Oberd. 1957;
 ; ; ;Galio-Carpinetum Oberd. 1957;
 ; ; ;Carici-Tilietum cordatae Th. Müller et Görs 1958;
 ; ;Tilio platyphylli-Acerion pseudoplatani Klika 1955;;
 ; ; ;Aceri-Tilietum platyphylli Faber 1936 nom. conserv. propos.;
 ; ; ;Sorbo ariae-Aceretum pseudoplatani Moor 1952;
 ; ; ;Fraxino-Aceretum W. Koch 1926 ex Tx. 1937;
 ; ; ;Ulmo glabrae-Aceretum pseudoplatani Issler 1926;
 ; ; ;Carici pendulae-Aceretum pseudoplatani Oberd. 1957;
 ; ;Fagion sylvaticae Luquet 1926;;
 ; ;Eu-Fagenion Oberd. 1957;;
 ; ; ;Asperulo odorati-Fagetum Sougnez et Thill 1959;
 ; ;Daphno-Fagenion Th. Müller 1966;;
 ; ; ;Hordelymo-Fagetum Kuhn 1937 em. Dierschke 1989;
 ; ; ;Aposerido-Fagetum Oberd. 1950 ex Oberd. 1957;
 ; ; ;Dentario heptaphylli-Fagetum (Moor 1952) Th. Müller 1966;
 ; ;Galio rotundifolii-Abietenion Oberd. 1962;;
 ; ; ;Galio rotundifolii-Abietetum Wraber 1955 nom. conserv. propos.;
 ; ; ;Adenostylo glabrae-Abietetum H. Mayer et A. Hofmann 1969;
 ; ; ;Pyrolo-Abietetum Oberd. 1957;
 ; ;Cephalanthero-Fagenion (Tx. 1955) Tx. et Oberd. 1958;;
 ; ; ;Carici-Fagetum Moor 1952;
 ; ; ;Seslerio-Fagetum Moor 1952;
Platyhypnidio-Fontinalietea Philippi 1956;;;;
 ;Leptodictyetalia riparii Philippi 1956;;;
 ; ;Fontinalion antipyreticae W. Koch 1936;;
 ; ; ;Fontinalietum antipyreticae Greter 1936;
 ; ; ;Octodiceratetum juliani Krusenstjerna ex Hübschmann 1953;
 ; ; ;Oxyrrhynchietum rusciformis Kaiser ex Hübschmann 1953;
 ; ; ;Fontinali-Pachyfissidentetum grandifrontis Koch 1936;
 ; ;Cinclidotion fontinaloidis Philippi 1956;;
 ; ; ;Cinclidotetum fontinaloidis Gams ex Hübschmann 1953;
 ; ; ;Cinclidotetum aquatici Philippi 1956;
 ; ; ;Cinclidotetum danubici Empain 1973;
 ; ; ;Leptodictyo-Fissidentetum crassipedis Allorge ex Philippi 1956;
 ;Hygrohypnetalia Krajina 1933 em. Geissler 1976;;;
 ; ;Racomitrion acicularis Krusenstjerna 1945;;
 ; ; ;Scapanietum undulatae Schwickerath 1944;
 ; ; ;Hygrohypnetum ochracei Hertel 1974;
 ; ; ;Philonotido-Hygrohypnetum dilatati Plamada 1974;
 ; ; ;Solensotomo cordifoliae-Scapanietum undulatae Philippi 1956;
 ; ; ;Mnio-Hyocomietum armorici Schumacker et al. 1981;
 ;Brachythecietalia plumoso-rivularis Drehwald 1990;;;
 ; ;Brachythecion plumosi Drehwald 1990;;
 ; ; ;Brachythecietum plumosi Krusenstjerna ex Philippi 1956;
 ; ; ;Madothecetum cordaeanae Philippi 1956;
 ; ;Brachythecion rivularis Hertel 1974;;
 ; ; ;Brachythecio rivularis-Hygrohypnetum luridi Philippi 1956;
 ; ; ;Pellio-Cratoneuretum filicini Maas ex v.d. Dunk 1972;
 ;Leskeetalia polycarpae Lecointe 1976;;;
 ; ;Leskeion polycarpae Barkman 1958;;
 ; ; ;Syntrichio latifoliae-Leskeetum polycarpae Hübschmann 1952;
Adiantetea Br.-Bl. 1948;;;;
 ;Adiantetalia Br.-Bl. 1948;;;
 ; ;Cratoneurion commutati W. Koch 1928;;
 ; ; ;Cratoneuretum commutati Aichinger 1933 nom. prov.;
 ; ; ;Eucladietum verticillati Allorge ex Braun 1968;
 ; ; ;Catoscopietum nigriti Braun 1968;
 ; ;Philonotidion seriatae Hinterlang 1992;;
 ; ; ;Cratoneuro-Philonotidetum seriatae Geissler 1976;
 ; ; ;Mniobryetum albicantis Smarda 1950;
 ; ; ;Scapanietum uliginosae (Sjörs 1946) Dahl 1957;
Schistidietea apocarpi Jezek et Vondrácek 1962 em. Drehwald 1990;;;;
 ;Schistidietalia apocarpi Jezek et Vondrácek 1962 em. Hertel 1974;;;
 ; ;Schistidion apocarpi Jezek et Vondrácek 1962;;
 ; ; ;Tortuletum muralis Waldheim 1944;
 ; ; ;Grimmietum orbicularis Allorge ex Demaret 1944;
 ; ; ;Pseudoleskeelletum catenulatae Jezek et Vondrácek 1962;
 ; ; ;Grimmietum tergestinae Smarda 1947;
 ; ; ;Syntrichio calcicolae-Grimmietum anodontis Giacomini 1939 nom. invers. propos.;
 ; ; ;Grimmietum plagiopodiae Marstaller 1980;
 ; ; ;Orthotrichetum rupestris (Philippi 1961) Sjögren 1964;
 ; ;Crossidion squamiferi Giacomini 1951;;
 ; ; ;Crossidietum squamigeri Giacomini 1951;
 ; ; ;Tortuletum atrovirentis Giacomini 1951;
 ;Ctenidietalia mollusci Hadac & Smarda in Klika et Hadac 1944;;;
 ; ;Ctenidion mollusci Stefureac 1941;;
 ; ; ;Gymnostometum rupestris Philippi 1965;
 ; ; ;Amphidietum mougeotii Gams 1927;
Racomitrietea heterostichi Neumayr 1971;;;;
 ;Racomitrietalia heterostichi Philippi 1956;;;
 ; ;Grimmion commutatae Krusenstjerna 1945;;
 ; ; ;Hedwigietum albicantis Greter 1936;
 ; ; ;Grimmietum commutato-campestris Giacomini 1939;
 ; ; ;Grimmietum ovatae Nörr 1969;
 ; ; ;Coscinodontetum cribrosi Hübschmann 1955;
 ; ; ;Grimmietum montanae Krusenstjerna 1945;
 ; ; ;Ptychomitrietum polyphyllae Hübschmann 1971;
 ; ;Andreaeion rupestris Smarda in Klika et Hadac 1944;;
 ; ; ;Andreaeetum petrophilae Frey 1922;
 ; ; ;Gymnomitrietum concinnati Philippi 1956;
 ; ;Racomitrion lanuginosi Krusenstjerna 1945;;
 ; ; ;Racomitrietum lanuginosi Preis 1937;
 ; ;Schistidion maritimi ;;
 ; ; ;Schistidietum maritimi ;
Cladonio-Lepidozietea reptantis Jezek et Vondrácek 1962;;;;
 ;Dicranelletalia cerviculatae Hübschmann 1957;;;
 ; ;Dicranellion cerviculatae Hübschmann 1957;;
 ; ; ;Dicranello-Campylopodetum pyriformis Herzog ex Hübschmann 1957;
Ceratodonto-Polytrichetea piliferi Mohan 1978 emend. Drehwald 1993;;;;
 ;Polytrichetalia piliferi Hübschmann 1975;;;
 ; ;Ceratodonto-Polytrichion piliferi Waldheim 1947;;
 ; ; ;Rhacomitrio-Polytrichetum piliferi Herzog ex Hübschmann 1967;
 ; ; ;Brachythecietum albicantis Gams ex Neumayr 1971;
 ; ; ;Pohlio-Leptodontietum flexifoliae Barkman et Ringelberg-Giesen 1959 nom. invers. propos.;
Psoretea decipientis Mattick ex Follmann 1974 em. Drehwald 1993;;;;
 ;Barbuletalia unguiculatae Hübschmann 1960;;;
 ; ;Phascion cuspidatae Waldheim 1944;;
 ; ; ;Pottietum truncatae Waldheim 1944;
 ; ; ;Pottietum davallianae Kühner ex Marstaller 1981;
 ; ; ;Dicranelletum rubrae Giacomini 1939;
 ; ;Grimaldion fragrantis Smarda et Hadac 1944;;
 ; ; ;Barbuletum convolutae Hadac et Smarda 1944;
 ; ; ;Tortelletum inclinatae Greter 1936;
 ; ; ;Aloinetum rigidae Stodiek 1937;
 ; ; ;Astometum crispi Krusenstjerna 1945;
 ; ; ;Weisietum crispatae Neumayr 1971;
 ; ; ;Tortuletum revolventis Marstaller 1980;
 ; ; ;Weisietum tortilis Neumayr 1971;
 ; ; ;Weisietum controversae Marstaller 1988;
Funarietea hygrometricae Hübschmann 1957;;;;
 ;Funarietalia hygrometricae Hübschmann 1957;;;
 ; ;Funarion hygrometricae Hübschmann 1957;;
 ; ; ;Funarietum hygrometricae Engel 1949;
 ; ; ;Pottietum heimii Gams ex Hübschmann 1960;
 ; ;Physcomitrellion patentis Hübschmann 1957;;
 ; ; ;Riccio-Physcomitrelletum patentis Allorge ex Hübschmann 1957;
 ; ; ;Physcomitrietum pyriformis Waldheim 1944;
 ; ; ;Pseudephemero nitidi-Physcomitrietum eurystomi Marstaller 1989;
 ;Splachnetalia lutei Hadac in Klika et Hadac ex Hübschmann 1957;;;
 ; ; ;Splachnion lutei Hadac in Klika et Hadac ex Hübschmann 1957;
 ; ; ;Splachnetum ampullacei Hübschmann 1957;
 ; ; ;Taylorietum tenuis Marstaller 1987;
