class;order;alliance;association;variant
 ; ; ;Thlaspio-Veronicetum politae Görs 1966;
 ; ; ;Thlaspio-Fumarietum officinalis Görs in Oberd. et al. 1967 ex Passarge et Jurko 1975;
 ; ; ;Geranio-Allietum vinealis (v. Rochow 1948) Tx. 1950  [-];
 ; ;Caucalidion platycarpi (Tx. 1950) v. Rochow 1951;;
 ; ; ;Caucalido daucoidis-Scandicetum pecten-veneris Tx. 1937;
 ; ; ;Euphorbio exiguae-Melandrietum noctiflori G. Müller 1964;
 ; ; ;Kickxietum spuriae Kruseman et Vlieger 1939;
 ; ; ;Apero-Lathyretum aphacae Tx. et v. Rochow 1951 nom. invers. propos.;
 ; ; ;Adonido-Iberidetum amarae (Allorge 1922) Tx. 1950;
 ;Chenopodietalia albi Tx. (1937) 1950;;;
 ; ;Scleranthion annui (Kruseman et Vlieger 1939) Sissingh in Westhoff et al. 1946;;
 ; ; ; ;Scleranthus annuus-Gesellschaft 
 ; ; ;Teesdalio-Arnoseridetum minimae (Malcuit 1929) Tx. 1950;
 ; ; ;Papaveretum argemones Kruseman et Vlieger 1939;
 ; ; ;Aphano-Matricarietum chamomillae Tx. 1937 nom. mut. propos.;
 ; ; ;Holcus mollis-Galeopsis tetrahit-Gesellschaft ;
 ; ;Digitario-Setarion Sissingh 1946 em. Hüppe et Hofmeister 1990;;
 ; ; ;Spergulo-Chrysanthemetum segetum (Br.-Bl. et De Leeuw 1936) Tx. 1937;
 ; ; ;Setario-Galinsogetum parviflorae Tx. 1950 em. Th. Müller et Oberd. in Oberd. 1983;
 ; ; ;Digitarietum ischaemi Tx. 1950 nom. mutat. propos.;
 ; ;Spergulo-Oxalidion Görs in Oberd. et al. 1967;;
 ; ; ;Chenopodio-Oxalidetum fontanae Sissingh 1950 nom. conserv. prop.;
 ;Lolio remoti-Linetalia J. Tx. et. R. Tx. in Lohmeyer et. al. 1962;;;
 ; ;Lolio remoti-Linion Tx. 1950;;
 ; ; ;Sileno linicolae-Linetum Tx. 1950;
 ;Eragrostietalia J. Tx. ex Poli 1966;;;
